#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Canonicalform|Canonical
#T_SP=webanno.custom.Category|Category
#T_SP=webanno.custom.Definitionelement|Def_element
#T_SP=webanno.custom.Relation|Relation
#T_SP=webanno.custom.Relation_definitor|Rel_verb_frame


#Text=Carbonatites are intrusive igneous rocks composed of 60–90% carbonate minerals, chiefly calcite.
1-1	0-12	Carbonatites	carbonatite	D.1 Abiotic	DEFINIENDUM	_	_	
1-2	13-16	are	_	_	DEFINITOR	_	_	
1-3	17-26	intrusive	_	_	_	HAS\_ATTRIBUTE[43]	_	
1-4	27-34	igneous	_	D.1 Abiotic[1]	_	HAS\_ATTRIBUTE[43]	_	
1-5	35-40	rocks	_	D.1 Abiotic[1]|D.1 Abiotic[2]	GENUS	_	_	
1-6	41-49	composed	_	_	_	COMPOSITION\_MEDIUM[44]	frame\_COMPOSITION[66]	
1-7	50-52	of	_	_	_	COMPOSITION\_MEDIUM[44]	frame\_COMPOSITION[66]	
1-8	53-55	60	_	_	_	COMPOSITION\_MEDIUM[44]	_	
1-9	55-56	–	_	_	_	COMPOSITION\_MEDIUM[44]	_	
1-10	56-59	90%	_	_	_	COMPOSITION\_MEDIUM[44]	_	
1-11	60-69	carbonate	_	D.1 Abiotic[3]	_	COMPOSITION\_MEDIUM[44]	_	
1-12	70-78	minerals	_	D.1 Abiotic[3]	_	COMPOSITION\_MEDIUM[44]	_	
1-13	78-79	,	_	_	_	COMPOSITION\_MEDIUM[44]	_	
1-14	80-87	chiefly	_	_	_	COMPOSITION\_MEDIUM[44]	_	
1-15	88-95	calcite	_	D.1 Abiotic	_	COMPOSITION\_MEDIUM[44]	_	
1-16	95-96	.	_	_	_	_	_	

#Text=Pit caves are vertical shafts, 1–2 m in diameter and up to 15 m deep.
2-1	97-100	Pit	_	A.2 Underground landform[4]	DEFINIENDUM[25]	_	_	
2-2	101-106	caves	_	A.2 Underground landform[4]	DEFINIENDUM[25]	_	_	
2-3	107-110	are	_	_	DEFINITOR	_	_	
2-4	111-119	vertical	_	_	_	HAS\_FORM	_	
2-5	120-126	shafts	_	A.2 Underground landform	GENUS	_	_	
2-6	126-127	,	_	_	_	_	_	
2-7	128-129	1	_	_	_	HAS\_SIZE[45]	_	
2-8	129-130	–	_	_	_	HAS\_SIZE[45]	_	
2-9	130-131	2	_	_	_	HAS\_SIZE[45]	_	
2-10	132-133	m	_	_	_	HAS\_SIZE[45]	_	
2-11	134-136	in	_	_	_	HAS\_SIZE[45]	frame\_SIZE[67]	
2-12	137-145	diameter	_	_	_	HAS\_SIZE[45]	frame\_SIZE[67]	
2-13	146-149	and	_	_	_	HAS\_SIZE[45]	_	
2-14	150-152	up	_	_	_	HAS\_SIZE[45]	_	
2-15	153-155	to	_	_	_	HAS\_SIZE[45]	_	
2-16	156-158	15	_	_	_	HAS\_SIZE[45]	_	
2-17	159-160	m	_	_	_	HAS\_SIZE[45]	_	
2-18	161-165	deep	_	_	_	HAS\_SIZE[45]	frame\_SIZE	
2-19	165-166	.	_	_	_	_	_	

#Text=Mogotes are isolated karst towers that rise from the blanket sands in the northern section.
3-1	167-174	Mogotes	_	A.1 Surface landform	DEFINIENDUM	_	_	
3-2	175-178	are	_	_	DEFINITOR	_	_	
3-3	179-187	isolated	_	_	_	HAS\_FORM	_	
3-4	188-193	karst	_	A.1 Surface landform[5]	GENUS[26]	_	_	
3-5	194-200	towers	_	A.1 Surface landform[5]	GENUS[26]	_	_	
3-6	201-205	that	_	_	_	_	_	
3-7	206-210	rise	_	_	_	COMPOSITION\_MEDIUM[46]	_	
3-8	211-215	from	_	_	_	COMPOSITION\_MEDIUM[46]	_	
3-9	216-219	the	_	_	_	COMPOSITION\_MEDIUM[46]	_	
3-10	220-227	blanket	_	D.1 Abiotic[6]	_	COMPOSITION\_MEDIUM[46]	_	
3-11	228-233	sands	_	D.1 Abiotic[6]	_	COMPOSITION\_MEDIUM[46]	_	
3-12	234-236	in	_	_	_	HAS\_LOCATION[47]	_	
3-13	237-240	the	_	_	_	HAS\_LOCATION[47]	_	
3-14	241-249	northern	_	_	_	HAS\_LOCATION[47]	_	
3-15	250-257	section	_	_	_	HAS\_LOCATION[47]	_	
3-16	257-258	.	_	_	_	_	_	

#Text=Fenglin is an extreme form of karst that only develops where dissolution rates, tectonic uplift, and alluviation maintain a critical balance (Zhang, 1980).
4-1	259-266	Fenglin	_	A.1 Surface landform	DEFINIENDUM	_	_	
4-2	267-269	is	_	_	DEFINITOR[27]	_	_	
4-3	270-272	an	_	_	DEFINITOR[27]	_	_	
4-4	273-280	extreme	_	_	_	HAS\_FORM[48]	_	
4-5	281-285	form	_	_	_	HAS\_FORM[48]	_	
4-6	286-288	of	_	_	_	HAS\_FORM[48]	_	
