#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Canonicalform|Canonical
#T_SP=webanno.custom.Category|Category
#T_SP=webanno.custom.Definitionelement|Def_element
#T_SP=webanno.custom.Relation|Relation
#T_SP=webanno.custom.Relation_definitor|Rel_verb_frame


#Text=﻿epifreatik: Zona u sustavu špilja iznad freatske zone u kojoj djeluje morfološki i hidrološki utjecaj obilnih poplava koje sustav ne može odjednom apsorbirati.
1-1	0-11	﻿epifreatik	_	A.2 Underground landform	DEFINIENDUM	_	_	
1-2	11-12	:	_	_	_	_	_	
1-3	13-17	Zona	zona	_	GENUS[21]	_	_	
1-4	18-19	u	_	_	GENUS[21]	HAS\_LOCATION[36]	frame\_LOCATION	
1-5	20-27	sustavu	_	A.2 Underground landform[1]	GENUS[21]	HAS\_LOCATION[36]	_	
1-6	28-34	špilja	_	A.2 Underground landform[1]	GENUS[21]	HAS\_LOCATION[36]	_	
1-7	35-40	iznad	_	_	_	HAS\_LOCATION[37]	frame\_LOCATION	
1-8	41-49	freatske	_	A.2 Underground landform[2]	_	HAS\_LOCATION[37]	_	
1-9	50-54	zone	_	A.2 Underground landform[2]	_	HAS\_LOCATION[37]	_	
1-10	55-56	u	_	_	_	_	_	
1-11	57-62	kojoj	_	_	_	_	_	
1-12	63-70	djeluje	_	_	_	_	_	
1-13	71-81	morfološki	_	_	_	HAS\_ATTRIBUTE[38]	_	
1-14	82-83	i	_	_	_	HAS\_ATTRIBUTE[38]	_	
1-15	84-94	hidrološki	_	_	_	HAS\_ATTRIBUTE[38]	_	
1-16	95-102	utjecaj	_	_	_	HAS\_ATTRIBUTE[38]	_	
1-17	103-110	obilnih	_	_	_	HAS\_ATTRIBUTE[38]	_	
1-18	111-118	poplava	_	_	_	HAS\_ATTRIBUTE[38]	_	
1-19	119-123	koje	_	_	_	HAS\_ATTRIBUTE[38]	_	
1-20	124-130	sustav	_	_	_	HAS\_ATTRIBUTE[38]	_	
1-21	131-133	ne	_	_	_	HAS\_ATTRIBUTE[38]	_	
1-22	134-138	može	_	_	_	HAS\_ATTRIBUTE[38]	_	
1-23	139-147	odjednom	_	_	_	HAS\_ATTRIBUTE[38]	_	
1-24	148-159	apsorbirati	_	_	_	HAS\_ATTRIBUTE[38]	_	
1-25	159-160	.	_	_	_	_	_	

#Text=eksfolijacijska špilja: Špilja formirana djelomičnim razaranjem pločaste stijene nastale eksfolijacijom, koja ima ravnu zadnju stijenku s produženom eksfolijacijskom pukotinom u svodu špilje.
2-1	162-177	eksfolijacijska	_	A.2 Underground landform[3]	DEFINIENDUM[22]	_	_	
2-2	178-184	špilja	_	A.2 Underground landform[3]	DEFINIENDUM[22]	_	_	
2-3	184-185	:	_	_	_	_	_	
2-4	186-192	Špilja	_	A.2 Underground landform	GENUS	_	_	
2-5	193-202	formirana	_	_	_	HAS\_CAUSE[39]	frame\_CAUSE	
2-6	203-214	djelomičnim	_	_	_	HAS\_CAUSE[39]	_	
2-7	215-225	razaranjem	_	B.4 Transformation	_	HAS\_CAUSE[39]	_	
2-8	226-234	pločaste	_	_	_	HAS\_CAUSE[39]	_	
2-9	235-242	stijene	_	_	_	HAS\_CAUSE[39]	_	
2-10	243-250	nastale	_	_	_	_	_	
2-11	251-265	eksfolijacijom	_	_	_	_	_	
2-12	265-266	,	_	_	_	_	_	
2-13	267-271	koja	_	_	_	HAS\_FORM[40]	frame\_FORM[74]	
2-14	272-275	ima	_	_	_	HAS\_FORM[40]	frame\_FORM[74]	
2-15	276-281	ravnu	_	_	_	HAS\_FORM[40]	_	
2-16	282-288	zadnju	_	_	_	HAS\_FORM[40]	_	
2-17	289-297	stijenku	_	_	_	HAS\_FORM[40]	_	
2-18	298-299	s	_	_	_	HAS\_FORM[40]	_	
2-19	300-310	produženom	_	_	_	HAS\_FORM[40]	_	
2-20	311-327	eksfolijacijskom	_	_	_	HAS\_FORM[40]	_	
2-21	328-337	pukotinom	_	_	_	HAS\_FORM[40]	_	
2-22	338-339	u	_	_	_	HAS\_FORM[40]	_	
2-23	340-345	svodu	_	_	_	HAS\_FORM[40]	_	
2-24	346-352	špilje	_	_	_	HAS\_FORM[40]	_	
2-25	352-353	.	_	_	_	_	_	

#Text=egzokrš: Svi oblici nađeni na površini krškog terena, raspona veličine od sitnih škrapa do prostranih polja. Reljef oblikovan korozijom površinskog dijela karbonatnih stijena.
3-1	355-362	egzokrš	_	C. Geome	DEFINIENDUM	_	_	
3-2	362-363	:	_	_	_	_	_	
3-3	364-367	Svi	_	_	_	DEFINED\_AS[41]	_	
3-4	368-374	oblici	_	_	_	DEFINED\_AS[41]	_	
3-5	375-381	nađeni	_	_	_	DEFINED\_AS[41]	_	
3-6	382-384	na	_	_	_	DEFINED\_AS[41]|HAS\_LOCATION[42]	frame\_LOCATION	
3-7	385-393	površini	_	_	_	DEFINED\_AS[41]|HAS\_LOCATION[42]	_	
3-8	394-400	krškog	_	D.1 Abiotic[4]	_	DEFINED\_AS[41]|HAS\_LOCATION[42]	_	
3-9	401-407	terena	_	D.1 Abiotic[4]	_	DEFINED\_AS[41]|HAS\_LOCATION[42]	_	
3-10	407-408	,	_	_	_	_	_	
3-11	409-416	raspona	_	_	_	HAS\_SIZE[43]	frame\_SIZE[75]	
3-12	417-425	veličine	_	_	_	HAS\_SIZE[43]	frame\_SIZE[75]	
3-13	426-428	od	_	_	_	HAS\_SIZE[43]	frame\_SIZE[75]	
3-14	429-435	sitnih	_	_	_	HAS\_SIZE[43]	_	
3-15	436-442	škrapa	_	A.1 Surface landform	_	HAS\_SIZE[43]	_	
3-16	443-445	do	_	_	_	HAS\_SIZE[43]	_	
3-17	446-456	prostranih	_	_	_	HAS\_SIZE[43]	_	
3-18	457-462	polja	_	A.1 Surface landform	_	HAS\_SIZE[43]	_	
3-19	462-463	.	_	_	_	_	_	
3-20	464-470	Reljef	_	D.1 Abiotic	GENUS	_	_	
3-21	471-480	oblikovan	_	_	_	HAS\_CAUSE[44]	frame\_CAUSE	
3-22	481-490	korozijom	_	_	_	HAS\_CAUSE[44]	_	
3-23	491-502	površinskog	_	_	_	_	_	
3-24	503-509	dijela	_	_	_	_	_	
3-25	510-521	karbonatnih	_	_	_	_	_	
3-26	522-529	stijena	_	_	_	_	_	
3-27	529-530	.	_	_	_	_	_	

#Text=eksurgencija: Izbijanje vodotoka iz špilje, i to vode koja se procijeđivanjem kroz pokrovni vapnenac nakupila u špilji.
4-1	533-545	eksurgencija	_	B.1 Movement	DEFINIENDUM	_	_	
4-2	545-546	:	_	_	_	_	_	
4-3	547-556	Izbijanje	_	_	_	DEFINED\_AS[45]	_	
4-4	557-565	vodotoka	_	D.1 Abiotic	_	DEFINED\_AS[45]	_	
4-5	566-568	iz	_	_	_	DEFINED\_AS[45]	frame\_LOCATION	
4-6	569-575	špilje	_	A.2 Underground landform	_	DEFINED\_AS[45]	_	
4-7	575-576	,	_	_	_	_	_	
4-8	577-578	i	_	_	_	_	_	
4-9	579-581	to	_	_	_	_	_	
4-10	582-586	vode	_	_	_	_	_	
4-11	587-591	koja	_	_	_	_	_	
4-12	592-594	se	_	_	_	_	_	
4-13	595-610	procijeđivanjem	_	_	_	_	_	
