#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Canonicalform|Canonical
#T_SP=webanno.custom.Category|Category
#T_SP=webanno.custom.Definitionelement|Def_element
#T_SP=webanno.custom.Relation|Relation
#T_SP=webanno.custom.Relation_definitor|Rel_verb_frame


#Text=cave flower :  An elongate curved deposit of gypsum or epsomite on a cave wall in which growth occurs at the attached end. Synonyms, gypsum flower; oulo- pholite.
1-1	0-4	cave	_	A.2 Underground landform[2]	DEFINIENDUM[32]	_	_	
1-2	5-11	flower	_	A.2 Underground landform[2]	DEFINIENDUM[32]	_	_	
1-3	12-13	:	_	_	_	_	_	
1-4	15-17	An	_	_	_	_	_	
1-5	18-26	elongate	_	_	_	HAS\_FORM[53]	_	
1-6	27-33	curved	_	_	_	HAS\_FORM[53]	_	
1-7	34-41	deposit	_	D.1 Abiotic	GENUS	COMPOSITION\_MEDIUM[54]	frame\_COMPOSITION[82]	
1-8	42-44	of	_	_	_	COMPOSITION\_MEDIUM[54]	frame\_COMPOSITION[82]	
1-9	45-51	gypsum	_	D.1 Abiotic	_	COMPOSITION\_MEDIUM[54]	_	
1-10	52-54	or	_	_	_	COMPOSITION\_MEDIUM[54]	_	
1-11	55-63	epsomite	_	D.1 Abiotic	_	COMPOSITION\_MEDIUM[54]	_	
1-12	64-66	on	_	_	_	HAS\_LOCATION[55]	frame\_LOCATION[83]	
1-13	67-68	a	_	_	_	HAS\_LOCATION[55]	frame\_LOCATION[83]	
1-14	69-73	cave	_	_	_	HAS\_LOCATION[55]	_	
1-15	74-78	wall	_	_	_	HAS\_LOCATION[55]	_	
1-16	79-81	in	_	_	_	HAS\_FORM[56]	_	
1-17	82-87	which	_	_	_	HAS\_FORM[56]	_	
1-18	88-94	growth	_	_	_	HAS\_FORM[56]	_	
1-19	95-101	occurs	_	_	_	HAS\_FORM[56]	_	
1-20	102-104	at	_	_	_	HAS\_FORM[56]	_	
1-21	105-108	the	_	_	_	HAS\_FORM[56]	_	
1-22	109-117	attached	_	_	_	HAS\_FORM[56]	_	
1-23	118-121	end	_	_	_	HAS\_FORM[56]	_	
1-24	121-122	.	_	_	_	_	_	
1-25	123-131	Synonyms	_	_	_	_	_	
1-26	131-132	,	_	_	_	_	_	
1-27	133-139	gypsum	_	A.2 Underground landform[3]	DEFINIENDUM[33]	_	_	
1-28	140-146	flower	_	A.2 Underground landform[3]	DEFINIENDUM[33]	_	_	
1-29	146-147	;	_	_	_	_	_	
1-30	148-152	oulo	oulopholite[1]	A.2 Underground landform[4]	DEFINIENDUM[34]	_	_	
1-31	152-153	-	oulopholite[1]	A.2 Underground landform[4]	DEFINIENDUM[34]	_	_	
1-32	154-161	pholite	oulopholite[1]	A.2 Underground landform[4]	DEFINIENDUM[34]	_	_	
1-33	161-162	.	_	_	_	_	_	

#Text=cave formation :  Secondary mineral deposit formed by the accumulation, dripping, or flowing of water in a cave. See also speleothem.
2-1	163-167	cave	_	A.2 Underground landform[5]	DEFINIENDUM[35]	_	_	
2-2	168-177	formation	_	A.2 Underground landform[5]	DEFINIENDUM[35]	_	_	
