#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Canonicalform|Canonical
#T_SP=webanno.custom.Category|Category
#T_SP=webanno.custom.Definitionelement|Def_element
#T_SP=webanno.custom.Relation|Relation
#T_SP=webanno.custom.Relation_definitor|Rel_verb_frame


#Text=﻿ponor: Rupa ili ždrijelo u vapnenačkoj zatvorenoj depresiji kroz koju se voda gubi u podzemlju.
1-1	0-6	﻿ponor	_	A.3 Hydrological form	DEFINIENDUM	_	_	
1-2	6-7	:	_	_	_	_	_	
1-3	8-12	Rupa	_	_	GENUS	HAS\_FORM	_	
1-4	13-16	ili	_	_	_	_	_	
1-5	17-25	ždrijelo	_	_	GENUS	HAS\_FORM	_	
1-6	26-27	u	_	_	_	HAS\_LOCATION[28]	frame\_LOCATION	
1-7	28-39	vapnenačkoj	_	_	_	HAS\_LOCATION[28]	_	
1-8	40-50	zatvorenoj	_	_	_	HAS\_LOCATION[28]	_	
1-9	51-60	depresiji	_	_	_	HAS\_LOCATION[28]	_	
1-10	61-65	kroz	_	_	_	HAS\_FUNCTION[29]	frame\_FUNCTION[56]	
1-11	66-70	koju	_	_	_	HAS\_FUNCTION[29]	frame\_FUNCTION[56]	
1-12	71-73	se	_	_	_	HAS\_FUNCTION[29]	_	
1-13	74-78	voda	_	_	_	HAS\_FUNCTION[29]	_	
1-14	79-83	gubi	_	_	_	HAS\_FUNCTION[29]	_	
1-15	84-85	u	_	_	_	HAS\_FUNCTION[29]	_	
1-16	86-95	podzemlju	_	_	_	HAS\_FUNCTION[29]	_	
1-17	95-96	.	_	_	_	_	_	

#Text=kotao: Opći izraz za bilo koju rupu, jamu ili depresiju koja je prirodno nastala u zemlji (i često je ispunjena vodom), a čiji oblik podsjeća na kotao ili zdjelu. Mogu biti promjera 2-8 m.
2-1	98-103	kotao	_	A.1 Surface landform	DEFINIENDUM	_	_	
2-2	103-104	:	_	_	_	_	_	
2-3	105-109	Opći	_	_	_	_	_	
2-4	110-115	izraz	_	_	_	_	_	
2-5	116-118	za	_	_	_	_	_	
2-6	119-123	bilo	_	_	_	_	_	
2-7	124-128	koju	_	_	_	_	_	
2-8	129-133	rupu	_	_	GENUS	_	_	
2-9	133-134	,	_	_	_	_	_	
2-10	135-139	jamu	_	_	GENUS	_	_	
2-11	140-143	ili	_	_	_	_	_	
2-12	144-153	depresiju	_	_	GENUS	_	_	
2-13	154-158	koja	_	_	_	_	_	
2-14	159-161	je	_	_	_	_	_	
2-15	162-170	prirodno	_	_	_	HAS\_CAUSE[30]	_	
2-16	171-178	nastala	_	_	_	HAS\_CAUSE[30]	_	
2-17	179-180	u	_	_	_	HAS\_CAUSE[30]	_	
2-18	181-187	zemlji	_	_	_	HAS\_CAUSE[30]	_	
2-19	188-189	(	_	_	_	_	_	
2-20	189-190	i	_	_	_	_	_	
2-21	191-196	često	_	_	_	CONTAINS[31]	frame\_CONTAINS[57]	
2-22	197-199	je	_	_	_	CONTAINS[31]	frame\_CONTAINS[57]	
2-23	200-209	ispunjena	_	_	_	CONTAINS[31]	frame\_CONTAINS[57]	
