#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Canonicalform|Canonical
#T_SP=webanno.custom.Category|Category
#T_SP=webanno.custom.Definitionelement|Def_element
#T_SP=webanno.custom.Relation|Relation
#T_SP=webanno.custom.Relation_definitor|Rel_verb_frame


#Text=abri: Skalni previs, ki ga je lahko izkoriščal človek za zavetje. Poljama, spodmol s širokim portalom.
1-1	0-4	abri	_	A.1 Surface landform	DEFINIENDUM	_	_	
1-2	4-5	:	_	_	_	_	_	
1-3	6-12	Skalni	_	D.1 Abiotic[1]	_	_	_	
1-4	13-19	previs	_	D.1 Abiotic[1]|D.1 Abiotic[2]	GENUS	_	_	
1-5	19-20	,	_	_	_	_	_	
1-6	21-23	ki	_	_	_	HAS\_FUNCTION[38]	_	
1-7	24-26	ga	_	_	_	HAS\_FUNCTION[38]	frame\_FUNCTION[68]	
1-8	27-29	je	_	_	_	HAS\_FUNCTION[38]	frame\_FUNCTION[68]	
1-9	30-35	lahko	_	_	_	HAS\_FUNCTION[38]	frame\_FUNCTION[68]	
1-10	36-46	izkoriščal	_	_	_	HAS\_FUNCTION[38]	frame\_FUNCTION[68]	
1-11	47-53	človek	_	D.2 Biotic	_	HAS\_FUNCTION[38]	_	
1-12	54-56	za	_	_	_	HAS\_FUNCTION[38]	_	
1-13	57-64	zavetje	_	_	_	HAS\_FUNCTION[38]	_	
1-14	64-65	.	_	_	_	_	_	
1-15	66-73	Poljama	_	A.1 Surface landform	DEFINIENDUM	_	_	
1-16	73-74	,	_	_	_	_	_	
1-17	75-82	spodmol	_	A.1 Surface landform	DEFINIENDUM	_	_	
1-18	83-84	s	_	_	_	HAS\_FORM[39]	_	
1-19	85-92	širokim	_	_	_	HAS\_FORM[39]	_	
1-20	93-101	portalom	_	_	_	HAS\_FORM[39]	_	
1-21	101-102	.	_	_	_	_	_	

#Text=agresivna voda: Voda, ki vsebuje nevezano ogljikovo, humozno, dušikovo ali druge kisline ter je še sposobna raztapljati karbonatno kamnino. V krasoslovju voda, ki je sposobna korodirati.
2-1	107-116	agresivna	_	D.1 Abiotic[3]	DEFINIENDUM[26]	_	_	
2-2	117-121	voda	_	D.1 Abiotic[3]	DEFINIENDUM[26]	_	_	
2-3	121-122	:	_	_	_	_	_	
2-4	123-127	Voda	_	D.1 Abiotic	GENUS	_	_	
2-5	127-128	,	_	_	_	_	_	
2-6	129-131	ki	_	_	_	CONTAINS[40]	_	
2-7	132-139	vsebuje	_	_	_	CONTAINS[40]	frame\_CONTAINS	
2-8	140-148	nevezano	_	_	_	CONTAINS[40]	_	
2-9	149-158	ogljikovo	ogljikova kislina	_	_	CONTAINS[40]	_	
2-10	158-159	,	_	_	_	CONTAINS[40]	_	
2-11	160-167	humozno	humozna kislina	_	_	CONTAINS[40]	_	
2-12	167-168	,	_	_	_	CONTAINS[40]	_	
2-13	169-177	dušikovo	dušikova kislina	_	_	CONTAINS[40]	_	
2-14	178-181	ali	_	_	_	CONTAINS[40]	_	
2-15	182-187	druge	_	_	_	CONTAINS[40]	_	
2-16	188-195	kisline	_	_	_	CONTAINS[40]	_	
2-17	196-199	ter	_	_	_	_	_	
2-18	200-202	je	_	_	_	HAS\_FUNCTION[41]	frame\_FUNCTION[69]	
2-19	203-205	še	_	_	_	HAS\_FUNCTION[41]	frame\_FUNCTION[69]	
2-20	206-214	sposobna	_	_	_	HAS\_FUNCTION[41]	frame\_FUNCTION[69]	
2-21	215-226	raztapljati	_	B.2 Loss	_	HAS\_FUNCTION[41]	_	
2-22	227-237	karbonatno	_	_	_	HAS\_FUNCTION[41]	_	
2-23	238-245	kamnino	_	D.1 Abiotic	_	HAS\_FUNCTION[41]	_	
2-24	245-246	.	_	_	_	_	_	
2-25	247-248	V	_	_	_	_	_	
2-26	249-260	krasoslovju	_	_	_	_	_	
2-27	261-265	voda	_	_	_	_	_	
2-28	265-266	,	_	_	_	_	_	
2-29	267-269	ki	_	_	_	HAS\_FUNCTION[42]	_	
2-30	270-272	je	_	_	_	HAS\_FUNCTION[42]	frame\_FUNCTION[70]	
2-31	273-281	sposobna	_	_	_	HAS\_FUNCTION[42]	frame\_FUNCTION[70]	
2-32	282-292	korodirati	_	B.2 Loss	_	HAS\_FUNCTION[42]	_	
2-33	292-293	.	_	_	_	_	_	

#Text=alogena voda: Voda, ki priteka na kraško površje ali v podzemlje z nekraškega sveta.
3-1	298-305	alogena	_	D.1 Abiotic[4]	DEFINIENDUM[27]	_	_	
3-2	306-310	voda	_	D.1 Abiotic[4]	DEFINIENDUM[27]	_	_	
3-3	310-311	:	_	_	_	_	_	
3-4	312-316	Voda	_	D.1 Abiotic	GENUS	_	_	
3-5	316-317	,	_	_	_	_	_	
3-6	318-320	ki	_	_	_	_	frame\_FUNCTION[71]	
3-7	321-328	priteka	_	_	_	_	frame\_FUNCTION[71]	
3-8	329-331	na	_	_	_	_	_	
3-9	332-338	kraško	_	C. Geome[5]	_	_	_	
3-10	339-346	površje	_	C. Geome[5]	_	_	_	
3-11	347-350	ali	_	_	_	_	_	
3-12	351-352	v	_	_	_	_	_	
3-13	353-362	podzemlje	_	C. Geome	_	_	_	
3-14	363-364	z	_	_	_	_	_	
