ID;language;definiendum;definition source;definition;
A0.0001;EN;karst forms;White and Culver, 2012;Karst forms are surface and subsurface karst features formed mainly by solutional processes of carbonate rocks of the region which are extremely well folded and fractured due to tectonic events.;
A0.0003;HR;konkrecija;Roglić, 1973;"konkrecija – tvorevina nastala izlučivanjem kora (v.) iz različitih otopina; za nas je posebno važno taloženje vapnenca (CaCO3) – v. sedra, sedrene tvorevine i siga, sigaste tvorevine.";
A1.0001;EN;cirque-dolines;N.N.;Glacial cirques have been transformed by solution into closed depressions, and  are called cirque-dolines.;
A1.0001;SL;kraška krnica;Stepišnik and Žebre, 2011;Ledeniške krnice, ki so dodatno poglobljene zaradi zakrasevanja, imenujemo kraške krnice.;
A1.0001;SL;kraška krnica;Stepišnik and Žebre, 2011;Kraška krnica je značilna reliefna oblika za Južne Alpe in Dinarsko gorstvo, kjer jo na južnem delu Dinarskega gorstva krajevno imenujejo do, na severnem delu pa navadno konta.;
A1.0002;EN;dry valleys;Bočić, Pahernik and Mihevc, 2015 po Sweeting, 1973;Dry valleys are often defined as thosewithout, or with only a temporary, watercourse.;
A1.0002;EN;dry valley;Gillieson, 1996;dry valley - a valley without a surface stream channel.;
A1.0002;EN;dry valley;Monroe, 1970;"dry valley :  A valley that lacks a surface water channel; common in the chalk of southern England.";
A1.0002;EN;dry valley;N.N.;Dry valley is a valley that generally lacks a stream, although one may occasionally form during peak rainfall events.;
A1.0002;EN;dry valleys;White and Culver, 2012;Remnants of old river streams are dry valleys, which lack an active watercourse over all or parts of their length for at least part of the year, because water is lost in karst or is in a much lower position.;
A1.0002;SL;suha dolina;Kodre, 2015;Suhe doline so značilne oblike tako za normalni oziroma fluvialni relief, kot tudi za kraški relief.;
A1.0002;SL;suha dolina;Ropret, 2016 po Geografski terminološki slovar, 2005;Suha dolina je dolinasta oblika na kraškem površju brez površinskega vodnega toka.;
A1.0002;SL;suha dolina;Urankar 2007 po Mihevc, 1998;Suhe doline so posledica razpada površinske rečne mreže.;
A1.0002;SL;suha dolina;Miklavčič, 2006 po Gams, 1973;SUHA DOLINA: Suha dolina (zakrasela dolina) je dolinasta oblika na krasu, brez stalnega površinskega vodnega toka.;
A1.0002;SL;suha dolina;Štembergar, 2016 po Geografski terminološki slovar, 2005;Suhe doline so dolinaste oblike na kraškem površju brez površinskega vodnega toka.;
A1.0002;SL;zakrasela dolina;Urankar 2007 po Mihevc, 1998;SUHA DOLINA: Suha dolina (zakrasela dolina) je dolinasta oblika na krasu, brez stalnega površinskega vodnega toka.;
A1.0002;SL;suha dolina;Gams et al., 1973;suha dolina, zakrasela dolina: Dolinasta oblika na krasu, brez stalnega površinskega vodnega toka. Glede na trajanje toka so trajno in obdobno suhe doline.;
