#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Canonicalform|Canonical
#T_SP=webanno.custom.Category|Category
#T_SP=webanno.custom.Definitionelement|Def_element
#T_SP=webanno.custom.Relation|Relation
#T_SP=webanno.custom.Relation_definitor|Rel_verb_frame


#Text=speleogen :  A secondary cave structure formed by dissolving, such as a dome pit or a scallop.
1-1	0-9	speleogen	_	A.2 Underground landform	DEFINIENDUM	_	_	
1-2	10-11	:	_	_	_	_	_	
1-3	13-14	A	_	_	_	_	_	
1-4	15-24	secondary	_	_	_	_	_	
1-5	25-29	cave	_	D.1 Abiotic[1]|A.2 Underground landform[2]	GENUS[19]	_	_	
1-6	30-39	structure	_	D.1 Abiotic[1]	GENUS[19]	_	_	
1-7	40-46	formed	_	_	_	HAS\_CAUSE[28]	frame\_CAUSE[57]	
1-8	47-49	by	_	_	_	HAS\_CAUSE[28]	frame\_CAUSE[57]	
1-9	50-60	dissolving	_	B.4 Transformation	_	HAS\_CAUSE[28]	_	
1-10	60-61	,	_	_	_	_	_	
1-11	62-66	such	_	_	_	CONTAINS[29]	_	
1-12	67-69	as	_	_	_	CONTAINS[29]	_	
1-13	70-71	a	_	_	_	CONTAINS[29]	_	
1-14	72-76	dome	_	A.2 Underground landform[3]	_	CONTAINS[29]	_	
1-15	77-80	pit	_	A.2 Underground landform[3]	_	CONTAINS[29]	_	
1-16	81-83	or	_	_	_	CONTAINS[29]	_	
1-17	84-85	a	_	_	_	CONTAINS[29]	_	
1-18	86-93	scallop	_	A.2 Underground landform	_	CONTAINS[29]	_	
1-19	93-94	.	_	_	_	_	_	

#Text=speleology :  The scientific study, exploration, and description of caves and related features.
2-1	95-105	speleology	_	E.2 Method	DEFINIENDUM	_	_	
2-2	106-107	:	_	_	_	_	_	
2-3	109-112	The	_	_	_	STUDIES[30]	_	
2-4	113-123	scientific	_	_	GENUS[20]	STUDIES[30]	_	
2-5	124-129	study	_	_	GENUS[20]	STUDIES[30]	_	
2-6	129-130	,	_	_	_	STUDIES[30]	_	
2-7	131-142	exploration	_	_	_	STUDIES[30]	_	
2-8	142-143	,	_	_	_	STUDIES[30]	_	
2-9	144-147	and	_	_	_	STUDIES[30]	_	
2-10	148-159	description	_	_	_	STUDIES[30]	_	
2-11	160-162	of	_	_	_	STUDIES[30]	_	
2-12	163-168	caves	cave	A.2 Underground landform	_	STUDIES[30]	_	
2-13	169-172	and	_	_	_	STUDIES[30]	_	
2-14	173-180	related	_	_	_	STUDIES[30]	_	
2-15	181-189	features	_	_	_	STUDIES[30]	_	
2-16	189-190	.	_	_	_	_	_	

#Text=speleothem :  A secondary mineral deposit formed in caves, such as stalactite or stalagmite. Synonym: cave formation.
