#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Canonicalform|Canonical
#T_SP=webanno.custom.Category|Category
#T_SP=webanno.custom.Definitionelement|Def_element
#T_SP=webanno.custom.Relation|Relation
#T_SP=webanno.custom.Relation_definitor|Rel_verb_frame


#Text=fosilna jama: V preteklih geoloških razdobjih nastala jama, ki se, danes ne oblikuje več. Objekt fosilnega krasa (gl. fosilni kras).
1-1	0-7	fosilna	_	A.2 Underground landform[1]	DEFINIENDUM[22]	_	_	
1-2	8-12	jama	_	A.2 Underground landform[1]	DEFINIENDUM[22]	_	_	
1-3	12-13	:	_	_	_	_	_	
1-4	14-15	V	_	_	_	_	_	
1-5	16-25	preteklih	_	_	_	HAS\_CAUSE[38]	_	
1-6	26-35	geoloških	_	_	_	HAS\_CAUSE[38]	_	
1-7	36-45	razdobjih	_	_	_	HAS\_CAUSE[38]	_	
1-8	46-53	nastala	_	_	_	HAS\_CAUSE[38]	_	
1-9	54-58	jama	_	A.2 Underground landform	GENUS	_	_	
1-10	58-59	,	_	_	_	_	_	
1-11	60-62	ki	_	_	_	_	_	
1-12	63-65	se	_	_	_	HAS\_FUNCTION[39]	_	
1-13	65-66	,	_	_	_	HAS\_FUNCTION[39]	_	
1-14	67-72	danes	_	_	_	HAS\_FUNCTION[39]	_	
1-15	73-75	ne	_	_	_	HAS\_FUNCTION[39]	_	
1-16	76-84	oblikuje	_	_	_	HAS\_FUNCTION[39]	_	
1-17	85-88	več	_	_	_	HAS\_FUNCTION[39]	_	
1-18	88-89	.	_	_	_	_	_	
1-19	90-96	Objekt	_	_	_	_	_	
1-20	97-106	fosilnega	_	_	_	_	_	
1-21	107-112	krasa	_	_	_	_	_	
1-22	113-114	(	_	_	_	_	_	
1-23	114-116	gl	_	_	_	_	_	
1-24	116-117	.	_	_	_	_	_	
1-25	118-125	fosilni	_	_	_	_	_	
1-26	126-130	kras	_	_	_	_	_	
1-27	130-131	)	_	_	_	_	_	
1-28	131-132	.	_	_	_	_	_	

#Text=podorna jama: Nastala s podiranjem. Jama ali del jame s podornim skalovjem, oziroma so jo podori bistveno preoblikovali.
2-1	137-144	podorna	_	A.2 Underground landform[2]	DEFINIENDUM[23]	_	_	
