#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Canonicalform|Canonical
#T_SP=webanno.custom.Category|Category
#T_SP=webanno.custom.Definitionelement|Def_element
#T_SP=webanno.custom.Relation|Relation
#T_SP=webanno.custom.Relation_definitor|Rel_verb_frame


#Text=﻿muljni stalagmit: Stalagmit izgrađen od mulja, a može biti cementiran kalcitom.
1-1	0-7	﻿muljni	_	A.2 Underground landform[1]	DEFINIENDUM[18]	_	_	
1-2	8-17	stalagmit	_	A.2 Underground landform[1]	DEFINIENDUM[18]	_	_	
1-3	17-18	:	_	_	_	_	_	
1-4	19-28	Stalagmit	_	A.2 Underground landform	GENUS	_	_	
1-5	29-37	izgrađen	_	_	_	COMPOSITION\_MEDIUM[33]	frame\_COMPOSITION[71]	
1-6	38-40	od	_	_	_	COMPOSITION\_MEDIUM[33]	frame\_COMPOSITION[71]	
1-7	41-46	mulja	_	D.1 Abiotic	_	COMPOSITION\_MEDIUM[33]	_	
1-8	46-47	,	_	_	_	_	_	
1-9	48-49	a	_	_	_	_	_	
1-10	50-54	može	_	_	_	_	_	
1-11	55-59	biti	_	_	_	_	_	
1-12	60-70	cementiran	_	_	_	COMPOSITION\_MEDIUM[34]	_	
1-13	71-79	kalcitom	_	D.1 Abiotic	_	COMPOSITION\_MEDIUM[34]	_	
1-14	79-80	.	_	_	_	_	_	

#Text=goli krš: Krš razvijen u području bez pokrova tla, tako da su topografski oblici dobro izraženi.
2-1	82-86	goli	_	C. Geome[2]	DEFINIENDUM[19]	_	_	
2-2	87-90	krš	_	C. Geome[2]	DEFINIENDUM[19]	_	_	
2-3	90-91	:	_	_	_	_	_	
2-4	92-95	Krš	_	C. Geome	GENUS	_	_	
2-5	96-104	razvijen	_	_	_	HAS\_LOCATION[35]	frame\_LOCATION[72]	
2-6	105-106	u	_	_	_	HAS\_LOCATION[35]	frame\_LOCATION[72]	
2-7	107-115	području	_	_	_	HAS\_LOCATION[35]	_	
2-8	116-119	bez	_	_	_	HAS\_LOCATION[35]	_	
2-9	120-127	pokrova	_	_	_	HAS\_LOCATION[35]	_	
2-10	128-131	tla	_	_	_	HAS\_LOCATION[35]	_	
2-11	131-132	,	_	_	_	_	_	
2-12	133-137	tako	_	_	_	_	_	
2-13	138-140	da	_	_	_	_	_	
2-14	141-143	su	_	_	_	_	_	
2-15	144-155	topografski	_	_	_	HAS\_ATTRIBUTE[36]	_	
2-16	156-162	oblici	_	_	_	HAS\_ATTRIBUTE[36]	_	
2-17	163-168	dobro	_	_	_	HAS\_ATTRIBUTE[36]	_	
2-18	169-177	izraženi	_	_	_	HAS\_ATTRIBUTE[36]	_	
2-19	177-178	.	_	_	_	_	_	

#Text=prirodni tunel: Špilja koja je gotovo horizontalna i koja je otvorena s oba kraja. Njome može teči vodotok.
3-1	180-188	prirodni	_	A.2 Underground landform[3]	DEFINIENDUM[20]	_	_	
3-2	189-194	tunel	_	A.2 Underground landform[3]	DEFINIENDUM[20]	_	_	
3-3	194-195	:	_	_	_	_	_	
3-4	196-202	Špilja	_	A.2 Underground landform	GENUS	_	_	
3-5	203-207	koja	_	_	_	_	_	
3-6	208-210	je	_	_	_	_	_	
3-7	211-217	gotovo	_	_	_	_	_	
3-8	218-230	horizontalna	_	_	_	HAS\_FORM	_	
3-9	231-232	i	_	_	_	_	_	
3-10	233-237	koja	_	_	_	_	_	
3-11	238-240	je	_	_	_	_	_	
3-12	241-249	otvorena	_	_	_	HAS\_ATTRIBUTE[37]	_	
3-13	250-251	s	_	_	_	HAS\_ATTRIBUTE[37]	_	
3-14	252-255	oba	_	_	_	HAS\_ATTRIBUTE[37]	_	
3-15	256-261	kraja	_	_	_	HAS\_ATTRIBUTE[37]	_	
3-16	261-262	.	_	_	_	_	_	
3-17	263-268	Njome	_	_	_	HAS\_FUNCTION[38]	_	
