#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Canonicalform|Canonical
#T_SP=webanno.custom.Category|Category
#T_SP=webanno.custom.Definitionelement|Def_element
#T_SP=webanno.custom.Relation|Relation
#T_SP=webanno.custom.Relation_definitor|Rel_verb_frame


#Text=Posamezni gobasti balvani, imenovani tudi kraške mize, so zaščitili apneniško podlago pod sabo pred dežjem in korozijo in se zato po zadnji ledeni dobi sčasoma relativno dvignili nad okolico.
1-1	0-9	Posamezni	_	_	_	_	_	
1-2	10-17	gobasti	_	A.1 Surface landform[1]	DEFINIENDUM[20]	_	_	
1-3	18-25	balvani	_	A.1 Surface landform[1]	DEFINIENDUM[20]	_	_	
1-4	25-26	,	_	_	_	_	_	
1-5	27-36	imenovani	_	_	_	_	_	
1-6	37-41	tudi	_	_	_	_	_	
1-7	42-48	kraške	_	A.1 Surface landform[2]	DEFINIENDUM[21]	_	_	
1-8	49-53	mize	_	A.1 Surface landform[2]	DEFINIENDUM[21]	_	_	
1-9	53-54	,	_	_	_	_	_	
1-10	55-57	so	_	_	_	HAS\_FUNCTION[31]	_	
1-11	58-67	zaščitili	_	D.3 Property	_	HAS\_FUNCTION[31]	_	
1-12	68-77	apneniško	_	D.1 Abiotic[3]	_	HAS\_FUNCTION[31]	_	
1-13	78-85	podlago	_	D.1 Abiotic[3]	_	HAS\_FUNCTION[31]	_	
1-14	86-89	pod	_	_	_	HAS\_FUNCTION[31]	_	
1-15	90-94	sabo	_	_	_	HAS\_FUNCTION[31]	_	
1-16	95-99	pred	_	_	_	HAS\_FUNCTION[31]	_	
1-17	100-106	dežjem	_	D.1 Abiotic	_	HAS\_FUNCTION[31]	_	
1-18	107-109	in	_	_	_	HAS\_FUNCTION[31]	_	
1-19	110-118	korozijo	_	B.4 Transformation	_	HAS\_FUNCTION[31]	_	
1-20	119-121	in	_	_	_	HAS\_FUNCTION[31]	_	
1-21	122-124	se	_	_	_	_	_	
1-22	125-129	zato	_	_	_	_	_	
1-23	130-132	po	_	_	_	HAS\_RESULT[32]	_	
1-24	133-139	zadnji	_	_	_	HAS\_RESULT[32]	_	
1-25	140-146	ledeni	_	D.3 Property[4]	_	HAS\_RESULT[32]	_	
1-26	147-151	dobi	_	D.3 Property[4]	_	HAS\_RESULT[32]	_	
1-27	152-159	sčasoma	_	_	_	HAS\_RESULT[32]	_	
1-28	160-169	relativno	_	_	_	HAS\_RESULT[32]	_	
1-29	170-178	dvignili	_	_	_	HAS\_RESULT[32]	_	
1-30	179-182	nad	_	_	_	HAS\_RESULT[32]	_	
1-31	183-190	okolico	_	_	_	HAS\_RESULT[32]	_	
1-32	190-191	.	_	_	_	_	_	

#Text=Jame so bivališča vil, divjih žena, ajdov, velikanov, pritlikavcev, divjakov in podobno.
2-1	192-196	Jame	_	A.2 Underground landform	DEFINIENDUM	_	_	
2-2	197-199	so	_	_	DEFINITOR	_	_	
2-3	200-209	bivališča	_	D.1 Abiotic	GENUS	_	_	
2-4	210-213	vil	_	_	_	CONTAINS[33]	_	
2-5	213-214	,	_	_	_	CONTAINS[33]	_	
2-6	215-221	divjih	_	_	_	CONTAINS[33]	_	
2-7	222-226	žena	_	_	_	CONTAINS[33]	_	
2-8	226-227	,	_	_	_	CONTAINS[33]	_	
2-9	228-233	ajdov	_	_	_	CONTAINS[33]	_	
2-10	233-234	,	_	_	_	CONTAINS[33]	_	
2-11	235-244	velikanov	_	_	_	CONTAINS[33]	_	
2-12	244-245	,	_	_	_	CONTAINS[33]	_	
2-13	246-258	pritlikavcev	_	_	_	CONTAINS[33]	_	
2-14	258-259	,	_	_	_	CONTAINS[33]	_	
2-15	260-268	divjakov	_	_	_	CONTAINS[33]	_	
2-16	269-271	in	_	_	_	CONTAINS[33]	_	
2-17	272-279	podobno	_	_	_	CONTAINS[33]	_	
2-18	279-280	.	_	_	_	_	_	

#Text=Manjše votline narečno imenujejo lisičina, brlog, rupa, luknja, kevderc, frlinka, jazbina, polšna, kamra, skedenj.
3-1	281-287	Manjše	_	_	_	HAS\_FORM[34]	_	
3-2	288-295	votline	_	A.2 Underground landform	GENUS	HAS\_FORM[34]	_	
3-3	296-303	narečno	_	_	_	_	_	
3-4	304-313	imenujejo	_	_	DEFINITOR	_	_	
3-5	314-322	lisičina	_	A.2 Underground landform	DEFINIENDUM	_	_	
3-6	322-323	,	_	_	_	_	_	
3-7	324-329	brlog	_	A.2 Underground landform	DEFINIENDUM	_	_	
3-8	329-330	,	_	_	_	_	_	
3-9	331-335	rupa	_	A.2 Underground landform	DEFINIENDUM	_	_	
3-10	335-336	,	_	_	_	_	_	
3-11	337-343	luknja	_	A.2 Underground landform	DEFINIENDUM	_	_	
3-12	343-344	,	_	_	_	_	_	
3-13	345-352	kevderc	_	A.2 Underground landform	DEFINIENDUM	_	_	
3-14	352-353	,	_	_	_	_	_	
3-15	354-361	frlinka	_	A.2 Underground landform	DEFINIENDUM	_	_	
3-16	361-362	,	_	_	_	_	_	
3-17	363-370	jazbina	_	A.2 Underground landform	DEFINIENDUM	_	_	
3-18	370-371	,	_	_	_	_	_	
3-19	372-378	polšna	_	A.2 Underground landform	DEFINIENDUM	_	_	
3-20	378-379	,	_	_	_	_	_	
3-21	380-385	kamra	_	A.2 Underground landform	DEFINIENDUM	_	_	
3-22	385-386	,	_	_	_	_	_	
3-23	387-394	skedenj	_	A.2 Underground landform	DEFINIENDUM	_	_	
3-24	394-395	.	_	_	_	_	_	

#Text=Beseda jama lahko pomeni vodoravno votlino ali pa brezno, ki se poglablja navzdol.
4-1	396-402	Beseda	_	_	_	_	_	
4-2	403-407	jama	_	A.2 Underground landform	DEFINIENDUM	_	_	
4-3	408-413	lahko	_	_	_	_	_	
4-4	414-420	pomeni	_	_	DEFINITOR	_	_	
4-5	421-430	vodoravno	_	_	_	HAS\_FORM[35]	_	
4-6	431-438	votlino	_	A.2 Underground landform	GENUS	HAS\_FORM[35]	_	
4-7	439-442	ali	_	_	_	_	_	
4-8	443-445	pa	_	_	_	_	_	
4-9	446-452	brezno	_	_	GENUS	_	_	
4-10	452-453	,	_	_	_	_	_	
4-11	454-456	ki	_	_	_	HAS\_FORM[36]	_	
4-12	457-459	se	_	_	_	HAS\_FORM[36]	_	
4-13	460-469	poglablja	_	_	_	HAS\_FORM[36]	_	
4-14	470-477	navzdol	_	_	_	HAS\_FORM[36]	_	
4-15	477-478	.	_	_	_	_	_	

#Text=Nasprotje lijakastemu breznu je zvonasto brezno, ki se širi navzdol.
5-1	479-488	Nasprotje	_	_	_	_	_	
5-2	489-500	lijakastemu	_	A.2 Underground landform[5]	_	_	_	
5-3	501-507	breznu	_	A.2 Underground landform[5]	_	_	_	
5-4	508-510	je	_	_	_	_	_	
5-5	511-519	zvonasto	_	A.2 Underground landform[6]	DEFINIENDUM[22]	_	_	
5-6	520-526	brezno	_	A.2 Underground landform[6]	DEFINIENDUM[22]	_	_	
5-7	526-527	,	_	_	_	_	_	
5-8	528-530	ki	_	_	_	HAS\_FORM[37]	_	
5-9	531-533	se	_	_	_	HAS\_FORM[37]	_	
5-10	534-538	širi	_	_	_	HAS\_FORM[37]	_	
5-11	539-546	navzdol	_	_	_	HAS\_FORM[37]	_	
5-12	546-547	.	_	_	_	_	_	

#Text=Ameriška kraška terminologija Monroe, 1970 definira vrtačo kot kotlasto ali lijakasto kotanjo v apnencu, s premerom do enega kilometra širine in globino od nekaj do več sto metrov.
6-1	548-556	Ameriška	_	_	_	_	_	
6-2	557-563	kraška	_	_	_	_	_	
6-3	564-577	terminologija	_	_	_	_	_	
6-4	578-584	Monroe	_	_	_	_	_	
6-5	584-585	,	_	_	_	_	_	
6-6	586-590	1970	_	_	_	_	_	
6-7	591-599	definira	_	_	DEFINITOR	_	_	
6-8	600-606	vrtačo	_	A.1 Surface landform	DEFINIENDUM	_	_	
6-9	607-610	kot	_	_	DEFINITOR	_	_	
6-10	611-619	kotlasto	kotlasta kotanja	D.1 Abiotic	_	HAS\_FORM[38]	_	
6-11	620-623	ali	_	_	_	HAS\_FORM[38]	_	
6-12	624-633	lijakasto	_	D.1 Abiotic[7]	_	HAS\_FORM[38]	_	
6-13	634-641	kotanjo	_	D.1 Abiotic[7]	GENUS	_	_	
6-14	642-643	v	_	_	_	COMPOSITION\_MEDIUM[39]	frame\_COMPOSITION	
6-15	644-651	apnencu	_	D.1 Abiotic	_	COMPOSITION\_MEDIUM[39]	_	
6-16	651-652	,	_	_	_	_	_	
6-17	653-654	s	_	_	_	HAS\_SIZE[40]	frame\_SIZE[51]	
6-18	655-663	premerom	_	_	_	HAS\_SIZE[40]	frame\_SIZE[51]	
6-19	664-666	do	_	_	_	HAS\_SIZE[40]	_	
6-20	667-672	enega	_	_	_	HAS\_SIZE[40]	_	
6-21	673-682	kilometra	_	_	_	HAS\_SIZE[40]	_	
6-22	683-689	širine	_	D.3 Property	_	HAS\_SIZE[40]	_	
