 # webanno.custom.Entity | NC
#id=1
#text=Die Äpfel ( Malus ) bilden eine Pflanzengattung der Kernobstgewächse ( Pyrinae ) aus der Familie der Rosengewächse ( Rosaceae ) . Die Gattung umfasst etwa 42 bis 55 Arten laubwerfender Bäume und Sträucher aus Wäldern und Dickichten der nördlichen gemäßigten Zone in Europa , Asien und Nordamerika , aus denen auch eine große Anzahl an oft schwer unterscheidbaren Hybriden hervorgegangen ist
1-1	Die	O	
1-2	Äpfel	B-NC	
1-3	(	O	
1-4	Malus	B-NC	
1-5	)	O	
1-6	bilden	O	
1-7	eine	O	
1-8	Pflanzengattung	B-NC	
1-9	der	O	
1-10	Kernobstgewächse	B-NC	
1-11	(	O	
1-12	Pyrinae	B-NC	
1-13	)	O	
1-14	aus	O	
1-15	der	O	
1-16	Familie	B-NC	
1-17	der	O	
1-18	Rosengewächse	B-NC	
1-19	(	O	
1-20	Rosaceae	B-NC	
1-21	)	O	
1-22	.	O	
1-23	Die	O	
1-24	Gattung	B-NC	
1-25	umfasst	O	
1-26	etwa	O	
1-27	42	O	
1-28	bis	O	
1-29	55	O	
1-30	Arten	B-NC	
1-31	laubwerfender	O	
1-32	Bäume	B-NC	
1-33	und	O	
1-34	Sträucher	B-NC	
1-35	aus	O	
1-36	Wäldern	B-NC	
1-37	und	O	
1-38	Dickichten	B-NC	
1-39	der	O	
1-40	nördlichen	O	
1-41	gemäßigten	O	
1-42	Zone	B-NC	
1-43	in	O	
1-44	Europa	B-NC	
1-45	,	O	
1-46	Asien	B-NC	
1-47	und	O	
1-48	Nordamerika	B-NC	
1-49	,	O	
1-50	aus	O	
1-51	denen	O	
1-52	auch	O	
1-53	eine	O	
1-54	große	O	
1-55	Anzahl	B-NC	
1-56	an	O	
1-57	oft	O	
1-58	schwer	O	
1-59	unterscheidbaren	O	
1-60	Hybriden	B-NC	
1-61	hervorgegangen	O	
1-62	ist	O	

#id=2
#text=Die weltweit mit Abstand bekannteste und wirtschaftlich sehr bedeutende Art ist der Kulturapfel ( Malus domestica ) . Daneben werden manche aus Ostasien stammende Arten mit nur etwa kirschgroßen Früchten , wie etwa der Japanische Apfel ( Malus floribunda ) , der Kirschapfel ( Malus baccata ) und Malus ×zumi in gemäßigten Klimagebieten als Ziersträucher und - bäume angepflanzt . Nicht zu verwechseln mit den Äpfeln sind die nicht näher verwandten Granatäpfel ( Punica granatum )
2-1	Die	O	
2-2	weltweit	O	
2-3	mit	O	
2-4	Abstand	B-NC	
2-5	bekannteste	O	
2-6	und	O	
2-7	wirtschaftlich	O	
2-8	sehr	O	
2-9	bedeutende	O	
2-10	Art	B-NC	
2-11	ist	O	
2-12	der	O	
2-13	Kulturapfel	B-NC	
2-14	(	O	
2-15	Malus	B-NC	
2-16	domestica	B-NC	
2-17	)	O	
2-18	.	O	
2-19	Daneben	O	
2-20	werden	O	
2-21	manche	O	
2-22	aus	O	
2-23	Ostasien	B-NC	
2-24	stammende	O	
2-25	Arten	B-NC	
2-26	mit	O	
2-27	nur	O	
2-28	etwa	O	
2-29	kirschgroßen	O	
2-30	Früchten	B-NC	
2-31	,	O	
2-32	wie	O	
2-33	etwa	O	
2-34	der	O	
2-35	Japanische	O	
2-36	Apfel	B-NC	
2-37	(	O	
2-38	Malus	B-NC	
2-39	floribunda	B-NC	
2-40	)	O	
2-41	,	O	
2-42	der	O	
2-43	Kirschapfel	B-NC	
2-44	(	O	
2-45	Malus	B-NC	
2-46	baccata	B-NC	
2-47	)	O	
2-48	und	O	
2-49	Malus	B-NC	
2-50	×zumi	B-NC	
2-51	in	O	
2-52	gemäßigten	O	
2-53	Klimagebieten	B-NC	
2-54	als	O	
2-55	Ziersträucher	B-NC	
2-56	und	O	
2-57	-	O	
2-58	bäume	O	
2-59	angepflanzt	O	
2-60	.	O	
2-61	Nicht	O	
2-62	zu	O	
2-63	verwechseln	O	
2-64	mit	O	
2-65	den	O	
2-66	Äpfeln	B-NC	
2-67	sind	O	
2-68	die	O	
2-69	nicht	O	
2-70	näher	O	
2-71	verwandten	O	
2-72	Granatäpfel	B-NC	
2-73	(	O	
2-74	Punica	B-NC	
2-75	granatum	B-NC	
2-76	)	O	
