 # webanno.custom.Entity | NC
#id=1
#text=Malus ( /ˈmeɪləs/[3 ] or /ˈmæləs/ ) , apple , is a genus of about 30 – 55 species[4 ] of small deciduous trees or shrubs in the family Rosaceae , including the domesticated orchard apple ( M. domestica ) . The other species are generally known as crabapples , crab apples , crabs , or wild apples
1-1	Malus	B-NC	
1-2	(	O	
1-3	/ˈmeɪləs/[3	B-NC	
1-4	]	O	
1-5	or	O	
1-6	/ˈmæləs/	O	
1-7	)	O	
1-8	,	O	
1-9	apple	B-NC	
1-10	,	O	
1-11	is	O	
1-12	a	O	
1-13	genus	B-NC	
1-14	of	O	
1-15	about	O	
1-16	30	O	
1-17	–	B-NC	
1-18	55	O	
1-19	species[4	B-NC	
1-20	]	O	
1-21	of	O	
1-22	small	O	
1-23	deciduous	O	
1-24	trees	B-NC	
1-25	or	O	
1-26	shrubs	B-NC	
1-27	in	O	
1-28	the	O	
1-29	family	B-NC	
1-30	Rosaceae	B-NC	
1-31	,	O	
1-32	including	O	
1-33	the	O	
1-34	domesticated	O	
1-35	orchard	B-NC	
1-36	apple	B-NC	
1-37	(	O	
1-38	M.	B-NC	
1-39	domestica	B-NC	
1-40	)	O	
1-41	.	O	
1-42	The	O	
1-43	other	O	
1-44	species	B-NC	
1-45	are	O	
1-46	generally	O	
1-47	known	O	
1-48	as	O	
1-49	crabapples	B-NC	
1-50	,	O	
1-51	crab	B-NC	
1-52	apples	B-NC	
1-53	,	O	
1-54	crabs	B-NC	
1-55	,	O	
1-56	or	O	
1-57	wild	O	
1-58	apples	B-NC	

#id=2
#text=The genus is native to the temperate zone of the Northern Hemisphere
2-1	The	O	
2-2	genus	B-NC	
2-3	is	O	
2-4	native	O	
2-5	to	O	
2-6	the	O	
2-7	temperate	O	
2-8	zone	B-NC	
2-9	of	O	
2-10	the	O	
2-11	Northern	B-NC	
2-12	Hemisphere	B-NC	

