 # webanno.custom.Entity | NC
#id=1
#text=Я́блоня ( лат . Mālus ) — род листопадных деревьев и кустарников семейства Розовые с шаровидными сладкими или кисло - сладкими плодами
1-1	Я́блоня	B-NC	
1-2	(	O	
1-3	лат	O	
1-4	.	O	
1-5	Mālus	O	
1-6	)	O	
1-7	—	O	
1-8	род	B-NC	
1-9	листопадных	O	
1-10	деревьев	B-NC	
1-11	и	O	
1-12	кустарников	B-NC	
1-13	семейства	B-NC	
1-14	Розовые	O	
1-15	с	O	
1-16	шаровидными	O	
1-17	сладкими	O	
1-18	или	O	
1-19	кисло	O	
1-20	-	O	
1-21	сладкими	O	
1-22	плодами	B-NC	

#id=2
#text=Род относится к трибе Яблоневые ( Maleae ) подсемейства Сливовые ( Spiraeoídeae)[2 ] . Насчитывает 36 видов ( 1976 ) . Наиболее распространены : яблоня домашняя , или культурная ( Malus domestica ) , к которой относится большинство возделываемых в мире сортов ( число которых превышает 10 000[3 ] ) , яблоня сливолистная , китайская ( Malus prunifolia ) и яблоня низкая ( Malus pumila )
2-1	Род	B-NC	
2-2	относится	O	
2-3	к	O	
2-4	трибе	B-NC	
2-5	Яблоневые	O	
2-6	(	O	
2-7	Maleae	O	
2-8	)	O	
2-9	подсемейства	B-NC	
2-10	Сливовые	O	
2-11	(	O	
2-12	Spiraeoídeae)[2	O	
2-13	]	O	
2-14	.	O	
2-15	Насчитывает	O	
2-16	36	O	
2-17	видов	B-NC	
2-18	(	O	
2-19	1976	O	
2-20	)	O	
2-21	.	O	
2-22	Наиболее	O	
2-23	распространены	O	
2-24	:	O	
2-25	яблоня	B-NC	
2-26	домашняя	O	
2-27	,	O	
2-28	или	O	
2-29	культурная	O	
2-30	(	O	
2-31	Malus	O	
2-32	domestica	O	
2-33	)	O	
2-34	,	O	
2-35	к	O	
2-36	которой	O	
2-37	относится	O	
2-38	большинство	B-NC	
2-39	возделываемых	O	
2-40	в	O	
2-41	мире	B-NC	
2-42	сортов	B-NC	
2-43	(	O	
2-44	число	B-NC	
2-45	которых	O	
2-46	превышает	O	
2-47	10	O	
2-48	000[3	O	
2-49	]	O	
2-50	)	O	
2-51	,	O	
2-52	яблоня	B-NC	
2-53	сливолистная	O	
2-54	,	O	
2-55	китайская	O	
2-56	(	O	
2-57	Malus	O	
2-58	prunifolia	O	
2-59	)	O	
2-60	и	O	
2-61	яблоня	B-NC	
2-62	низкая	O	
2-63	(	O	
2-64	Malus	O	
2-65	pumila	O	
2-66	)	O	

#id=3
#text=Многие виды яблони выращивают в качестве декоративных растений в садах и парках , используют в полезащитном лесоразведении . Все виды — хорошие медоносы . Древесина у яблони плотная , крепкая , легко режется и хорошо полируется ; пригодна для токарных и столярных изделий , мелких поделок[4 ]
3-1	Многие	O	
3-2	виды	B-NC	
3-3	яблони	B-NC	
3-4	выращивают	O	
3-5	в	O	
3-6	качестве	B-NC	
3-7	декоративных	O	
3-8	растений	B-NC	
3-9	в	O	
3-10	садах	B-NC	
3-11	и	O	
3-12	парках	B-NC	
3-13	,	O	
3-14	используют	O	
3-15	в	O	
3-16	полезащитном	O	
3-17	лесоразведении	B-NC	
3-18	.	O	
3-19	Все	O	
3-20	виды	B-NC	
3-21	—	O	
3-22	хорошие	O	
3-23	медоносы	B-NC	
3-24	.	O	
3-25	Древесина	B-NC	
3-26	у	O	
3-27	яблони	B-NC	
3-28	плотная	O	
3-29	,	O	
3-30	крепкая	O	
3-31	,	O	
3-32	легко	O	
3-33	режется	O	
3-34	и	O	
3-35	хорошо	O	
3-36	полируется	O	
3-37	;	O	
3-38	пригодна	O	
3-39	для	O	
3-40	токарных	O	
3-41	и	O	
3-42	столярных	O	
3-43	изделий	B-NC	
3-44	,	O	
3-45	мелких	O	
3-46	поделок[4	B-NC	
3-47	]	O	

