 # webanno.custom.Entity | NC
#id=1
#text=Das Auge ( lat. oculus , griech. ὤψ ops ) ist ein Sinnesorgan zur Wahrnehmung von Lichtreizen . Es ist Teil des visuellen Systems und ermöglicht Tieren das Sehen . Die Aufnahme der Reize geschieht mit Hilfe von Fotorezeptoren , lichtempfindlichen Nervenzellen , deren Erregungszustand durch die unterschiedlichen Wellenlängen elektromagnetischer Strahlung aus dem sichtbaren Spektrum verändert wird . Bei Wirbeltieren gelangen diese Nervenimpulse über die Sehnervenbahnen zum Sehzentrum des Gehirns , wo sie schließlich zu einer optischen Wahrnehmung verarbeitet werden
1-1	Das	O	
1-2	Auge	B-NC	
1-3	(	O	
1-4	lat.	B-NC	
1-5	oculus	B-NC	
1-6	,	O	
1-7	griech.	O	
1-8	ὤψ	O	
1-9	ops	B-NC	
1-10	)	O	
1-11	ist	O	
1-12	ein	O	
1-13	Sinnesorgan	B-NC	
1-14	zur	O	
1-15	Wahrnehmung	B-NC	
1-16	von	O	
1-17	Lichtreizen	B-NC	
1-18	.	O	
1-19	Es	O	
1-20	ist	O	
1-21	Teil	B-NC	
1-22	des	O	
1-23	visuellen	O	
1-24	Systems	B-NC	
1-25	und	O	
1-26	ermöglicht	O	
1-27	Tieren	B-NC	
1-28	das	O	
1-29	Sehen	B-NC	
1-30	.	O	
1-31	Die	O	
1-32	Aufnahme	B-NC	
1-33	der	O	
1-34	Reize	B-NC	
1-35	geschieht	O	
1-36	mit	O	
1-37	Hilfe	B-NC	
1-38	von	O	
1-39	Fotorezeptoren	B-NC	
1-40	,	O	
1-41	lichtempfindlichen	O	
1-42	Nervenzellen	B-NC	
1-43	,	O	
1-44	deren	O	
1-45	Erregungszustand	B-NC	
1-46	durch	O	
1-47	die	O	
1-48	unterschiedlichen	O	
1-49	Wellenlängen	B-NC	
1-50	elektromagnetischer	O	
1-51	Strahlung	B-NC	
1-52	aus	O	
1-53	dem	O	
1-54	sichtbaren	O	
1-55	Spektrum	B-NC	
1-56	verändert	O	
1-57	wird	O	
1-58	.	O	
1-59	Bei	O	
1-60	Wirbeltieren	B-NC	
1-61	gelangen	O	
1-62	diese	O	
1-63	Nervenimpulse	B-NC	
1-64	über	O	
1-65	die	O	
1-66	Sehnervenbahnen	B-NC	
1-67	zum	O	
1-68	Sehzentrum	B-NC	
1-69	des	O	
1-70	Gehirns	B-NC	
1-71	,	O	
1-72	wo	O	
1-73	sie	O	
1-74	schließlich	O	
1-75	zu	O	
1-76	einer	O	
1-77	optischen	O	
1-78	Wahrnehmung	B-NC	
1-79	verarbeitet	O	
1-80	werden	O	

#id=2
#text=Die Augen von Tieren unterscheiden sich in Aufbau und Funktionalität teilweise erheblich . Ihr biologischer Stellenwert und damit ihre Leistungsfähigkeit ist eng an die Anforderungen des jeweiligen Organismus angepasst . Auch die Anzahl der Augen ist ein evolutionäres Ergebnis der Lebensumstände . Manche Tiere , deren Orientierung weniger von visuellen Eindrücken bestimmt wird , benötigen lediglich eine grobe Unterscheidung von Hell und Dunkel , andere wiederum von Kontrast - und Bewegungsmustern . Höher entwickelte Augen dienen der kontrastreichen Bildwahrnehmung , deren Qualität mit der Fähigkeit steigt , Helligkeitsunterschiede sehr differenziert wahrzunehmen ( Minimum visibile ) . Dies drückt sich wiederum in einer entsprechenden Sehschärfe ( Minimum separabile ) aus , die bei Tag , Dämmerung oder Nacht sehr unterschiedlich sein kann . Wieder andere benötigen weniger ein kontrastreiches Sehen als vielmehr ein großes Gesichtsfeld oder eine differenzierte Farbwahrnehmung in verschiedenen Wellenlängenbereichen
2-1	Die	O	
2-2	Augen	B-NC	
2-3	von	O	
2-4	Tieren	B-NC	
2-5	unterscheiden	O	
2-6	sich	O	
2-7	in	O	
2-8	Aufbau	B-NC	
2-9	und	O	
2-10	Funktionalität	B-NC	
2-11	teilweise	O	
2-12	erheblich	O	
2-13	.	O	
2-14	Ihr	O	
2-15	biologischer	O	
2-16	Stellenwert	B-NC	
2-17	und	O	
2-18	damit	O	
2-19	ihre	O	
2-20	Leistungsfähigkeit	B-NC	
2-21	ist	O	
2-22	eng	O	
2-23	an	O	
2-24	die	O	
2-25	Anforderungen	B-NC	
2-26	des	O	
2-27	jeweiligen	O	
2-28	Organismus	B-NC	
2-29	angepasst	O	
2-30	.	O	
2-31	Auch	O	
2-32	die	O	
2-33	Anzahl	B-NC	
2-34	der	O	
2-35	Augen	B-NC	
2-36	ist	O	
2-37	ein	O	
2-38	evolutionäres	O	
2-39	Ergebnis	B-NC	
2-40	der	O	
2-41	Lebensumstände	B-NC	
2-42	.	O	
2-43	Manche	O	
2-44	Tiere	B-NC	
