 # webanno.custom.Entity | NC
#id=1
#text=Ein offizielles Endergebnis wurde noch nicht veröffentlicht , Hochrechnungen signalisieren aber einen klaren Sieg von Evo Morales von der sozialistischen Partei MAS ( Movimiento al Socialismo ) . Laut dieser Hochrechnungen entfielen auf Morales bei der Wahl am Sonntag etwa 50 Prozent der Stimmen . Andere Hochrechnungen sehen Morales bei 44,5 Prozent der Stimmen , vor dem konservativen Politiker Jorge Quiroga Ramírez , für den 34 Prozent der Wähler gestimmt haben sollen . Erreicht keiner der Kandidaten die absolute Mehrheit , so sieht die bolivianische Verfassung eine Wahl des Präsidenten durch das Parlament vor , die Mitte Januar stattfinden würde . Jorge Quiroga , dessen politisches Programm ein liberales Wirtschaftssystem und ein Festhalten an den Gesetzen gegen den Coca-Anbau vorsah , gestand in einer Fernsehansprache seine Niederlage ein
1-1	Ein	O	
1-2	offizielles	O	
1-3	Endergebnis	B-NC	
1-4	wurde	O	
1-5	noch	O	
1-6	nicht	O	
1-7	veröffentlicht	O	
1-8	,	O	
1-9	Hochrechnungen	B-NC	
1-10	signalisieren	O	
1-11	aber	O	
1-12	einen	O	
1-13	klaren	O	
1-14	Sieg	B-NC	
1-15	von	O	
1-16	Evo	B-NC	
1-17	Morales	B-NC	
1-18	von	O	
1-19	der	O	
1-20	sozialistischen	O	
1-21	Partei	B-NC	
1-22	MAS	B-NC	
1-23	(	O	
1-24	Movimiento	B-NC	
1-25	al	B-NC	
1-26	Socialismo	B-NC	
1-27	)	O	
1-28	.	O	
1-29	Laut	O	
1-30	dieser	O	
1-31	Hochrechnungen	B-NC	
1-32	entfielen	O	
1-33	auf	O	
1-34	Morales	B-NC	
1-35	bei	O	
1-36	der	O	
1-37	Wahl	B-NC	
1-38	am	O	
1-39	Sonntag	B-NC	
1-40	etwa	O	
1-41	50	O	
1-42	Prozent	B-NC	
1-43	der	O	
1-44	Stimmen	B-NC	
1-45	.	O	
1-46	Andere	O	
1-47	Hochrechnungen	B-NC	
1-48	sehen	O	
1-49	Morales	B-NC	
1-50	bei	O	
1-51	44,5	O	
1-52	Prozent	B-NC	
1-53	der	O	
1-54	Stimmen	B-NC	
1-55	,	O	
1-56	vor	O	
1-57	dem	O	
1-58	konservativen	O	
1-59	Politiker	B-NC	
1-60	Jorge	B-NC	
1-61	Quiroga	B-NC	
1-62	Ramírez	B-NC	
1-63	,	O	
1-64	für	O	
1-65	den	O	
1-66	34	O	
1-67	Prozent	B-NC	
1-68	der	O	
1-69	Wähler	B-NC	
1-70	gestimmt	O	
1-71	haben	O	
1-72	sollen	O	
1-73	.	O	
1-74	Erreicht	O	
1-75	keiner	O	
1-76	der	O	
1-77	Kandidaten	B-NC	
1-78	die	O	
1-79	absolute	O	
1-80	Mehrheit	B-NC	
1-81	,	O	
1-82	so	O	
1-83	sieht	O	
1-84	die	O	
1-85	bolivianische	O	
1-86	Verfassung	B-NC	
1-87	eine	O	
1-88	Wahl	B-NC	
1-89	des	O	
1-90	Präsidenten	B-NC	
1-91	durch	O	
1-92	das	O	
1-93	Parlament	B-NC	
1-94	vor	O	
1-95	,	O	
1-96	die	O	
1-97	Mitte	B-NC	
1-98	Januar	B-NC	
1-99	stattfinden	O	
1-100	würde	O	
1-101	.	O	
1-102	Jorge	B-NC	
1-103	Quiroga	B-NC	
1-104	,	O	
1-105	dessen	O	
1-106	politisches	O	
1-107	Programm	B-NC	
1-108	ein	O	
1-109	liberales	O	
1-110	Wirtschaftssystem	B-NC	
1-111	und	O	
1-112	ein	O	
1-113	Festhalten	B-NC	
1-114	an	O	
1-115	den	O	
1-116	Gesetzen	B-NC	
1-117	gegen	O	
1-118	den	O	
1-119	Coca-Anbau	B-NC	
1-120	vorsah	O	
1-121	,	O	
1-122	gestand	O	
1-123	in	O	
1-124	einer	O	
1-125	Fernsehansprache	B-NC	
1-126	seine	O	
1-127	Niederlage	B-NC	
1-128	ein	O	

#id=2
#text=Am späten Sonntagabend hatten bereits die anderen Präsidentschaftskandidaten ihre Niederlage erklärt . Zu den Zielen des 46-Jährigen Morales , der sich selbst als den Alptraum der USA bezeichnet , zählen eine größere staatliche Kontrolle über die Erdgasproduktion , sowie die Legalisierung des Coca-Anbaus . Evo Morales , der aus dem indigenen Aymara-Volk stammt , wird erster indigener Präsident eines Landes mit mehrheitlich indigener Bevölkerung . Die Präsidenten von Venezuela und Argentinien , Hugo Chávez und Néstor Kirchner , gehörten neben den Regierungen von Chile , Spanien und der Europäischen Union , zu den ersten , die Morales zu dessen Sieg gratulierten . Die US-Regierung gratulierte dem bolivianischen Volk verhalten für eine erfolgreiche Wahl und will abwarten , welche Politik der neue Präsident verfolgen wird . Zuvor hatte die US-Regierung sich besorgt über eine Präsidentschaft des Sozialisten geäußert , dessen Pläne zu Legalisierung des Coca-Anbaus , dem , von den USA geführten , Engagement gegen den Drogenanbau gegenüber stehen . So wurde Morales in der Vergangenheit von der US-Regierung als Drogendealer bezeichnet . Ausländische Energiekonzerne kündigten an , im Falle höherer Belastungen ihre Investitionen in Bolivien zu reduzieren . In einer Rede vor Anhängern kündigte Evo Morales an , dass er den Privatbesitz respektieren werde
2-1	Am	O	
2-2	späten	O	
2-3	Sonntagabend	B-NC	
2-4	hatten	O	
2-5	bereits	O	
2-6	die	O	
2-7	anderen	O	
2-8	Präsidentschaftskandidaten	B-NC	
2-9	ihre	O	
2-10	Niederlage	B-NC	
2-11	erklärt	O	
2-12	.	O	
2-13	Zu	O	
2-14	den	O	
2-15	Zielen	B-NC	
2-16	des	O	
2-17	46-Jährigen	O	
2-18	Morales	B-NC	
2-19	,	O	
2-20	der	O	
2-21	sich	O	
2-22	selbst	O	
2-23	als	O	
2-24	den	O	
2-25	Alptraum	B-NC	
2-26	der	O	
2-27	USA	B-NC	
2-28	bezeichnet	O	
2-29	,	O	
2-30	zählen	O	
2-31	eine	O	
2-32	größere	O	
2-33	staatliche	O	
2-34	Kontrolle	B-NC	
2-35	über	O	
2-36	die	O	
2-37	Erdgasproduktion	B-NC	
2-38	,	O	
2-39	sowie	O	
2-40	die	O	
2-41	Legalisierung	B-NC	
2-42	des	O	
