 # webanno.custom.Entity | NC
#id=1
#text=The New York Times has reported that Evo Morales has won presidential elections in Bolivia . Morales ran on a campaign of restoring coca farming in Bolivia , in spite of the United States ' program to wipe out coca growing ( in an effort to reduce the cocaine business ) . Morales is an Aymara Indian and former coca farmer himself . Morales described his victory as a signal that " a new history of Bolivia begins , a history where we search for equality , justice and peace with social justice .
1-1	The	O	
1-2	New	B-NC	
1-3	York	B-NC	
1-4	Times	B-NC	
1-5	has	O	
1-6	reported	O	
1-7	that	O	
1-8	Evo	B-NC	
1-9	Morales	B-NC	
1-10	has	O	
1-11	won	O	
1-12	presidential	O	
1-13	elections	B-NC	
1-14	in	O	
1-15	Bolivia	B-NC	
1-16	.	O	
1-17	Morales	B-NC	
1-18	ran	O	
1-19	on	O	
1-20	a	O	
1-21	campaign	B-NC	
1-22	of	O	
1-23	restoring	O	
1-24	coca	B-NC	
1-25	farming	B-NC	
1-26	in	O	
1-27	Bolivia	B-NC	
1-28	,	O	
1-29	in	O	
1-30	spite	B-NC	
1-31	of	O	
1-32	the	O	
1-33	United	B-NC	
1-34	States	B-NC	
1-35	'	O	
1-36	program	B-NC	
1-37	to	O	
1-38	wipe	O	
1-39	out	O	
1-40	coca	B-NC	
1-41	growing	O	
1-42	(	O	
1-43	in	O	
1-44	an	O	
1-45	effort	B-NC	
1-46	to	O	
1-47	reduce	O	
1-48	the	O	
1-49	cocaine	B-NC	
1-50	business	B-NC	
1-51	)	O	
1-52	.	O	
1-53	Morales	B-NC	
1-54	is	O	
1-55	an	O	
1-56	Aymara	B-NC	
1-57	Indian	B-NC	
1-58	and	O	
1-59	former	O	
1-60	coca	B-NC	
1-61	farmer	B-NC	
1-62	himself	O	
1-63	.	O	
1-64	Morales	B-NC	
1-65	described	O	
1-66	his	O	
1-67	victory	B-NC	
1-68	as	O	
1-69	a	O	
1-70	signal	B-NC	
1-71	that	O	
1-72	"	O	
1-73	a	O	
1-74	new	O	
1-75	history	B-NC	
1-76	of	O	
1-77	Bolivia	B-NC	
1-78	begins	O	
1-79	,	O	
1-80	a	O	
1-81	history	B-NC	
1-82	where	O	
1-83	we	O	
1-84	search	O	
1-85	for	O	
1-86	equality	B-NC	
1-87	,	O	
1-88	justice	B-NC	
1-89	and	O	
1-90	peace	B-NC	
1-91	with	O	
1-92	social	O	
1-93	justice	B-NC	
1-94	.	O	

#id=2
#text=At 9pm last night Jorge Quiroga conceded defeat saying , " I congratulate Evo Morales . " The National Electoral Court had yet to confirm the votes as of Sunday night , but Morales is expected to win easily . According to the Bolivian media based on exit polling , Morales is expected to receive 51 percent of the vote , compared to 30 percent for his nearest rival , Jorge Quiroga
2-1	At	O	
2-2	9pm	B-NC	
2-3	last	O	
2-4	night	B-NC	
2-5	Jorge	B-NC	
2-6	Quiroga	B-NC	
2-7	conceded	O	
2-8	defeat	B-NC	
2-9	saying	O	
2-10	,	O	
2-11	"	O	
2-12	I	O	
2-13	congratulate	O	
2-14	Evo	B-NC	
2-15	Morales	B-NC	
2-16	.	O	
2-17	"	O	
2-18	The	O	
2-19	National	B-NC	
2-20	Electoral	B-NC	
2-21	Court	B-NC	
2-22	had	O	
2-23	yet	O	
2-24	to	O	
2-25	confirm	O	
2-26	the	O	
2-27	votes	B-NC	
2-28	as	O	
2-29	of	O	
2-30	Sunday	B-NC	
2-31	night	B-NC	
2-32	,	O	
2-33	but	O	
2-34	Morales	B-NC	
2-35	is	O	
2-36	expected	O	
