 # webanno.custom.Entity | NC
#id=1
#text=Allmählich machten Rudolfs Befürchtungen auf Emma Eindruck . Zuerst hatte die Liebe sie berauscht , und so hatte sie an nichts andres gedacht . Jetzt aber , da ihr diese Liebe zu einer Lebensbedingung geworden war , erwachte die Furcht in ihr , es könne ihr etwas davon verloren gehen oder man könne sie ihr gar stören . Wenn sie von dem Geliebten wieder heimging , hielt sie mit rastlosen Blicken Umschau ; sie spähte nach allem , was sich im Gesichtskreise regte , sie suchte die Häuser des Ortes bis hinauf in die Dachluken ab , ob jemand sie beobachte . Sie lauschte auf jedes Geräusch , jeden Tritt , jedes Rädergeknarr . Manchmal blieb sie stehen , blasser und zittriger als das Laub der Pappeln , die sich über ihrem Haupte wiegten
1-1	Allmählich	O	
1-2	machten	O	
1-3	Rudolfs	B-NC	
1-4	Befürchtungen	B-NC	
1-5	auf	O	
1-6	Emma	B-NC	
1-7	Eindruck	B-NC	
1-8	.	O	
1-9	Zuerst	O	
1-10	hatte	O	
1-11	die	O	
1-12	Liebe	B-NC	
1-13	sie	O	
1-14	berauscht	O	
1-15	,	O	
1-16	und	O	
1-17	so	O	
1-18	hatte	O	
1-19	sie	O	
1-20	an	O	
1-21	nichts	O	
1-22	andres	O	
1-23	gedacht	O	
1-24	.	O	
1-25	Jetzt	O	
1-26	aber	O	
1-27	,	O	
1-28	da	O	
1-29	ihr	O	
1-30	diese	O	
1-31	Liebe	B-NC	
1-32	zu	O	
1-33	einer	O	
1-34	Lebensbedingung	B-NC	
1-35	geworden	O	
1-36	war	O	
1-37	,	O	
1-38	erwachte	O	
1-39	die	O	
1-40	Furcht	B-NC	
1-41	in	O	
1-42	ihr	O	
1-43	,	O	
1-44	es	O	
1-45	könne	O	
1-46	ihr	O	
1-47	etwas	O	
1-48	davon	O	
1-49	verloren	O	
1-50	gehen	O	
1-51	oder	O	
1-52	man	O	
1-53	könne	O	
1-54	sie	O	
1-55	ihr	O	
1-56	gar	O	
1-57	stören	O	
1-58	.	O	
1-59	Wenn	O	
1-60	sie	O	
1-61	von	O	
1-62	dem	O	
1-63	Geliebten	B-NC	
1-64	wieder	O	
1-65	heimging	O	
1-66	,	O	
1-67	hielt	O	
1-68	sie	O	
1-69	mit	O	
1-70	rastlosen	O	
1-71	Blicken	B-NC	
1-72	Umschau	B-NC	
1-73	;	O	
1-74	sie	O	
1-75	spähte	O	
1-76	nach	O	
1-77	allem	O	
1-78	,	O	
1-79	was	O	
1-80	sich	O	
1-81	im	O	
1-82	Gesichtskreise	B-NC	
1-83	regte	O	
1-84	,	O	
1-85	sie	O	
1-86	suchte	O	
1-87	die	O	
1-88	Häuser	B-NC	
1-89	des	O	
1-90	Ortes	B-NC	
1-91	bis	O	
1-92	hinauf	O	
1-93	in	O	
1-94	die	O	
1-95	Dachluken	B-NC	
1-96	ab	O	
1-97	,	O	
1-98	ob	O	
1-99	jemand	O	
1-100	sie	O	
1-101	beobachte	O	
1-102	.	O	
1-103	Sie	O	
1-104	lauschte	O	
1-105	auf	O	
1-106	jedes	O	
1-107	Geräusch	B-NC	
1-108	,	O	
1-109	jeden	O	
1-110	Tritt	B-NC	
1-111	,	O	
1-112	jedes	O	
1-113	Rädergeknarr	B-NC	
1-114	.	O	
1-115	Manchmal	O	
1-116	blieb	O	
1-117	sie	O	
1-118	stehen	O	
1-119	,	O	
1-120	blasser	O	
1-121	und	O	
1-122	zittriger	O	
1-123	als	O	
1-124	das	O	
1-125	Laub	B-NC	
1-126	der	O	
1-127	Pappeln	B-NC	
1-128	,	O	
1-129	die	O	
1-130	sich	O	
1-131	über	O	
1-132	ihrem	O	
1-133	Haupte	B-NC	
1-134	wiegten	O	

#id=2
#text=Eines Morgens , auf dem Heimwege , erblickte sie mit einem Male den Lauf eines Gewehrs auf sich gerichtet . Es ragte schräg über den oberen Rand einer Tonne hervor , die zur Hälfte in einem Graben stand und vom Gebüsch verdeckt wurde . Vor Schreck halb ohnmächtig ging Emma dennoch weiter . Da tauchte ein Mann aus der Tonne wie ein Springteufel aus seinem Kasten . Er trug Wickelgamaschen bis an die Knie , und die Mütze hatte er tief ins Gesicht hereingezogen , so daß man nur eine rote Nase und bebende Lippen sah . Es war der Feuerwehrhauptmann Binet , der auf dem Anstand lag , um Wildenten zu schießen
2-1	Eines	O	
2-2	Morgens	B-NC	
2-3	,	O	
2-4	auf	O	
2-5	dem	O	
2-6	Heimwege	B-NC	
2-7	,	O	
2-8	erblickte	O	
2-9	sie	O	
2-10	mit	O	
2-11	einem	O	
2-12	Male	B-NC	
2-13	den	O	
2-14	Lauf	B-NC	
2-15	eines	O	
2-16	Gewehrs	B-NC	
2-17	auf	O	
2-18	sich	O	
2-19	gerichtet	O	
2-20	.	O	
2-21	Es	O	
2-22	ragte	O	
2-23	schräg	O	
2-24	über	O	
2-25	den	O	
2-26	oberen	O	
2-27	Rand	B-NC	
2-28	einer	O	
2-29	Tonne	B-NC	
2-30	hervor	O	
2-31	,	O	
2-32	die	O	
2-33	zur	O	
2-34	Hälfte	B-NC	
2-35	in	O	
2-36	einem	O	
2-37	Graben	B-NC	
2-38	stand	O	
2-39	und	O	
2-40	vom	O	
2-41	Gebüsch	B-NC	
2-42	verdeckt	O	
2-43	wurde	O	
2-44	.	O	
2-45	Vor	O	
2-46	Schreck	B-NC	
2-47	halb	O	
2-48	ohnmächtig	O	
2-49	ging	O	
2-50	Emma	B-NC	
2-51	dennoch	O	
2-52	weiter	O	
2-53	.	O	
2-54	Da	O	
2-55	tauchte	O	
2-56	ein	O	
2-57	Mann	B-NC	
2-58	aus	O	
2-59	der	O	
2-60	Tonne	B-NC	
2-61	wie	O	
2-62	ein	O	
2-63	Springteufel	B-NC	
2-64	aus	O	
2-65	seinem	O	
2-66	Kasten	B-NC	
2-67	.	O	
2-68	Er	O	
2-69	trug	O	
2-70	Wickelgamaschen	B-NC	
2-71	bis	O	
2-72	an	O	
2-73	die	O	
2-74	Knie	B-NC	
2-75	,	O	
2-76	und	O	
2-77	die	O	
2-78	Mütze	B-NC	
2-79	hatte	O	
2-80	er	O	
2-81	tief	O	
2-82	ins	O	
2-83	Gesicht	B-NC	
2-84	hereingezogen	O	
2-85	,	O	
2-86	so	O	
2-87	daß	O	
2-88	man	O	
2-89	nur	O	
2-90	eine	O	
2-91	rote	O	
2-92	Nase	B-NC	
2-93	und	O	
2-94	bebende	O	
2-95	Lippen	B-NC	
2-96	sah	O	
2-97	.	O	
2-98	Es	O	
2-99	war	O	
2-100	der	O	
2-101	Feuerwehrhauptmann	B-NC	
2-102	Binet	B-NC	
2-103	,	O	
2-104	der	O	
2-105	auf	O	
2-106	dem	O	
2-107	Anstand	B-NC	
2-108	lag	O	
2-109	,	O	
2-110	um	O	
2-111	Wildenten	B-NC	
2-112	zu	O	
2-113	schießen	O	

#id=3
#text=»Sie hätten schon von weitem rufen sollen ! « schrie er ihr zu . »Wenn man ein Gewehr sieht , muß man sich bemerkbar machen !
3-1	»Sie	B-NC	
3-2	hätten	O	
3-3	schon	O	
3-4	von	O	
3-5	weitem	O	
3-6	rufen	O	
3-7	sollen	O	
3-8	!	O	
3-9	«	O	
3-10	schrie	O	
3-11	er	O	
3-12	ihr	O	
3-13	zu	O	
3-14	.	O	
3-15	»Wenn	B-NC	
3-16	man	O	
3-17	ein	O	
3-18	Gewehr	B-NC	
3-19	sieht	O	
3-20	,	O	
3-21	muß	O	
3-22	man	O	
3-23	sich	O	
3-24	bemerkbar	O	
3-25	machen	O	
3-26	!	O	

#id=4
#text=Der Steuereinnehmer suchte durch seine Grobheit seine eigene Angst zu bemänteln . Es bestand nämlich eine landrätliche Verordnung , nach der man die Jagd auf Wildenten nur vom Kahne aus betreiben durfte . Bei allem Respekt vor den Gesetzen machte sich also Binet einer Übertretung schuldig . Deshalb schwebte er in steter Furcht , der Landgendarm könne ihn erwischen , und doch fügte die Aufregung seinem Vergnügen einen Reiz mehr zu . Wenn er so einsam in seiner Tonne saß , war er stolz auf sein Jagdglück und seine Schlauheit
4-1	Der	O	
4-2	Steuereinnehmer	B-NC	
4-3	suchte	O	
4-4	durch	O	
4-5	seine	O	
4-6	Grobheit	B-NC	
4-7	seine	O	
4-8	eigene	O	
4-9	Angst	B-NC	
4-10	zu	O	
4-11	bemänteln	O	
4-12	.	O	
4-13	Es	O	
4-14	bestand	O	
4-15	nämlich	O	
4-16	eine	O	
4-17	landrätliche	O	
4-18	Verordnung	B-NC	
4-19	,	O	
4-20	nach	O	
4-21	der	O	
4-22	man	O	
4-23	die	O	
4-24	Jagd	B-NC	
4-25	auf	O	
4-26	Wildenten	B-NC	
4-27	nur	O	
4-28	vom	O	
4-29	Kahne	B-NC	
4-30	aus	O	
4-31	betreiben	O	
4-32	durfte	O	
4-33	.	O	
4-34	Bei	O	
4-35	allem	O	
4-36	Respekt	B-NC	
4-37	vor	O	
4-38	den	O	
4-39	Gesetzen	B-NC	
4-40	machte	O	
4-41	sich	O	
4-42	also	O	
4-43	Binet	B-NC	
4-44	einer	O	
4-45	Übertretung	B-NC	
4-46	schuldig	O	
4-47	.	O	
4-48	Deshalb	O	
4-49	schwebte	O	
4-50	er	O	
4-51	in	O	
4-52	steter	O	
4-53	Furcht	B-NC	
4-54	,	O	
4-55	der	O	
4-56	Landgendarm	B-NC	
4-57	könne	O	
4-58	ihn	O	
4-59	erwischen	O	
4-60	,	O	
4-61	und	O	
4-62	doch	O	
4-63	fügte	O	
4-64	die	O	
4-65	Aufregung	B-NC	
4-66	seinem	O	
4-67	Vergnügen	B-NC	
4-68	einen	O	
4-69	Reiz	B-NC	
4-70	mehr	O	
4-71	zu	O	
4-72	.	O	
4-73	Wenn	O	
4-74	er	O	
4-75	so	O	
4-76	einsam	O	
4-77	in	O	
4-78	seiner	O	
4-79	Tonne	B-NC	
4-80	saß	O	
4-81	,	O	
4-82	war	O	
4-83	er	O	
4-84	stolz	O	
4-85	auf	O	
4-86	sein	O	
4-87	Jagdglück	B-NC	
4-88	und	O	
4-89	seine	O	
4-90	Schlauheit	B-NC	

#id=5
#text=Als er erkannte , daß es Frau Bovary war , fiel ihm ein großer Stein vom Herzen . Er begann sofort ein Gespräch mit ihr
5-1	Als	O	
5-2	er	O	
5-3	erkannte	O	
5-4	,	O	
5-5	daß	O	
5-6	es	O	
5-7	Frau	B-NC	
5-8	Bovary	B-NC	
5-9	war	O	
5-10	,	O	
5-11	fiel	O	
5-12	ihm	O	
5-13	ein	O	
5-14	großer	O	
5-15	Stein	B-NC	
5-16	vom	O	
5-17	Herzen	B-NC	
5-18	.	O	
5-19	Er	O	
5-20	begann	O	
5-21	sofort	O	
5-22	ein	O	
5-23	Gespräch	B-NC	
5-24	mit	O	
5-25	ihr	O	

