 # webanno.custom.Entity | NC
#id=1
#text=Мы готовили уроки , когда вошел директор , а за ним новичок в штатском и служитель , который нес большую парту . Задремавшие проснулись , и все вскочили , словно только что оторвались от работы
1-1	Мы	O	
1-2	готовили	O	
1-3	уроки	B-NC	
1-4	,	O	
1-5	когда	O	
1-6	вошел	O	
1-7	директор	B-NC	
1-8	,	O	
1-9	а	O	
1-10	за	O	
1-11	ним	O	
1-12	новичок	B-NC	
1-13	в	O	
1-14	штатском	B-NC	
1-15	и	O	
1-16	служитель	B-NC	
1-17	,	O	
1-18	который	O	
1-19	нес	O	
1-20	большую	O	
1-21	парту	B-NC	
1-22	.	O	
1-23	Задремавшие	O	
1-24	проснулись	O	
1-25	,	O	
1-26	и	O	
1-27	все	O	
1-28	вскочили	O	
1-29	,	O	
1-30	словно	O	
1-31	только	O	
1-32	что	O	
1-33	оторвались	O	
1-34	от	O	
1-35	работы	B-NC	

#id=2
#text=Директор знаком велел нам садиться и вполголоса сказал воспитателю
2-1	Директор	B-NC	
2-2	знаком	O	
2-3	велел	O	
2-4	нам	O	
2-5	садиться	O	
2-6	и	O	
2-7	вполголоса	O	
2-8	сказал	O	
2-9	воспитателю	B-NC	

#id=3
#text=-- Вот , господин Роже , рекомендую вам нового ученика . Он поступает в пятый класс , но , если заслужит своими успехами и поведением , перейдет в старшие , как ему подобает по возрасту
3-1	--	O	
3-2	Вот	O	
3-3	,	O	
3-4	господин	B-NC	
3-5	Роже	B-NC	
3-6	,	O	
3-7	рекомендую	O	
3-8	вам	O	
3-9	нового	O	
3-10	ученика	B-NC	
3-11	.	O	
3-12	Он	O	
3-13	поступает	O	
3-14	в	O	
3-15	пятый	O	
3-16	класс	B-NC	
3-17	,	O	
3-18	но	O	
3-19	,	O	
3-20	если	O	
3-21	заслужит	O	
3-22	своими	O	
3-23	успехами	B-NC	
3-24	и	O	
3-25	поведением	B-NC	
3-26	,	O	
3-27	перейдет	O	
3-28	в	O	
3-29	старшие	O	
3-30	,	O	
3-31	как	O	
3-32	ему	O	
3-33	подобает	O	
3-34	по	O	
3-35	возрасту	B-NC	

#id=4
#text=Новичок стоял в уголке за дверью , так что нам был еле виден . Это был деревенский мальчик лет пятнадцати , ростом выше нас всех . Волосы у него были подстрижены в кружок , как у сельского певчего ; вид степенный и очень смущенный . Хотя он был неширок в плечах , но зеленый суконный пиджачок с черными пуговицами явно жал ему в проймах . Из обшлагов высовывались красные , непривычные к перчаткам руки . Из-под высоко подтянутых на помочах панталон желтоватого цвета виднелись синие чулки . Башмаки были грубые , плохо вычищены , подбиты гвоздями
4-1	Новичок	B-NC	
4-2	стоял	O	
4-3	в	O	
4-4	уголке	B-NC	
4-5	за	O	
4-6	дверью	B-NC	
4-7	,	O	
4-8	так	O	
4-9	что	O	
4-10	нам	O	
4-11	был	O	
4-12	еле	O	
4-13	виден	O	
4-14	.	O	
4-15	Это	O	
4-16	был	O	
4-17	деревенский	O	
4-18	мальчик	B-NC	
4-19	лет	B-NC	
4-20	пятнадцати	O	
4-21	,	O	
4-22	ростом	B-NC	
4-23	выше	O	
4-24	нас	O	
4-25	всех	O	
4-26	.	O	
4-27	Волосы	B-NC	
4-28	у	O	
4-29	него	O	
4-30	были	O	
4-31	подстрижены	O	
4-32	в	O	
4-33	кружок	B-NC	
4-34	,	O	
4-35	как	O	
4-36	у	O	
4-37	сельского	O	
4-38	певчего	B-NC	
4-39	;	O	
4-40	вид	B-NC	
4-41	степенный	O	
4-42	и	O	
4-43	очень	O	
4-44	смущенный	O	
4-45	.	O	
4-46	Хотя	O	
4-47	он	O	
4-48	был	O	
4-49	неширок	O	
4-50	в	O	
4-51	плечах	B-NC	
4-52	,	O	
4-53	но	O	
4-54	зеленый	O	
4-55	суконный	O	
4-56	пиджачок	B-NC	
4-57	с	O	
4-58	черными	O	
4-59	пуговицами	B-NC	
4-60	явно	O	
4-61	жал	O	
4-62	ему	O	
4-63	в	O	
4-64	проймах	B-NC	
4-65	.	O	
4-66	Из	O	
4-67	обшлагов	B-NC	
4-68	высовывались	O	
4-69	красные	O	
4-70	,	O	
4-71	непривычные	O	
4-72	к	O	
4-73	перчаткам	B-NC	
4-74	руки	B-NC	
4-75	.	O	
4-76	Из-под	B-NC	
4-77	высоко	O	
4-78	подтянутых	O	
4-79	на	O	
4-80	помочах	B-NC	
4-81	панталон	B-NC	
4-82	желтоватого	O	
4-83	цвета	B-NC	
4-84	виднелись	O	
4-85	синие	O	
4-86	чулки	B-NC	
4-87	.	O	
4-88	Башмаки	B-NC	
4-89	были	O	
4-90	грубые	O	
4-91	,	O	
4-92	плохо	O	
4-93	вычищены	O	
4-94	,	O	
4-95	подбиты	O	
4-96	гвоздями	B-NC	

#id=5
#text=Начали спрашивать уроки . Новичок ловил каждое слово и слушал внимательно , точно проповедь в церкви , не смея ни облокотиться , ни заложить ногу за ногу . В два часа , когда зазвенел колокольчик , воспитателю пришлось позвать его : сам он не стал с нами в пары
5-1	Начали	O	
5-2	спрашивать	O	
5-3	уроки	B-NC	
5-4	.	O	
5-5	Новичок	B-NC	
5-6	ловил	O	
5-7	каждое	O	
5-8	слово	B-NC	
5-9	и	O	
5-10	слушал	O	
5-11	внимательно	O	
5-12	,	O	
5-13	точно	O	
5-14	проповедь	B-NC	
5-15	в	O	
5-16	церкви	B-NC	
5-17	,	O	
5-18	не	O	
5-19	смея	O	
5-20	ни	O	
5-21	облокотиться	O	
5-22	,	O	
5-23	ни	O	
5-24	заложить	O	
5-25	ногу	B-NC	
5-26	за	O	
5-27	ногу	B-NC	
5-28	.	O	
5-29	В	O	
5-30	два	O	
5-31	часа	B-NC	
5-32	,	O	
5-33	когда	O	
5-34	зазвенел	O	
5-35	колокольчик	B-NC	
5-36	,	O	
5-37	воспитателю	B-NC	
5-38	пришлось	O	
5-39	позвать	O	
5-40	его	O	
5-41	:	O	
5-42	сам	O	
5-43	он	O	
5-44	не	O	
5-45	стал	O	
5-46	с	O	
5-47	нами	O	
5-48	в	O	
5-49	пары	B-NC	

