 # webanno.custom.Entity | NC
#id=1
#text=Boxershorts sind kurze Hosen , die als Unterhosen getragen werden . Sie zählen zur Gruppe der Shorts und zur Unterwäsche . Sie sitzen locker am Körper und bedecken diesen von der Hüfte bis zum mittleren Oberschenkel . Meistens besitzen sie einen Eingriff , der mit Knöpfen verschlossen werden kann . Reißverschlüsse sind nicht üblich . Der obere Bund ist bei den meisten Modellen durchgehend und mit einem Gummizug versehen . Im unteren Teil sind zwei verschiedene Schnitte üblich : Eng anliegende mit Gummibündchen auch an den Beinen oder lose „ flatternde “ Hosen , die die Beine nicht dicht umschließen . [ 1 ] Der eng anliegende Schnitt ist eine Rückwärtsentwicklung in Richtung der älteren Unterhosentypen ( vgl. Retropants )
1-1	Boxershorts	B-NC	
1-2	sind	O	
1-3	kurze	O	
1-4	Hosen	B-NC	
1-5	,	O	
1-6	die	O	
1-7	als	O	
1-8	Unterhosen	B-NC	
1-9	getragen	O	
1-10	werden	O	
1-11	.	O	
1-12	Sie	O	
1-13	zählen	O	
1-14	zur	O	
1-15	Gruppe	B-NC	
1-16	der	O	
1-17	Shorts	B-NC	
1-18	und	O	
1-19	zur	O	
1-20	Unterwäsche	B-NC	
1-21	.	O	
1-22	Sie	O	
1-23	sitzen	O	
1-24	locker	O	
1-25	am	O	
1-26	Körper	B-NC	
1-27	und	O	
1-28	bedecken	O	
1-29	diesen	O	
1-30	von	O	
1-31	der	O	
1-32	Hüfte	B-NC	
1-33	bis	O	
1-34	zum	O	
1-35	mittleren	O	
1-36	Oberschenkel	B-NC	
1-37	.	O	
1-38	Meistens	O	
1-39	besitzen	O	
1-40	sie	O	
1-41	einen	O	
1-42	Eingriff	B-NC	
1-43	,	O	
1-44	der	O	
1-45	mit	O	
1-46	Knöpfen	B-NC	
1-47	verschlossen	O	
1-48	werden	O	
1-49	kann	O	
1-50	.	O	
1-51	Reißverschlüsse	B-NC	
1-52	sind	O	
1-53	nicht	O	
1-54	üblich	O	
1-55	.	O	
1-56	Der	O	
1-57	obere	O	
1-58	Bund	B-NC	
1-59	ist	O	
1-60	bei	O	
1-61	den	O	
1-62	meisten	O	
1-63	Modellen	B-NC	
1-64	durchgehend	O	
1-65	und	O	
1-66	mit	O	
1-67	einem	O	
1-68	Gummizug	B-NC	
1-69	versehen	O	
1-70	.	O	
1-71	Im	O	
1-72	unteren	O	
1-73	Teil	B-NC	
1-74	sind	O	
1-75	zwei	O	
1-76	verschiedene	O	
1-77	Schnitte	B-NC	
1-78	üblich	O	
1-79	:	O	
1-80	Eng	O	
1-81	anliegende	O	
1-82	mit	O	
1-83	Gummibündchen	B-NC	
1-84	auch	O	
1-85	an	O	
1-86	den	O	
1-87	Beinen	B-NC	
1-88	oder	O	
1-89	lose	O	
1-90	„	B-NC	
1-91	flatternde	O	
1-92	“	O	
1-93	Hosen	B-NC	
1-94	,	O	
1-95	die	O	
1-96	die	O	
1-97	Beine	B-NC	
1-98	nicht	O	
1-99	dicht	O	
1-100	umschließen	O	
1-101	.	O	
1-102	[	O	
1-103	1	O	
1-104	]	O	
1-105	Der	O	
1-106	eng	O	
1-107	anliegende	O	
1-108	Schnitt	B-NC	
1-109	ist	O	
1-110	eine	O	
1-111	Rückwärtsentwicklung	B-NC	
1-112	in	O	
1-113	Richtung	B-NC	
1-114	der	O	
1-115	älteren	O	
1-116	Unterhosentypen	B-NC	
1-117	(	O	
1-118	vgl.	O	
1-119	Retropants	B-NC	
1-120	)	O	

