 # webanno.custom.Entity | NC
#id=1
#text=Die Brust ( lateinisch pectus , Adjektiv pectoralis ) ist die vordere Hälfte des Rumpfes bei Wirbeltieren , beim aufrecht stehenden Menschen der obere Teil des Rumpfes
1-1	Die	O	
1-2	Brust	B-NC	
1-3	(	O	
1-4	lateinisch	O	
1-5	pectus	O	
1-6	,	O	
1-7	Adjektiv	B-NC	
1-8	pectoralis	B-NC	
1-9	)	O	
1-10	ist	O	
1-11	die	O	
1-12	vordere	O	
1-13	Hälfte	B-NC	
1-14	des	O	
1-15	Rumpfes	B-NC	
1-16	bei	O	
1-17	Wirbeltieren	B-NC	
1-18	,	O	
1-19	beim	O	
1-20	aufrecht	O	
1-21	stehenden	O	
1-22	Menschen	B-NC	
1-23	der	O	
1-24	obere	O	
1-25	Teil	B-NC	
1-26	des	O	
1-27	Rumpfes	B-NC	

#id=2
#text=Die knöcherne Grundlage der Brust ist der Brustkorb ( Thorax ) , dieser umgibt die Brusthöhle ( Cavum thoracis ) mit den in ihr liegenden Organen . Der Brustkorb besteht aus der Brustwirbelsäule , den Rippen ( Costae ) und dem Brustbein ( Sternum ) . Der größte Muskel der Brust ist der große Brustmuskel ( Musculus pectoralis major ) . Der Lymphabfluss aus der Brust erfolgt vorwiegend über die Achsellymphknoten
2-1	Die	O	
2-2	knöcherne	O	
2-3	Grundlage	B-NC	
2-4	der	O	
2-5	Brust	B-NC	
2-6	ist	O	
2-7	der	O	
2-8	Brustkorb	B-NC	
2-9	(	O	
2-10	Thorax	B-NC	
2-11	)	O	
2-12	,	O	
2-13	dieser	O	
2-14	umgibt	O	
2-15	die	O	
2-16	Brusthöhle	B-NC	
2-17	(	O	
2-18	Cavum	B-NC	
2-19	thoracis	B-NC	
2-20	)	O	
2-21	mit	O	
2-22	den	O	
2-23	in	O	
2-24	ihr	O	
2-25	liegenden	O	
2-26	Organen	B-NC	
2-27	.	O	
2-28	Der	O	
2-29	Brustkorb	B-NC	
2-30	besteht	O	
2-31	aus	O	
2-32	der	O	
2-33	Brustwirbelsäule	B-NC	
2-34	,	O	
2-35	den	O	
2-36	Rippen	B-NC	
2-37	(	O	
2-38	Costae	B-NC	
2-39	)	O	
2-40	und	O	
2-41	dem	O	
2-42	Brustbein	B-NC	
2-43	(	O	
2-44	Sternum	B-NC	
2-45	)	O	
2-46	.	O	
2-47	Der	O	
2-48	größte	O	
2-49	Muskel	B-NC	
2-50	der	O	
2-51	Brust	B-NC	
2-52	ist	O	
2-53	der	O	
2-54	große	O	
2-55	Brustmuskel	B-NC	
2-56	(	O	
2-57	Musculus	B-NC	
2-58	pectoralis	B-NC	
2-59	major	O	
2-60	)	O	
2-61	.	O	
2-62	Der	O	
2-63	Lymphabfluss	B-NC	
2-64	aus	O	
2-65	der	O	
2-66	Brust	B-NC	
2-67	erfolgt	O	
2-68	vorwiegend	O	
2-69	über	O	
2-70	die	O	
2-71	Achsellymphknoten	B-NC	

#id=3
#text=Der Begriff „ Brust “ wird auch für die Brust der Frau ( Mamma ) verwendet . Die Anordnung der Milchdrüse ( Glandula mammaria ) im Bereich der Brust ist jedoch nur für wenige Säugetiere typisch
3-1	Der	O	
3-2	Begriff	B-NC	
3-3	„	O	
3-4	Brust	B-NC	
3-5	“	O	
3-6	wird	O	
3-7	auch	O	
3-8	für	O	
3-9	die	O	
3-10	Brust	B-NC	
3-11	der	O	
3-12	Frau	B-NC	
3-13	(	O	
3-14	Mamma	B-NC	
3-15	)	O	
3-16	verwendet	O	
3-17	.	O	
3-18	Die	O	
3-19	Anordnung	B-NC	
3-20	der	O	
3-21	Milchdrüse	B-NC	
3-22	(	O	
3-23	Glandula	B-NC	
3-24	mammaria	B-NC	
3-25	)	O	
3-26	im	O	
3-27	Bereich	B-NC	
3-28	der	O	
3-29	Brust	B-NC	
3-30	ist	O	
3-31	jedoch	O	
3-32	nur	O	
3-33	für	O	
3-34	wenige	O	
3-35	Säugetiere	B-NC	
3-36	typisch	O	

