 # webanno.custom.Entity | NC
#id=1
#text=Today U. S. President George W. Bush signed into law the Secure Fence Act of 2006 , a plan to build a 700 mile ( 1,125 kilometer ) fence between the United States and Mexico , to prevent illegal immigration . Mexico has expressed strong opposition to the fence , which covers about one third of the total border length
1-1	Today	B-NC	
1-2	U.	B-NC	
1-3	S.	B-NC	
1-4	President	B-NC	
1-5	George	B-NC	
1-6	W.	B-NC	
1-7	Bush	B-NC	
1-8	signed	O	
1-9	into	O	
1-10	law	B-NC	
1-11	the	O	
1-12	Secure	B-NC	
1-13	Fence	B-NC	
1-14	Act	B-NC	
1-15	of	O	
1-16	2006	O	
1-17	,	O	
1-18	a	O	
1-19	plan	B-NC	
1-20	to	O	
1-21	build	O	
1-22	a	O	
1-23	700	O	
1-24	mile	B-NC	
1-25	(	O	
1-26	1,125	O	
1-27	kilometer	B-NC	
1-28	)	O	
1-29	fence	B-NC	
1-30	between	O	
1-31	the	O	
1-32	United	B-NC	
1-33	States	B-NC	
1-34	and	O	
1-35	Mexico	B-NC	
1-36	,	O	
1-37	to	O	
1-38	prevent	O	
1-39	illegal	O	
1-40	immigration	B-NC	
1-41	.	O	
1-42	Mexico	B-NC	
1-43	has	O	
1-44	expressed	O	
1-45	strong	O	
1-46	opposition	B-NC	
1-47	to	O	
1-48	the	O	
1-49	fence	B-NC	
1-50	,	O	
1-51	which	O	
1-52	covers	O	
1-53	about	O	
1-54	one	O	
1-55	third	B-NC	
1-56	of	O	
1-57	the	O	
1-58	total	O	
1-59	border	B-NC	
1-60	length	B-NC	

#id=2
#text=" Unfortunately , the United States has not been in complete control of its borders for decades and therefore illegal immigration has been on the rise , " Bush was quoted saying . " Ours is a nation of immigrants . We 're also a nation of law ... We have a responsibility to address these challenges . We have a responsibility to enforce our laws . We have a responsibility to secure our borders . We take this responsibility seriously , " the President explained
2-1	"	O	
2-2	Unfortunately	O	
2-3	,	O	
2-4	the	O	
2-5	United	B-NC	
2-6	States	B-NC	
2-7	has	O	
2-8	not	O	
2-9	been	O	
2-10	in	O	
2-11	complete	O	
2-12	control	B-NC	
2-13	of	O	
2-14	its	O	
2-15	borders	B-NC	
2-16	for	O	
2-17	decades	B-NC	
2-18	and	O	
2-19	therefore	O	
2-20	illegal	O	
2-21	immigration	B-NC	
2-22	has	O	
2-23	been	O	
2-24	on	O	
2-25	the	O	
2-26	rise	B-NC	
2-27	,	O	
2-28	"	O	
2-29	Bush	B-NC	
2-30	was	O	
2-31	quoted	O	
2-32	saying	O	
2-33	.	O	
2-34	"	O	
2-35	Ours	O	
2-36	is	O	
2-37	a	O	
2-38	nation	B-NC	
2-39	of	O	
2-40	immigrants	B-NC	
2-41	.	O	
2-42	We	O	
2-43	're	O	
2-44	also	O	
2-45	a	O	
2-46	nation	B-NC	
2-47	of	O	
2-48	law	B-NC	
2-49	...	O	
2-50	We	O	
2-51	have	O	
2-52	a	O	
2-53	responsibility	B-NC	
2-54	to	O	
2-55	address	O	
2-56	these	O	
2-57	challenges	B-NC	
2-58	.	O	
2-59	We	O	
2-60	have	O	
2-61	a	O	
2-62	responsibility	B-NC	
2-63	to	O	
2-64	enforce	O	
2-65	our	O	
2-66	laws	B-NC	
2-67	.	O	
2-68	We	O	
2-69	have	O	
2-70	a	O	
2-71	responsibility	B-NC	
2-72	to	O	
2-73	secure	O	
2-74	our	O	
2-75	borders	B-NC	
2-76	.	O	
2-77	We	O	
2-78	take	O	
2-79	this	O	
2-80	responsibility	B-NC	
2-81	seriously	O	
2-82	,	O	
2-83	"	O	
2-84	the	O	
2-85	President	B-NC	
2-86	explained	O	

#id=3
#text=Congress passed the bill last month with a convincing majority , but the signing has been delayed until now , 12 days before the mid-term elections in the U. S. Yesterday the president already envisioned funding and manpower increases for border control , and extra beds to counter the " catch-and-release at our southern border "
3-1	Congress	B-NC	
3-2	passed	O	
3-3	the	O	
3-4	bill	B-NC	
3-5	last	O	
3-6	month	B-NC	
3-7	with	O	
3-8	a	O	
3-9	convincing	O	
3-10	majority	B-NC	
3-11	,	O	
3-12	but	O	
3-13	the	O	
3-14	signing	B-NC	
3-15	has	O	
3-16	been	O	
3-17	delayed	O	
3-18	until	O	
3-19	now	O	
3-20	,	O	
3-21	12	O	
3-22	days	B-NC	
3-23	before	O	
3-24	the	O	
3-25	mid-term	B-NC	
3-26	elections	B-NC	
3-27	in	O	
3-28	the	O	
3-29	U.	B-NC	
3-30	S.	B-NC	
3-31	Yesterday	B-NC	
3-32	the	O	
3-33	president	B-NC	
3-34	already	O	
3-35	envisioned	O	
3-36	funding	B-NC	
3-37	and	O	
3-38	manpower	B-NC	
3-39	increases	B-NC	
3-40	for	O	
3-41	border	B-NC	
3-42	control	B-NC	
3-43	,	O	
3-44	and	O	
3-45	extra	O	
3-46	beds	B-NC	
3-47	to	O	
3-48	counter	O	
3-49	the	O	
3-50	"	O	
3-51	catch-and-release	B-NC	
3-52	at	O	
3-53	our	O	
3-54	southern	O	
3-55	border	B-NC	
3-56	"	O	

#id=4
#text=Earlier this month , Bush arranged a $1.2 billion budget for the fence , along with cameras , sensors , satellites and other security measures , to create a " 21st-century " border — but the fence alone is roughly estimated to cost twice that amount . A U. S. poll this week showed that there are more Americans in favor of an increased number of Border Patrol agents , while less then half of those questioned agreed with the fence
4-1	Earlier	B-NC	
4-2	this	O	
4-3	month	B-NC	
4-4	,	O	
4-5	Bush	B-NC	
4-6	arranged	O	
4-7	a	O	
4-8	$1.2	O	
4-9	billion	O	
4-10	budget	B-NC	
4-11	for	O	
4-12	the	O	
4-13	fence	B-NC	
4-14	,	O	
4-15	along	O	
4-16	with	O	
4-17	cameras	B-NC	
4-18	,	O	
4-19	sensors	B-NC	
4-20	,	O	
4-21	satellites	B-NC	
4-22	and	O	
4-23	other	O	
4-24	security	B-NC	
4-25	measures	B-NC	
4-26	,	O	
4-27	to	O	
4-28	create	O	
4-29	a	O	
4-30	"	O	
4-31	21st-century	O	
4-32	"	O	
4-33	border	B-NC	
4-34	—	O	
4-35	but	O	
4-36	the	O	
4-37	fence	B-NC	
4-38	alone	O	
4-39	is	O	
4-40	roughly	O	
4-41	estimated	O	
4-42	to	O	
4-43	cost	O	
4-44	twice	O	
4-45	that	O	
4-46	amount	B-NC	
4-47	.	O	
4-48	A	O	
4-49	U.	B-NC	
4-50	S.	B-NC	
4-51	poll	B-NC	
4-52	this	O	
4-53	week	B-NC	
4-54	showed	O	
4-55	that	O	
4-56	there	O	
4-57	are	O	
4-58	more	O	
4-59	Americans	B-NC	
4-60	in	O	
4-61	favor	B-NC	
4-62	of	O	
4-63	an	O	
4-64	increased	O	
4-65	number	B-NC	
4-66	of	O	
4-67	Border	B-NC	
4-68	Patrol	B-NC	
4-69	agents	B-NC	
4-70	,	O	
4-71	while	O	
4-72	less	O	
4-73	then	O	
4-74	half	O	
4-75	of	O	
4-76	those	O	
4-77	questioned	O	
4-78	agreed	O	
4-79	with	O	
4-80	the	O	
4-81	fence	B-NC	

#id=5
#text=According to the BBC , about 10 million Mexicans live in the U. S. , and about four million of them are estimated to be illegal . Though , since illegal immigrants are not registered in any official sense , this number may be much higher , and other figures have circulated in the press . Bush has declared he will attempt to counter " widespread document fraud " , and opposes the idea of granting illegals who work in the U. S. quick citizenship , or amnesty . According to Bush , " There is a rational middle ground between granting an automatic path to citizenship for every illegal immigrant and a program of mass deportation , and I look forward to working with Congress to find that middle ground .
5-1	According	O	
5-2	to	O	
5-3	the	O	
5-4	BBC	B-NC	
5-5	,	O	
5-6	about	O	
5-7	10	O	
5-8	million	O	
5-9	Mexicans	B-NC	
5-10	live	O	
5-11	in	O	
5-12	the	O	
5-13	U.	B-NC	
5-14	S.	B-NC	
5-15	,	O	
5-16	and	O	
5-17	about	O	
5-18	four	O	
5-19	million	O	
5-20	of	O	
5-21	them	O	
5-22	are	O	
5-23	estimated	O	
5-24	to	O	
5-25	be	O	
5-26	illegal	O	
5-27	.	O	
5-28	Though	O	
5-29	,	O	
5-30	since	O	
5-31	illegal	O	
5-32	immigrants	B-NC	
5-33	are	O	
5-34	not	O	
5-35	registered	O	
5-36	in	O	
5-37	any	O	
5-38	official	O	
5-39	sense	B-NC	
5-40	,	O	
5-41	this	O	
5-42	number	B-NC	
5-43	may	O	
5-44	be	O	
5-45	much	O	
5-46	higher	O	
5-47	,	O	
5-48	and	O	
5-49	other	O	
5-50	figures	B-NC	
5-51	have	O	
5-52	circulated	O	
5-53	in	O	
5-54	the	O	
5-55	press	B-NC	
5-56	.	O	
5-57	Bush	B-NC	
5-58	has	O	
5-59	declared	O	
5-60	he	O	
5-61	will	O	
5-62	attempt	O	
5-63	to	O	
5-64	counter	O	
5-65	"	O	
5-66	widespread	O	
5-67	document	B-NC	
5-68	fraud	B-NC	
5-69	"	O	
5-70	,	O	
5-71	and	O	
5-72	opposes	O	
5-73	the	O	
5-74	idea	B-NC	
5-75	of	O	
5-76	granting	O	
5-77	illegals	B-NC	
5-78	who	O	
5-79	work	O	
5-80	in	O	
5-81	the	O	
5-82	U.	B-NC	
5-83	S.	B-NC	
5-84	quick	O	
5-85	citizenship	B-NC	
5-86	,	O	
5-87	or	O	
5-88	amnesty	B-NC	
5-89	.	O	
5-90	According	O	
5-91	to	O	
5-92	Bush	B-NC	
5-93	,	O	
5-94	"	O	
5-95	There	O	
5-96	is	O	
5-97	a	O	
5-98	rational	O	
5-99	middle	O	
5-100	ground	B-NC	
5-101	between	O	
5-102	granting	O	
5-103	an	O	
5-104	automatic	O	
5-105	path	B-NC	
5-106	to	O	
5-107	citizenship	B-NC	
5-108	for	O	
5-109	every	O	
5-110	illegal	O	
5-111	immigrant	B-NC	
5-112	and	O	
5-113	a	O	
5-114	program	B-NC	
5-115	of	O	
5-116	mass	O	
5-117	deportation	B-NC	
5-118	,	O	
5-119	and	O	
5-120	I	O	
5-121	look	O	
5-122	forward	O	
5-123	to	O	
5-124	working	O	
5-125	with	O	
5-126	Congress	B-NC	
5-127	to	O	
5-128	find	O	
5-129	that	O	
5-130	middle	O	
5-131	ground	B-NC	
5-132	.	O	

#id=6
#text=Since Bush took office , he said , about 6 million have been intercepted and deported . Mexico previously said it deplored the idea , and considers taking this to the United Nations . The Organization of American States also expressed " deep concerns " over the fence , calling the proposal " a unilateral measure that goes against the spirit of understanding that should characterize how shared problems between neighboring countries are handled and that affects cooperation in the hemisphere . " The outgoing Mexican President Vincente Fox has compared the fence with the Berlin Wall , while President-elect Felipe Calderon thought it was a " grave mistake " , and also that " the fence does n't resolve anything " , causing more casualties along the border . Other politicians in Mexico accused the U. S. of hypocrisy , benefiting from cheap Mexican workers but not allowing them to acquire citizenship
6-1	Since	O	
6-2	Bush	B-NC	
6-3	took	O	
6-4	office	B-NC	
6-5	,	O	
6-6	he	O	
6-7	said	O	
6-8	,	O	
6-9	about	O	
6-10	6	O	
