 # webanno.custom.Entity | NC
#id=1
#text=Als Clementine oder Klementine [ klemɛnˈtiːnə ] ( Citrus × aurantium ) bezeichnet man eine Gruppe von Hybriden aus der Gattung der Zitruspflanzen ( Citrus ) . Die Clementine ist eine Hybride zwischen Mandarine ( Citrus reticulata ) und Orange ( Citrus sinensis ) . Frucht und Baum tragen die gleiche Bezeichnung , der Baum kann etwa vier bis sechs Meter groß werden . Sie wird in Deutschland umgangssprachlich als Mandarine bezeichnet
1-1	Als	O	
1-2	Clementine	B-NC	
1-3	oder	O	
1-4	Klementine	B-NC	
1-5	[	O	
1-6	klemɛnˈtiːnə	O	
1-7	]	O	
1-8	(	O	
1-9	Citrus	B-NC	
1-10	×	O	
1-11	aurantium	B-NC	
1-12	)	O	
1-13	bezeichnet	O	
1-14	man	O	
1-15	eine	O	
1-16	Gruppe	B-NC	
1-17	von	O	
1-18	Hybriden	B-NC	
1-19	aus	O	
1-20	der	O	
1-21	Gattung	B-NC	
1-22	der	O	
1-23	Zitruspflanzen	B-NC	
1-24	(	O	
1-25	Citrus	B-NC	
1-26	)	O	
1-27	.	O	
1-28	Die	O	
1-29	Clementine	B-NC	
1-30	ist	O	
1-31	eine	O	
1-32	Hybride	B-NC	
1-33	zwischen	O	
1-34	Mandarine	B-NC	
1-35	(	O	
1-36	Citrus	B-NC	
1-37	reticulata	B-NC	
1-38	)	O	
1-39	und	O	
1-40	Orange	B-NC	
1-41	(	O	
1-42	Citrus	B-NC	
1-43	sinensis	B-NC	
1-44	)	O	
1-45	.	O	
1-46	Frucht	B-NC	
1-47	und	O	
1-48	Baum	B-NC	
1-49	tragen	O	
1-50	die	O	
1-51	gleiche	O	
1-52	Bezeichnung	B-NC	
1-53	,	O	
1-54	der	O	
1-55	Baum	B-NC	
1-56	kann	O	
1-57	etwa	O	
1-58	vier	O	
1-59	bis	O	
1-60	sechs	O	
1-61	Meter	B-NC	
1-62	groß	O	
1-63	werden	O	
1-64	.	O	
1-65	Sie	O	
1-66	wird	O	
1-67	in	O	
1-68	Deutschland	B-NC	
1-69	umgangssprachlich	O	
1-70	als	O	
1-71	Mandarine	B-NC	
1-72	bezeichnet	O	

#id=2
#text=Die Clementinen sind im Mittelmeerraum entstanden , ähnliche Sortengruppen sind auch aus Ostasien bekannt , etwa unter der Bezeichnung Satsuma
2-1	Die	O	
2-2	Clementinen	B-NC	
2-3	sind	O	
2-4	im	O	
2-5	Mittelmeerraum	B-NC	
2-6	entstanden	O	
2-7	,	O	
2-8	ähnliche	O	
2-9	Sortengruppen	B-NC	
2-10	sind	O	
2-11	auch	O	
2-12	aus	O	
2-13	Ostasien	B-NC	
2-14	bekannt	O	
2-15	,	O	
2-16	etwa	O	
2-17	unter	O	
2-18	der	O	
2-19	Bezeichnung	B-NC	
2-20	Satsuma	B-NC	

