 # webanno.custom.Entity | NC
#id=1
#text=Клементи́н ( лат . Citrus clementina ) — один из вариантов танжело , гибрид мандарина и апельсина — королька из подвида bigarage[источник не указан 983 дня ] , созданный в 1902 году французским священником и селекционером братом Клементом ( Клеманом ) Родье . Плоды по форме напоминают мандарин , но более сладкие . Листья плотные , некрупные , на коротком , чуть крылатом , черешке с зазубринками по краю и острым концом . В пазухах листьев имеются небольшие колючки
1-1	Клементи́н	B-NC	
1-2	(	O	
1-3	лат	O	
1-4	.	O	
1-5	Citrus	O	
1-6	clementina	O	
1-7	)	O	
1-8	—	O	
1-9	один	O	
1-10	из	O	
1-11	вариантов	B-NC	
1-12	танжело	B-NC	
1-13	,	O	
1-14	гибрид	B-NC	
1-15	мандарина	B-NC	
1-16	и	O	
1-17	апельсина	B-NC	
1-18	—	O	
1-19	королька	B-NC	
1-20	из	O	
1-21	подвида	B-NC	
1-22	bigarage[источник	B-NC	
1-23	не	O	
1-24	указан	O	
1-25	983	O	
1-26	дня	B-NC	
1-27	]	O	
1-28	,	O	
1-29	созданный	O	
1-30	в	O	
1-31	1902	O	
1-32	году	B-NC	
1-33	французским	O	
1-34	священником	B-NC	
1-35	и	O	
1-36	селекционером	B-NC	
1-37	братом	B-NC	
1-38	Клементом	B-NC	
1-39	(	O	
1-40	Клеманом	B-NC	
1-41	)	O	
1-42	Родье	B-NC	
1-43	.	O	
1-44	Плоды	B-NC	
1-45	по	O	
1-46	форме	B-NC	
1-47	напоминают	O	
1-48	мандарин	B-NC	
1-49	,	O	
1-50	но	O	
1-51	более	O	
1-52	сладкие	O	
1-53	.	O	
1-54	Листья	B-NC	
1-55	плотные	O	
1-56	,	O	
1-57	некрупные	O	
1-58	,	O	
1-59	на	O	
1-60	коротком	O	
1-61	,	O	
1-62	чуть	O	
1-63	крылатом	B-NC	
1-64	,	O	
1-65	черешке	O	
1-66	с	O	
1-67	зазубринками	B-NC	
1-68	по	O	
1-69	краю	B-NC	
1-70	и	O	
1-71	острым	O	
1-72	концом	B-NC	
1-73	.	O	
1-74	В	O	
1-75	пазухах	B-NC	
1-76	листьев	B-NC	
1-77	имеются	O	
1-78	небольшие	O	
1-79	колючки	B-NC	

#id=2
#text=Гибрид мандарина и горького севильского апельсина выведен в 1902 году в Алжире . Произрастает , в основном , в странах Средиземноморья ; маленький , оранжевого цвета и круглый , клементин имеет твёрдую кожуру , плотно прилегающую к сочной мякоти . На базарах с конца октября по февраль . Основные поставщики — Испания , Марокко , Италия и Алжир
2-1	Гибрид	B-NC	
2-2	мандарина	B-NC	
2-3	и	O	
2-4	горького	O	
2-5	севильского	O	
2-6	апельсина	B-NC	
2-7	выведен	O	
2-8	в	O	
2-9	1902	O	
2-10	году	B-NC	
2-11	в	O	
2-12	Алжире	B-NC	
2-13	.	O	
2-14	Произрастает	O	
2-15	,	O	
2-16	в	O	
2-17	основном	B-NC	
2-18	,	O	
2-19	в	O	
2-20	странах	B-NC	
2-21	Средиземноморья	B-NC	
2-22	;	O	
2-23	маленький	O	
2-24	,	O	
2-25	оранжевого	O	
2-26	цвета	B-NC	
2-27	и	O	
2-28	круглый	O	
2-29	,	O	
2-30	клементин	B-NC	
2-31	имеет	O	
2-32	твёрдую	O	
2-33	кожуру	B-NC	
2-34	,	O	
2-35	плотно	O	
2-36	прилегающую	O	
2-37	к	O	
2-38	сочной	O	
2-39	мякоти	B-NC	
2-40	.	O	
2-41	На	O	
2-42	базарах	B-NC	
2-43	с	O	
2-44	конца	B-NC	
2-45	октября	B-NC	
2-46	по	O	
2-47	февраль	B-NC	
2-48	.	O	
2-49	Основные	O	
2-50	поставщики	B-NC	
2-51	—	O	
2-52	Испания	B-NC	
2-53	,	O	
2-54	Марокко	B-NC	
2-55	,	O	
2-56	Италия	B-NC	
2-57	и	O	
2-58	Алжир	B-NC	

#id=3
#text=Различают три вида клементинов
3-1	Различают	O	
3-2	три	O	
3-3	вида	B-NC	
3-4	клементинов	B-NC	

#id=4
#text=Корсиканский защищён товарным знаком региона , с оранжево-красной кожурой , душистый и без семян ; его продают с листьями ( два на плод ) с начала ноября по начало февраля
4-1	Корсиканский	O	
4-2	защищён	O	
4-3	товарным	O	
4-4	знаком	B-NC	
4-5	региона	B-NC	
4-6	,	O	
4-7	с	O	
4-8	оранжево-красной	O	
4-9	кожурой	B-NC	
4-10	,	O	
4-11	душистый	O	
4-12	и	O	
4-13	без	O	
4-14	семян	B-NC	
4-15	;	O	
4-16	его	O	
4-17	продают	O	
4-18	с	O	
4-19	листьями	B-NC	
4-20	(	O	
4-21	два	O	
4-22	на	O	
4-23	плод	B-NC	
4-24	)	O	
4-25	с	O	
4-26	начала	B-NC	
4-27	ноября	B-NC	
4-28	по	O	
4-29	начало	B-NC	
4-30	февраля	B-NC	

#id=5
#text=Испанский имеет разновидности : более мелкие плоды и крупнее , каждый плод содержит от 2 до 10 семян
5-1	Испанский	O	
5-2	имеет	O	
5-3	разновидности	B-NC	
