 # webanno.custom.Entity | NC
#id=1
#text=Der Durianbaum ( Durio zibethinus ) , auch Zibetbaum genannt , ist eine Pflanzenart innerhalb der Familie der Malvengewächse ( Malvaceae ) . Sie ist ursprünglich in Indonesien und Malaysia beheimatet . Heute wird sie überall in Südostasien und manchen anderen tropischen Gebieten kultiviert . Die Frucht wird Durian , häufig auch Stink - oder Käsefrucht genannt und wird als Obst verwendet
1-1	Der	O	
1-2	Durianbaum	B-NC	
1-3	(	O	
1-4	Durio	B-NC	
1-5	zibethinus	B-NC	
1-6	)	O	
1-7	,	O	
1-8	auch	O	
1-9	Zibetbaum	B-NC	
1-10	genannt	O	
1-11	,	O	
1-12	ist	O	
1-13	eine	O	
1-14	Pflanzenart	B-NC	
1-15	innerhalb	O	
1-16	der	O	
1-17	Familie	B-NC	
1-18	der	O	
1-19	Malvengewächse	B-NC	
1-20	(	O	
1-21	Malvaceae	B-NC	
1-22	)	O	
1-23	.	O	
1-24	Sie	O	
1-25	ist	O	
1-26	ursprünglich	O	
1-27	in	O	
1-28	Indonesien	B-NC	
1-29	und	O	
1-30	Malaysia	B-NC	
1-31	beheimatet	O	
1-32	.	O	
1-33	Heute	O	
1-34	wird	O	
1-35	sie	O	
1-36	überall	O	
1-37	in	O	
1-38	Südostasien	B-NC	
1-39	und	O	
1-40	manchen	O	
1-41	anderen	O	
1-42	tropischen	O	
1-43	Gebieten	B-NC	
1-44	kultiviert	O	
1-45	.	O	
1-46	Die	O	
1-47	Frucht	B-NC	
1-48	wird	O	
1-49	Durian	B-NC	
1-50	,	O	
1-51	häufig	O	
1-52	auch	O	
1-53	Stink	B-NC	
1-54	-	O	
1-55	oder	O	
1-56	Käsefrucht	B-NC	
1-57	genannt	O	
1-58	und	O	
1-59	wird	O	
1-60	als	O	
1-61	Obst	B-NC	
1-62	verwendet	O	

