 # webanno.custom.Entity | NC
#id=1
#text=Ein Finger – wissenschaftlich digitus ( plural : digiti ) – ist ein Teil der Hand . Finger gehören zu den Akren . Ein Finger beim Menschen hat drei knöcherne Stützelemente , die Fingerknochen mit Phalanx proximalis , media und distalis , lediglich der Daumen hat nur zwei Phalangen ( Fingergliedknochen ; vom griech. Wort phalanx für Schlachtreihe von Kriegern ; Mz : phalanges ) . Die Phalangen sind gelenkig verbunden und schließen an den entsprechenden Mittelhandknochen ( Ossa metacarpi ) an . Dabei nimmt beim Menschen der Daumen eine Sonderstellung ein , da seine gelenkige Aufhängung ihm eine Oppositionsstellung gegenüber den übrigen Fingern erlaubt . Finger haben neben der Greif - , Stütz - und Halte - auch gestikuläre Funktionen , zum Beispiel nach oben oder nach unten gerichteter Daumen , ausgestreckter Mittelfinger , Berührung des Daumens mit dem Zeigefinger , Schwurfinger
1-1	Ein	O	
1-2	Finger	B-NC	
1-3	–	O	
1-4	wissenschaftlich	O	
1-5	digitus	O	
1-6	(	O	
1-7	plural	O	
1-8	:	O	
1-9	digiti	B-NC	
1-10	)	O	
1-11	–	B-NC	
1-12	ist	O	
1-13	ein	O	
1-14	Teil	B-NC	
1-15	der	O	
1-16	Hand	B-NC	
1-17	.	O	
1-18	Finger	O	
1-19	gehören	O	
1-20	zu	O	
1-21	den	O	
1-22	Akren	B-NC	
1-23	.	O	
1-24	Ein	O	
1-25	Finger	B-NC	
1-26	beim	O	
1-27	Menschen	B-NC	
1-28	hat	O	
1-29	drei	O	
1-30	knöcherne	O	
1-31	Stützelemente	B-NC	
1-32	,	O	
1-33	die	O	
1-34	Fingerknochen	B-NC	
1-35	mit	O	
1-36	Phalanx	B-NC	
1-37	proximalis	B-NC	
1-38	,	O	
1-39	media	B-NC	
1-40	und	O	
1-41	distalis	B-NC	
1-42	,	O	
1-43	lediglich	O	
1-44	der	O	
1-45	Daumen	B-NC	
1-46	hat	O	
1-47	nur	O	
1-48	zwei	O	
1-49	Phalangen	B-NC	
1-50	(	O	
1-51	Fingergliedknochen	B-NC	
1-52	;	O	
1-53	vom	O	
1-54	griech.	O	
1-55	Wort	B-NC	
1-56	phalanx	O	
1-57	für	O	
1-58	Schlachtreihe	B-NC	
1-59	von	O	
1-60	Kriegern	B-NC	
1-61	;	O	
1-62	Mz	B-NC	
1-63	:	O	
1-64	phalanges	O	
1-65	)	O	
1-66	.	O	
1-67	Die	O	
1-68	Phalangen	B-NC	
1-69	sind	O	
1-70	gelenkig	O	
1-71	verbunden	O	
1-72	und	O	
1-73	schließen	O	
1-74	an	O	
1-75	den	O	
1-76	entsprechenden	O	
1-77	Mittelhandknochen	B-NC	
1-78	(	O	
1-79	Ossa	B-NC	
1-80	metacarpi	O	
1-81	)	O	
1-82	an	O	
1-83	.	O	
1-84	Dabei	O	
1-85	nimmt	O	
1-86	beim	O	
1-87	Menschen	B-NC	
1-88	der	O	
1-89	Daumen	B-NC	
1-90	eine	O	
1-91	Sonderstellung	B-NC	
1-92	ein	O	
1-93	,	O	
1-94	da	O	
1-95	seine	O	
1-96	gelenkige	O	
1-97	Aufhängung	B-NC	
1-98	ihm	O	
1-99	eine	O	
1-100	Oppositionsstellung	B-NC	
1-101	gegenüber	O	
1-102	den	O	
1-103	übrigen	O	
1-104	Fingern	B-NC	
1-105	erlaubt	O	
1-106	.	O	
1-107	Finger	B-NC	
1-108	haben	O	
1-109	neben	O	
1-110	der	O	
1-111	Greif	B-NC	
1-112	-	O	
1-113	,	O	
1-114	Stütz	O	
1-115	-	O	
1-116	und	O	
1-117	Halte	B-NC	
1-118	-	O	
1-119	auch	O	
1-120	gestikuläre	O	
1-121	Funktionen	B-NC	
1-122	,	O	
1-123	zum	O	
1-124	Beispiel	B-NC	
1-125	nach	O	
1-126	oben	O	
1-127	oder	O	
1-128	nach	O	
1-129	unten	O	
1-130	gerichteter	O	
1-131	Daumen	B-NC	
1-132	,	O	
1-133	ausgestreckter	O	
1-134	Mittelfinger	B-NC	
1-135	,	O	
1-136	Berührung	B-NC	
1-137	des	O	
1-138	Daumens	B-NC	
1-139	mit	O	
1-140	dem	O	
1-141	Zeigefinger	B-NC	
1-142	,	O	
1-143	Schwurfinger	B-NC	

#id=2
#text=Das Pendant zu den Fingern sind an den unteren Extremitäten die Zehen
2-1	Das	O	
2-2	Pendant	B-NC	
2-3	zu	O	
2-4	den	O	
2-5	Fingern	B-NC	
2-6	sind	O	
2-7	an	O	
2-8	den	O	
2-9	unteren	O	
2-10	Extremitäten	B-NC	
2-11	die	O	
2-12	Zehen	B-NC	

