 # webanno.custom.Entity | NC
#id=1
#text=A finger is a limb of the human body and a type of digit , an organ of manipulation and sensation found in the hands of humans and other primates . [ 1][2 ] Normally humans have five digits , the bones of which are termed phalanges , [ 2 ] on each hand ( exceptions are polydactyly , oligodactyly and digit loss ) . The first digit is the thumb , followed by index finger , middle finger , ring finger , and little finger or pinky . According to different definitions , the thumb can be called a finger , or not
1-1	A	O	
1-2	finger	B-NC	
1-3	is	O	
1-4	a	O	
1-5	limb	B-NC	
1-6	of	O	
1-7	the	O	
1-8	human	O	
1-9	body	B-NC	
1-10	and	O	
1-11	a	O	
1-12	type	B-NC	
1-13	of	O	
1-14	digit	B-NC	
1-15	,	O	
1-16	an	O	
1-17	organ	B-NC	
1-18	of	O	
1-19	manipulation	B-NC	
1-20	and	O	
1-21	sensation	B-NC	
1-22	found	O	
1-23	in	O	
1-24	the	O	
1-25	hands	B-NC	
1-26	of	O	
1-27	humans	B-NC	
1-28	and	O	
1-29	other	O	
1-30	primates	B-NC	
1-31	.	O	
1-32	[	O	
1-33	1][2	B-NC	
1-34	]	O	
1-35	Normally	B-NC	
1-36	humans	B-NC	
1-37	have	O	
1-38	five	O	
1-39	digits	B-NC	
1-40	,	O	
1-41	the	O	
1-42	bones	B-NC	
1-43	of	O	
1-44	which	O	
1-45	are	O	
1-46	termed	O	
1-47	phalanges	B-NC	
1-48	,	O	
1-49	[	O	
1-50	2	O	
1-51	]	O	
1-52	on	O	
1-53	each	O	
1-54	hand	B-NC	
1-55	(	O	
1-56	exceptions	B-NC	
1-57	are	O	
1-58	polydactyly	O	
1-59	,	O	
1-60	oligodactyly	O	
1-61	and	O	
1-62	digit	B-NC	
1-63	loss	B-NC	
1-64	)	O	
1-65	.	O	
1-66	The	O	
1-67	first	O	
1-68	digit	B-NC	
1-69	is	O	
1-70	the	O	
1-71	thumb	B-NC	
1-72	,	O	
1-73	followed	O	
1-74	by	O	
1-75	index	B-NC	
1-76	finger	B-NC	
1-77	,	O	
1-78	middle	O	
1-79	finger	B-NC	
1-80	,	O	
1-81	ring	B-NC	
1-82	finger	B-NC	
1-83	,	O	
1-84	and	O	
1-85	little	O	
1-86	finger	B-NC	
1-87	or	O	
1-88	pinky	B-NC	
1-89	.	O	
1-90	According	O	
1-91	to	O	
1-92	different	O	
1-93	definitions	B-NC	
1-94	,	O	
1-95	the	O	
1-96	thumb	B-NC	
1-97	can	O	
1-98	be	O	
1-99	called	O	
1-100	a	O	
1-101	finger	B-NC	
1-102	,	O	
1-103	or	O	
1-104	not	O	

