 # webanno.custom.Entity | NC
#id=1
#text=Evarist Gamelin , Maler und Schüler Davids , Bürger des Stadtbezirks Pont - Neuf ( vormals Henri IV . ) , ging frühmorgens nach der einstigen Barnabitenkirche , in der seit drei Jahren – seit dem 21 . Mai 1791 – die Generalversammlung dieses Bezirks tagte . Die Kirche ragte auf einem engen , düsteren Platze , nahe dem Gitter des Justizpalastes . Die verwitterte , von Menschenhand verstümmelte Fassade bestand aus zwei antiken Pfeilergeschossen , die mit halb zerstörten Gesimsen und mit Pechpfannen geschmückt waren . Die Wahrzeichen des Glaubens waren roh abgemeißelt , und über dem Portal stand in schwarzen Buchstaben der Wahlspruch der Republik : »Freiheit , Gleichheit , Brüderlichkeit oder Tod . « Evarist Gamelin trat ein . Unter den Wölbungen des Kirchenschiffs , die einst vom Chorgesang der Bruderschaft St. Pauli widerhallten , saßen jetzt die Patrioten in roter Mütze , um die Stadtverwaltung zu wählen und über die Geschäfte des Bezirks zu beraten . Die Heiligenfiguren waren aus ihren Nischen entfernt und durch Büsten von Brutus , Jean Jacques Rousseau und Le Peltier ersetzt worden . Auf dem seines Schmuckes beraubten Altar stand eine Tafel mit der Verkündigung der Menschenrechte
1-1	Evarist	B-NC	
1-2	Gamelin	B-NC	
1-3	,	O	
1-4	Maler	B-NC	
1-5	und	O	
1-6	Schüler	B-NC	
1-7	Davids	B-NC	
1-8	,	O	
1-9	Bürger	B-NC	
1-10	des	O	
1-11	Stadtbezirks	B-NC	
1-12	Pont	O	
1-13	-	O	
1-14	Neuf	O	
1-15	(	O	
1-16	vormals	O	
1-17	Henri	B-NC	
1-18	IV	B-NC	
1-19	.	O	
1-20	)	O	
1-21	,	O	
1-22	ging	O	
1-23	frühmorgens	O	
1-24	nach	O	
1-25	der	O	
1-26	einstigen	O	
1-27	Barnabitenkirche	B-NC	
1-28	,	O	
1-29	in	O	
1-30	der	O	
1-31	seit	O	
1-32	drei	O	
1-33	Jahren	B-NC	
1-34	–	B-NC	
1-35	seit	O	
1-36	dem	O	
1-37	21	O	
1-38	.	O	
1-39	Mai	B-NC	
1-40	1791	O	
1-41	–	B-NC	
1-42	die	O	
1-43	Generalversammlung	B-NC	
1-44	dieses	O	
1-45	Bezirks	B-NC	
1-46	tagte	O	
1-47	.	O	
1-48	Die	O	
1-49	Kirche	B-NC	
1-50	ragte	O	
1-51	auf	O	
1-52	einem	O	
1-53	engen	O	
1-54	,	O	
1-55	düsteren	O	
1-56	Platze	B-NC	
1-57	,	O	
1-58	nahe	O	
1-59	dem	O	
1-60	Gitter	B-NC	
1-61	des	O	
1-62	Justizpalastes	B-NC	
1-63	.	O	
1-64	Die	O	
1-65	verwitterte	O	
1-66	,	O	
1-67	von	O	
1-68	Menschenhand	B-NC	
1-69	verstümmelte	O	
1-70	Fassade	B-NC	
1-71	bestand	O	
1-72	aus	O	
1-73	zwei	O	
1-74	antiken	O	
1-75	Pfeilergeschossen	B-NC	
1-76	,	O	
1-77	die	O	
1-78	mit	O	
1-79	halb	O	
1-80	zerstörten	O	
1-81	Gesimsen	B-NC	
1-82	und	O	
1-83	mit	O	
1-84	Pechpfannen	B-NC	
1-85	geschmückt	O	
1-86	waren	O	
1-87	.	O	
1-88	Die	O	
1-89	Wahrzeichen	B-NC	
1-90	des	O	
1-91	Glaubens	B-NC	
1-92	waren	O	
1-93	roh	O	
1-94	abgemeißelt	O	
1-95	,	O	
1-96	und	O	
1-97	über	O	
1-98	dem	O	
1-99	Portal	B-NC	
1-100	stand	O	
1-101	in	O	
1-102	schwarzen	O	
1-103	Buchstaben	B-NC	
1-104	der	O	
1-105	Wahlspruch	B-NC	
1-106	der	O	
1-107	Republik	B-NC	
1-108	:	O	
1-109	»Freiheit	B-NC	
1-110	,	O	
1-111	Gleichheit	B-NC	
1-112	,	O	
1-113	Brüderlichkeit	B-NC	
1-114	oder	O	
1-115	Tod	B-NC	
1-116	.	O	
1-117	«	O	
1-118	Evarist	B-NC	
1-119	Gamelin	B-NC	
1-120	trat	O	
1-121	ein	O	
1-122	.	O	
1-123	Unter	O	
1-124	den	O	
1-125	Wölbungen	B-NC	
1-126	des	O	
1-127	Kirchenschiffs	B-NC	
1-128	,	O	
1-129	die	O	
1-130	einst	O	
1-131	vom	O	
1-132	Chorgesang	B-NC	
1-133	der	O	
1-134	Bruderschaft	B-NC	
1-135	St.	B-NC	
1-136	Pauli	B-NC	
1-137	widerhallten	O	
1-138	,	O	
1-139	saßen	O	
1-140	jetzt	O	
1-141	die	O	
1-142	Patrioten	B-NC	
1-143	in	O	
1-144	roter	O	
1-145	Mütze	B-NC	
1-146	,	O	
1-147	um	O	
1-148	die	O	
1-149	Stadtverwaltung	B-NC	
1-150	zu	O	
1-151	wählen	O	
1-152	und	O	
1-153	über	O	
1-154	die	O	
1-155	Geschäfte	B-NC	
1-156	des	O	
1-157	Bezirks	B-NC	
1-158	zu	O	
1-159	beraten	O	
1-160	.	O	
1-161	Die	O	
1-162	Heiligenfiguren	B-NC	
1-163	waren	O	
1-164	aus	O	
1-165	ihren	O	
1-166	Nischen	B-NC	
1-167	entfernt	O	
1-168	und	O	
1-169	durch	O	
1-170	Büsten	B-NC	
1-171	von	O	
1-172	Brutus	B-NC	
1-173	,	O	
1-174	Jean	B-NC	
1-175	Jacques	B-NC	
1-176	Rousseau	B-NC	
1-177	und	O	
1-178	Le	B-NC	
1-179	Peltier	B-NC	
1-180	ersetzt	O	
1-181	worden	O	
1-182	.	O	
1-183	Auf	O	
1-184	dem	O	
1-185	seines	O	
1-186	Schmuckes	B-NC	
1-187	beraubten	O	
1-188	Altar	B-NC	
1-189	stand	O	
1-190	eine	O	
1-191	Tafel	B-NC	
1-192	mit	O	
1-193	der	O	
1-194	Verkündigung	B-NC	
1-195	der	O	
1-196	Menschenrechte	B-NC	

#id=2
#text=Zweimal wöchentlich , von fünf Uhr nachmittags bis elf Uhr nachts , fanden hier die öffentlichen Versammlungen statt . Die Kanzel , an der die Nationalfahne prangte , diente als Rednertribüne . Gegenüber , auf der linken Altarseite , war ein Brettergerüst aufgeschlagen ; es war für die Frauen und Kinder bestimmt , die diesen Versammlungen in großer Zahl beiwohnten . An einem Schreibtisch zu Füßen der Kanzel saß an jedem Morgen in roter Mütze und Karmagnole der Bürger Dupont der Ältere , Tischler von der Place de Thionville und Mitglied vom Überwachungsausschuß . Auf dem Schreibtische stand eine Flasche mit Gläsern und Schreibzeug , daneben lag ein Schriftstück , der Text einer Petition , zwanzig unwürdige Mitglieder des Konvents zu ächten
2-1	Zweimal	B-NC	
2-2	wöchentlich	O	
2-3	,	O	
2-4	von	O	
2-5	fünf	O	
2-6	Uhr	B-NC	
2-7	nachmittags	O	
2-8	bis	O	
2-9	elf	O	
2-10	Uhr	B-NC	
2-11	nachts	O	
2-12	,	O	
2-13	fanden	O	
2-14	hier	O	
2-15	die	O	
2-16	öffentlichen	O	
2-17	Versammlungen	B-NC	
2-18	statt	O	
2-19	.	O	
2-20	Die	O	
2-21	Kanzel	B-NC	
2-22	,	O	
2-23	an	O	
2-24	der	O	
2-25	die	O	
2-26	Nationalfahne	B-NC	
2-27	prangte	O	
2-28	,	O	
2-29	diente	O	
2-30	als	O	
2-31	Rednertribüne	B-NC	
2-32	.	O	
2-33	Gegenüber	O	
2-34	,	O	
2-35	auf	O	
2-36	der	O	
2-37	linken	O	
2-38	Altarseite	B-NC	
2-39	,	O	
2-40	war	O	
2-41	ein	O	
2-42	Brettergerüst	B-NC	
2-43	aufgeschlagen	O	
2-44	;	O	
2-45	es	O	
2-46	war	O	
2-47	für	O	
2-48	die	O	
2-49	Frauen	B-NC	
2-50	und	O	
2-51	Kinder	B-NC	
2-52	bestimmt	O	
2-53	,	O	
2-54	die	O	
2-55	diesen	O	
2-56	Versammlungen	B-NC	
2-57	in	O	
2-58	großer	O	
2-59	Zahl	B-NC	
2-60	beiwohnten	O	
2-61	.	O	
2-62	An	O	
2-63	einem	O	
2-64	Schreibtisch	B-NC	
2-65	zu	O	
2-66	Füßen	B-NC	
2-67	der	O	
2-68	Kanzel	B-NC	
2-69	saß	O	
2-70	an	O	
2-71	jedem	O	
2-72	Morgen	B-NC	
2-73	in	O	
2-74	roter	O	
2-75	Mütze	B-NC	
2-76	und	O	
2-77	Karmagnole	B-NC	
2-78	der	O	
2-79	Bürger	B-NC	
2-80	Dupont	B-NC	
2-81	der	O	
2-82	Ältere	B-NC	
2-83	,	O	
2-84	Tischler	B-NC	
2-85	von	O	
2-86	der	O	
2-87	Place	B-NC	
2-88	de	B-NC	
2-89	Thionville	B-NC	
2-90	und	O	
2-91	Mitglied	B-NC	
2-92	vom	O	
2-93	Überwachungsausschuß	B-NC	
2-94	.	O	
2-95	Auf	O	
2-96	dem	O	
2-97	Schreibtische	B-NC	
2-98	stand	O	
2-99	eine	O	
2-100	Flasche	B-NC	
2-101	mit	O	
2-102	Gläsern	B-NC	
2-103	und	O	
2-104	Schreibzeug	B-NC	
2-105	,	O	
2-106	daneben	O	
2-107	lag	O	
2-108	ein	O	
2-109	Schriftstück	B-NC	
2-110	,	O	
2-111	der	O	
2-112	Text	B-NC	
2-113	einer	O	
2-114	Petition	B-NC	
2-115	,	O	
2-116	zwanzig	O	
2-117	unwürdige	O	
2-118	Mitglieder	B-NC	
2-119	des	O	
2-120	Konvents	B-NC	
2-121	zu	O	
2-122	ächten	O	

#id=3
#text=Evarist Gamelin griff zur Feder und unterschrieb
3-1	Evarist	B-NC	
3-2	Gamelin	B-NC	
3-3	griff	O	
3-4	zur	O	
3-5	Feder	B-NC	
3-6	und	O	
3-7	unterschrieb	O	

#id=4
#text=»Ich wußte es wohl« , sprach der Tischler und Beamte , »du würdest deine Unterschrift leisten , Bürger Gamelin . Du bist lauter . Aber die Leute vom Bezirk sind lau und ohne Bürgertugend . Ich gab dem Überwachungsausschuß den Rat , jedem , der die Petition nicht unterschreibt , die Bescheinigung des Bürgerrechts zu verweigern .
4-1	»Ich	B-NC	
4-2	wußte	O	
4-3	es	O	
4-4	wohl«	O	
4-5	,	O	
4-6	sprach	O	
4-7	der	O	
4-8	Tischler	B-NC	
4-9	und	O	
4-10	Beamte	B-NC	
4-11	,	O	
4-12	»du	B-NC	
4-13	würdest	O	
4-14	deine	O	
4-15	Unterschrift	B-NC	
4-16	leisten	O	
4-17	,	O	
4-18	Bürger	B-NC	
4-19	Gamelin	B-NC	
4-20	.	O	
4-21	Du	O	
4-22	bist	O	
4-23	lauter	O	
4-24	.	O	
4-25	Aber	O	
4-26	die	O	
4-27	Leute	B-NC	
4-28	vom	O	
4-29	Bezirk	B-NC	
4-30	sind	O	
4-31	lau	O	
4-32	und	O	
4-33	ohne	O	
4-34	Bürgertugend	B-NC	
4-35	.	O	
4-36	Ich	O	
4-37	gab	O	
4-38	dem	O	
4-39	Überwachungsausschuß	B-NC	
4-40	den	O	
4-41	Rat	B-NC	
4-42	,	O	
4-43	jedem	O	
4-44	,	O	
4-45	der	O	
4-46	die	O	
4-47	Petition	B-NC	
4-48	nicht	O	
4-49	unterschreibt	O	
4-50	,	O	
4-51	die	O	
4-52	Bescheinigung	B-NC	
4-53	des	O	
4-54	Bürgerrechts	B-NC	
4-55	zu	O	
4-56	verweigern	O	
4-57	.	O	

#id=5
#text=»Ich bin bereit« , erwiderte Gamelin , »die Ächtung der föderalistischen Verräter mit meinem Blute zu unterschreiben . Sie wollten Marats Tod : nieder mit ihnen !
5-1	»Ich	B-NC	
5-2	bin	O	
5-3	bereit«	O	
5-4	,	O	
5-5	erwiderte	O	
5-6	Gamelin	B-NC	
5-7	,	O	
5-8	»die	B-NC	
5-9	Ächtung	B-NC	
5-10	der	O	
5-11	föderalistischen	O	
5-12	Verräter	B-NC	
5-13	mit	O	
5-14	meinem	O	
5-15	Blute	B-NC	
5-16	zu	O	
5-17	unterschreiben	O	
5-18	.	O	
5-19	Sie	O	
5-20	wollten	O	
5-21	Marats	B-NC	
5-22	Tod	B-NC	
5-23	:	O	
5-24	nieder	O	
5-25	mit	O	
5-26	ihnen	O	
5-27	!	O	

