 # webanno.custom.Entity | NC
#id=1
#text=Эварист Гамлен , художник , ученик Давида , член секции Нового Моста , прежде – секции Генриха IV , ранним утром отправился в бывшею церковь варнавитов , которая в течение трех лет , с 21 мая 1790 г . , служила местом общих собраний секции . Церковь эта находилась на тесной , мрачной площади , близ решетки Суда . На фасаде , составленном из двух классических орденов , украшенном опрокинутыми консолями и артиллерийскими ракетами , пострадавшем от времени , потерпевшем от людей , религиозные эмблемы были сбиты , и на их месте , над главным входом , черными буквами вывели республиканский девиз : «Свобода , Равенство , Братство или Смерть» . Эварист Гамлен вошел внутрь : своды , некогда внимавшие богослужениям клириков конгрегации святого Павла , облаченных в стихари , теперь глядели на патриотов в красных колпаках , сходившихся сюда для выборов муниципальных чиновников и для обсуждения дел секции . Святых вытащили из ниш и заменили бюстами Брута , Жан - Жака и Ле - Пельтье . На разоренном алтаре высилась доска с Декларацией Прав человека
1-1	Эварист	B-NC	
1-2	Гамлен	B-NC	
1-3	,	O	
1-4	художник	B-NC	
1-5	,	O	
1-6	ученик	B-NC	
1-7	Давида	B-NC	
1-8	,	O	
1-9	член	B-NC	
1-10	секции	B-NC	
1-11	Нового	O	
1-12	Моста	B-NC	
1-13	,	O	
1-14	прежде	O	
1-15	–	O	
1-16	секции	B-NC	
1-17	Генриха	B-NC	
1-18	IV	O	
1-19	,	O	
1-20	ранним	O	
1-21	утром	B-NC	
1-22	отправился	O	
1-23	в	O	
1-24	бывшею	B-NC	
1-25	церковь	B-NC	
1-26	варнавитов	B-NC	
1-27	,	O	
1-28	которая	O	
1-29	в	O	
1-30	течение	B-NC	
1-31	трех	O	
1-32	лет	B-NC	
1-33	,	O	
1-34	с	O	
1-35	21	O	
1-36	мая	B-NC	
1-37	1790	O	
1-38	г	B-NC	
1-39	.	O	
1-40	,	O	
1-41	служила	O	
1-42	местом	B-NC	
1-43	общих	O	
1-44	собраний	B-NC	
1-45	секции	B-NC	
1-46	.	O	
1-47	Церковь	B-NC	
1-48	эта	O	
1-49	находилась	O	
1-50	на	O	
1-51	тесной	O	
1-52	,	O	
1-53	мрачной	O	
1-54	площади	B-NC	
1-55	,	O	
1-56	близ	O	
1-57	решетки	B-NC	
1-58	Суда	B-NC	
1-59	.	O	
1-60	На	O	
1-61	фасаде	B-NC	
1-62	,	O	
1-63	составленном	O	
1-64	из	O	
1-65	двух	O	
1-66	классических	O	
1-67	орденов	B-NC	
1-68	,	O	
1-69	украшенном	O	
1-70	опрокинутыми	O	
1-71	консолями	B-NC	
1-72	и	O	
1-73	артиллерийскими	O	
1-74	ракетами	B-NC	
1-75	,	O	
1-76	пострадавшем	B-NC	
1-77	от	O	
1-78	времени	B-NC	
1-79	,	O	
1-80	потерпевшем	O	
1-81	от	O	
1-82	людей	B-NC	
1-83	,	O	
1-84	религиозные	O	
1-85	эмблемы	B-NC	
1-86	были	O	
1-87	сбиты	O	
1-88	,	O	
1-89	и	O	
1-90	на	O	
1-91	их	O	
1-92	месте	B-NC	
1-93	,	O	
1-94	над	O	
1-95	главным	O	
1-96	входом	B-NC	
1-97	,	O	
1-98	черными	O	
1-99	буквами	B-NC	
1-100	вывели	O	
1-101	республиканский	O	
1-102	девиз	B-NC	
1-103	:	O	
1-104	«Свобода	B-NC	
1-105	,	O	
1-106	Равенство	B-NC	
1-107	,	O	
1-108	Братство	B-NC	
1-109	или	O	
1-110	Смерть»	B-NC	
1-111	.	O	
1-112	Эварист	B-NC	
1-113	Гамлен	B-NC	
1-114	вошел	O	
1-115	внутрь	O	
1-116	:	O	
1-117	своды	B-NC	
1-118	,	O	
1-119	некогда	O	
1-120	внимавшие	O	
1-121	богослужениям	B-NC	
1-122	клириков	B-NC	
1-123	конгрегации	B-NC	
1-124	святого	B-NC	
1-125	Павла	B-NC	
1-126	,	O	
1-127	облаченных	O	
1-128	в	O	
1-129	стихари	B-NC	
1-130	,	O	
1-131	теперь	O	
1-132	глядели	O	
1-133	на	O	
1-134	патриотов	B-NC	
1-135	в	O	
1-136	красных	O	
1-137	колпаках	B-NC	
1-138	,	O	
1-139	сходившихся	O	
1-140	сюда	O	
1-141	для	O	
1-142	выборов	B-NC	
1-143	муниципальных	O	
1-144	чиновников	B-NC	
1-145	и	O	
1-146	для	O	
1-147	обсуждения	B-NC	
1-148	дел	B-NC	
1-149	секции	B-NC	
1-150	.	O	
1-151	Святых	B-NC	
1-152	вытащили	O	
1-153	из	O	
1-154	ниш	B-NC	
1-155	и	O	
1-156	заменили	O	
1-157	бюстами	B-NC	
1-158	Брута	B-NC	
1-159	,	O	
1-160	Жан	B-NC	
1-161	-	O	
1-162	Жака	B-NC	
1-163	и	O	
1-164	Ле	O	
1-165	-	O	
1-166	Пельтье	B-NC	
1-167	.	O	
1-168	На	O	
1-169	разоренном	O	
1-170	алтаре	B-NC	
1-171	высилась	O	
1-172	доска	B-NC	
1-173	с	O	
1-174	Декларацией	B-NC	
1-175	Прав	O	
1-176	человека	B-NC	

#id=2
