 # webanno.custom.Entity | NC
#id=1
#text=" Here they are , " said Rogojin , after a still longer pause " Here they are , " said Rogojin , after a still longer pause
1-1	"	O	
1-2	Here	O	
1-3	they	O	
1-4	are	O	
1-5	,	O	
1-6	"	O	
1-7	said	O	
1-8	Rogojin	B-NC	
1-9	,	O	
1-10	after	O	
1-11	a	O	
1-12	still	O	
1-13	longer	O	
1-14	pause	B-NC	
1-15	"	O	
1-16	Here	O	
1-17	they	O	
1-18	are	O	
1-19	,	O	
1-20	"	O	
1-21	said	O	
1-22	Rogojin	B-NC	
1-23	,	O	
1-24	after	O	
1-25	a	O	
1-26	still	O	
1-27	longer	O	
1-28	pause	B-NC	

#id=2
#text=He pulled out a pack of cards , wrapped in a bit of paper , from his pocket , and handed them to the prince . The latter took them , with a sort of perplexity . A new , sad , helpless feeling weighed on his heart ; he had suddenly realized that not only at this moment , but for a long while , he had not been saying what he wanted to say , had not been acting as he wanted to act ; and that these cards which he held in his hand , and which he had been so delighted to have at first , were now of no use--no use ... He rose , and wrung his hands . Rogojin lay motionless , and seemed neither to hear nor see his movements ; but his eyes blazed in the darkness , and were fixed in a wild stare He pulled out a pack of cards , wrapped in a bit of paper , from his pocket , and handed them to the prince . The latter took them , with a sort of perplexity . A new , sad , helpless feeling weighed on his heart ; he had suddenly realized that not only at this moment , but for a long while , he had not been saying what he wanted to say , had not been acting as he wanted to act ; and that these cards which he held in his hand , and which he had been so delighted to have at first , were now of no use--no use ... He rose , and wrung his hands . Rogojin lay motionless , and seemed neither to hear nor see his movements ; but his eyes blazed in the darkness , and were fixed in a wild stare
2-1	He	O	
2-2	pulled	O	
2-3	out	O	
2-4	a	O	
2-5	pack	B-NC	
2-6	of	O	
2-7	cards	B-NC	
2-8	,	O	
2-9	wrapped	O	
2-10	in	O	
2-11	a	O	
2-12	bit	B-NC	
2-13	of	O	
2-14	paper	B-NC	
2-15	,	O	
2-16	from	O	
2-17	his	O	
2-18	pocket	B-NC	
2-19	,	O	
2-20	and	O	
2-21	handed	O	
2-22	them	O	
2-23	to	O	
2-24	the	O	
2-25	prince	B-NC	
2-26	.	O	
2-27	The	O	
2-28	latter	B-NC	
2-29	took	O	
2-30	them	O	
2-31	,	O	
2-32	with	O	
2-33	a	O	
2-34	sort	B-NC	
2-35	of	O	
2-36	perplexity	B-NC	
2-37	.	O	
2-38	A	O	
2-39	new	O	
2-40	,	O	
2-41	sad	O	
2-42	,	O	
2-43	helpless	O	
2-44	feeling	B-NC	
2-45	weighed	O	
2-46	on	O	
2-47	his	O	
2-48	heart	B-NC	
2-49	;	O	
2-50	he	O	
2-51	had	O	
2-52	suddenly	O	
2-53	realized	O	
2-54	that	O	
2-55	not	O	
2-56	only	O	
2-57	at	O	
2-58	this	O	
2-59	moment	B-NC	
2-60	,	O	
2-61	but	O	
2-62	for	O	
2-63	a	O	
2-64	long	O	
2-65	while	B-NC	
2-66	,	O	
2-67	he	O	
2-68	had	O	
2-69	not	O	
2-70	been	O	
2-71	saying	O	
2-72	what	O	
2-73	he	O	
2-74	wanted	O	
2-75	to	O	
2-76	say	O	
2-77	,	O	
2-78	had	O	
2-79	not	O	
2-80	been	O	
2-81	acting	O	
2-82	as	O	
2-83	he	O	
2-84	wanted	O	
2-85	to	O	
2-86	act	O	
2-87	;	O	
2-88	and	O	
2-89	that	O	
2-90	these	O	
2-91	cards	B-NC	
2-92	which	O	
2-93	he	O	
2-94	held	O	
2-95	in	O	
2-96	his	O	
2-97	hand	B-NC	
2-98	,	O	
2-99	and	O	
2-100	which	O	
2-101	he	O	
2-102	had	O	
2-103	been	O	
2-104	so	O	
2-105	delighted	O	
2-106	to	O	
2-107	have	O	
2-108	at	O	
2-109	first	O	
2-110	,	O	
2-111	were	O	
2-112	now	O	
2-113	of	O	
2-114	no	O	
2-115	use--no	B-NC	
2-116	use	I-NC	
2-117	...	O	
2-118	He	O	
2-119	rose	O	
2-120	,	O	
2-121	and	O	
2-122	wrung	O	
2-123	his	O	
2-124	hands	B-NC	
2-125	.	O	
2-126	Rogojin	B-NC	
2-127	lay	O	
2-128	motionless	O	
2-129	,	O	
2-130	and	O	
2-131	seemed	O	
2-132	neither	O	
2-133	to	O	
2-134	hear	O	
2-135	nor	O	
2-136	see	O	
2-137	his	O	
2-138	movements	B-NC	
2-139	;	O	
2-140	but	O	
2-141	his	O	
2-142	eyes	B-NC	
2-143	blazed	O	
2-144	in	O	
2-145	the	O	
2-146	darkness	B-NC	
2-147	,	O	
2-148	and	O	
2-149	were	O	
2-150	fixed	O	
2-151	in	O	
2-152	a	O	
2-153	wild	O	
2-154	stare	B-NC	
2-155	He	O	
2-156	pulled	O	
2-157	out	O	
2-158	a	O	
2-159	pack	B-NC	
2-160	of	O	
2-161	cards	B-NC	
2-162	,	O	
2-163	wrapped	O	
2-164	in	O	
2-165	a	O	
2-166	bit	B-NC	
2-167	of	O	
2-168	paper	B-NC	
2-169	,	O	
2-170	from	O	
2-171	his	O	
2-172	pocket	B-NC	
2-173	,	O	
2-174	and	O	
2-175	handed	O	
2-176	them	O	
2-177	to	O	
2-178	the	O	
2-179	prince	B-NC	
2-180	.	O	
2-181	The	O	
2-182	latter	B-NC	
2-183	took	O	
2-184	them	O	
2-185	,	O	
2-186	with	O	
2-187	a	O	
2-188	sort	B-NC	
2-189	of	O	
2-190	perplexity	B-NC	
2-191	.	O	
2-192	A	O	
2-193	new	O	
2-194	,	O	
2-195	sad	O	
2-196	,	O	
2-197	helpless	O	
2-198	feeling	B-NC	
2-199	weighed	O	
2-200	on	O	
2-201	his	O	
2-202	heart	B-NC	
2-203	;	O	
2-204	he	O	
2-205	had	O	
2-206	suddenly	O	
2-207	realized	O	
2-208	that	O	
2-209	not	O	
2-210	only	O	
2-211	at	O	
2-212	this	O	
2-213	moment	B-NC	
2-214	,	O	
2-215	but	O	
2-216	for	O	
2-217	a	O	
2-218	long	O	
2-219	while	B-NC	
2-220	,	O	
2-221	he	O	
2-222	had	O	
2-223	not	O	
2-224	been	O	
2-225	saying	O	
2-226	what	O	
2-227	he	O	
2-228	wanted	O	
2-229	to	O	
2-230	say	O	
2-231	,	O	
2-232	had	O	
2-233	not	O	
2-234	been	O	
2-235	acting	O	
2-236	as	O	
2-237	he	O	
2-238	wanted	O	
2-239	to	O	
2-240	act	O	
2-241	;	O	
2-242	and	O	
2-243	that	O	
2-244	these	O	
2-245	cards	B-NC	
2-246	which	O	
2-247	he	O	
2-248	held	O	
2-249	in	O	
2-250	his	O	
2-251	hand	B-NC	
2-252	,	O	
2-253	and	O	
2-254	which	O	
2-255	he	O	
2-256	had	O	
2-257	been	O	
2-258	so	O	
2-259	delighted	O	
2-260	to	O	
2-261	have	O	
2-262	at	O	
2-263	first	O	
2-264	,	O	
2-265	were	O	
2-266	now	O	
2-267	of	O	
2-268	no	O	
2-269	use--no	B-NC	
2-270	use	I-NC	
2-271	...	O	
2-272	He	O	
2-273	rose	O	
2-274	,	O	
2-275	and	O	
2-276	wrung	O	
2-277	his	O	
2-278	hands	B-NC	
2-279	.	O	
2-280	Rogojin	B-NC	
2-281	lay	O	
2-282	motionless	O	
2-283	,	O	
2-284	and	O	
2-285	seemed	O	
2-286	neither	O	
2-287	to	O	
2-288	hear	O	
2-289	nor	O	
2-290	see	O	
2-291	his	O	
2-292	movements	B-NC	
2-293	;	O	
2-294	but	O	
2-295	his	O	
2-296	eyes	B-NC	
2-297	blazed	O	
2-298	in	O	
2-299	the	O	
2-300	darkness	B-NC	
2-301	,	O	
2-302	and	O	
2-303	were	O	
2-304	fixed	O	
2-305	in	O	
2-306	a	O	
2-307	wild	O	
2-308	stare	B-NC	

#id=3
#text=The prince sat down on a chair , and watched him in alarm . Half an hour went by The prince sat down on a chair , and watched him in alarm . Half an hour went by
3-1	The	O	
3-2	prince	B-NC	
3-3	sat	O	
3-4	down	O	
3-5	on	O	
3-6	a	O	
3-7	chair	B-NC	
3-8	,	O	
3-9	and	O	
3-10	watched	O	
3-11	him	O	
3-12	in	O	
3-13	alarm	B-NC	
3-14	.	O	
3-15	Half	O	
3-16	an	O	
3-17	hour	B-NC	
3-18	went	O	
3-19	by	O	
3-20	The	O	
3-21	prince	B-NC	
3-22	sat	O	
3-23	down	O	
3-24	on	O	
3-25	a	O	
3-26	chair	B-NC	
3-27	,	O	
3-28	and	O	
3-29	watched	O	
3-30	him	O	
3-31	in	O	
3-32	alarm	B-NC	
3-33	.	O	
3-34	Half	O	
3-35	an	O	
3-36	hour	B-NC	
3-37	went	O	
3-38	by	O	

#id=4
#text=Suddenly Rogojin burst into a loud abrupt laugh , as though he had quite forgotten that they must speak in whispers Suddenly Rogojin burst into a loud abrupt laugh , as though he had quite forgotten that they must speak in whispers
4-1	Suddenly	O	
4-2	Rogojin	B-NC	
4-3	burst	I-NC	
4-4	into	O	
4-5	a	O	
4-6	loud	O	
4-7	abrupt	O	
4-8	laugh	B-NC	
4-9	,	O	
4-10	as	O	
4-11	though	O	
4-12	he	O	
4-13	had	O	
4-14	quite	O	
4-15	forgotten	O	
4-16	that	O	
4-17	they	O	
4-18	must	O	
4-19	speak	O	
4-20	in	O	
4-21	whispers	B-NC	
4-22	Suddenly	O	
4-23	Rogojin	B-NC	
4-24	burst	I-NC	
4-25	into	O	
4-26	a	O	
4-27	loud	O	
4-28	abrupt	O	
4-29	laugh	B-NC	
4-30	,	O	
4-31	as	O	
4-32	though	O	
4-33	he	O	
4-34	had	O	
4-35	quite	O	
4-36	forgotten	O	
4-37	that	O	
4-38	they	O	
4-39	must	O	
4-40	speak	O	
4-41	in	O	
4-42	whispers	B-NC	

#id=5
#text=" That officer , eh ! -- that young officer--do n't you remember that fellow at the band ? Eh ? Ha , ha , ha ! Did n't she whip him smartly , eh ? " That officer , eh ! -- that young officer--do n't you remember that fellow at the band ? Eh ? Ha , ha , ha ! Did n't she whip him smartly , eh ?
5-1	"	O	
5-2	That	O	
5-3	officer	B-NC	
5-4	,	O	
5-5	eh	B-NC	
5-6	!	O	
5-7	--	O	
5-8	that	O	
5-9	young	O	
5-10	officer--do	B-NC	
5-11	n't	O	
5-12	you	O	
5-13	remember	O	
5-14	that	O	
5-15	fellow	B-NC	
5-16	at	O	
5-17	the	O	
5-18	band	B-NC	
5-19	?	O	
5-20	Eh	B-NC	
5-21	?	O	
5-22	Ha	B-NC	
5-23	,	O	
5-24	ha	B-NC	
5-25	,	O	
5-26	ha	B-NC	
5-27	!	O	
5-28	Did	O	
5-29	n't	O	
5-30	she	O	
5-31	whip	O	
5-32	him	O	
5-33	smartly	O	
5-34	,	O	
5-35	eh	B-NC	
5-36	?	O	
5-37	"	O	
5-38	That	O	
5-39	officer	B-NC	
5-40	,	O	
5-41	eh	B-NC	
5-42	!	O	
5-43	--	O	
5-44	that	O	
5-45	young	O	
5-46	officer--do	B-NC	
5-47	n't	O	
5-48	you	O	
5-49	remember	O	
5-50	that	O	
5-51	fellow	B-NC	
5-52	at	O	
5-53	the	O	
5-54	band	B-NC	
5-55	?	O	
5-56	Eh	B-NC	
5-57	?	O	
5-58	Ha	B-NC	
5-59	,	O	
5-60	ha	B-NC	
5-61	,	O	
5-62	ha	B-NC	
5-63	!	O	
5-64	Did	O	
5-65	n't	O	
5-66	she	O	
5-67	whip	O	
5-68	him	O	
5-69	smartly	O	
5-70	,	O	
5-71	eh	B-NC	
5-72	?	O	

#id=6
#text=The prince jumped up from his seat in renewed terror . When Rogojin quieted down ( which he did at once ) the prince bent over him , sat down beside him , and with painfully beating heart and still more painful breath , watched his face intently . Rogojin never turned his head , and seemed to have forgotten all about him . The prince watched and waited . Time went on--it began to grow light The prince jumped up from his seat in renewed terror . When Rogojin quieted down ( which he did at once ) the prince bent over him , sat down beside him , and with painfully beating heart and still more painful breath , watched his face intently . Rogojin never turned his head , and seemed to have forgotten all about him . The prince watched and waited . Time went on--it began to grow light
6-1	The	O	
6-2	prince	B-NC	
6-3	jumped	O	
6-4	up	O	
6-5	from	O	
6-6	his	O	
