 # webanno.custom.Entity | NC
#id=1
#text=-- Здесь карты ... -- выговорил Рогожин , помолчав еще больше , -- вот
1-1	--	O	
1-2	Здесь	O	
1-3	карты	B-NC	
1-4	...	O	
1-5	--	O	
1-6	выговорил	O	
1-7	Рогожин	B-NC	
1-8	,	O	
1-9	помолчав	O	
1-10	еще	O	
1-11	больше	O	
1-12	,	O	
1-13	--	O	
1-14	вот	O	

#id=2
#text=Он вынул игранную , завернутую в бумажку колоду из кармана и протянул к князю . Тот взял , но как бы с недоумением . Новое , грустное и безотрадное чувство сдавило ему сердце ; он вдруг понял , что в эту минуту , и давно уже , всё говорит не о том , о чем надо ему говорить , и делает всё не то , что бы надо делать , и что вот эти карты , которые он держит в руках и которым он так обрадовался , ничему , ничему не помогут теперь . Он встал и всплеснул руками . Рогожин лежал неподвижно и как бы не слыхал и не видал его движения ; но глаза его ярко блистали сквозь темноту и были совершенно открыты и неподвижны . Князь сел на стул и стал со страхом смотреть на него . Прошло с полчаса ; вдруг Рогожин громко и отрывисто закричал и захохотал , как бы забыв , что надо говорить шепотом
2-1	Он	O	
2-2	вынул	O	
2-3	игранную	O	
2-4	,	O	
2-5	завернутую	O	
2-6	в	O	
2-7	бумажку	B-NC	
2-8	колоду	B-NC	
2-9	из	O	
2-10	кармана	B-NC	
2-11	и	O	
2-12	протянул	O	
2-13	к	O	
2-14	князю	B-NC	
2-15	.	O	
2-16	Тот	O	
2-17	взял	O	
2-18	,	O	
2-19	но	O	
2-20	как	O	
2-21	бы	O	
2-22	с	O	
2-23	недоумением	B-NC	
2-24	.	O	
2-25	Новое	O	
2-26	,	O	
2-27	грустное	O	
2-28	и	O	
2-29	безотрадное	O	
2-30	чувство	B-NC	
2-31	сдавило	O	
2-32	ему	O	
2-33	сердце	B-NC	
2-34	;	O	
2-35	он	O	
2-36	вдруг	O	
2-37	понял	O	
2-38	,	O	
2-39	что	O	
2-40	в	O	
2-41	эту	O	
2-42	минуту	B-NC	
2-43	,	O	
2-44	и	O	
2-45	давно	O	
2-46	уже	O	
2-47	,	O	
2-48	всё	B-NC	
2-49	говорит	O	
2-50	не	O	
2-51	о	O	
2-52	том	O	
2-53	,	O	
2-54	о	O	
