 # webanno.custom.Entity | NC
#id=1
#text=Es war gegen Ende des November , bei Tauwetter , als sich um neun Uhr morgens ein Zug der Petersburg-Warschauer Bahn in voller Fahrt Petersburg näherte . Das Wetter war so feucht und neblig , daß das Tageslicht kaum zur Geltung kam ; man konnte rechts und links von der Bahn aus den Fenstern der Wagen nur auf zehn Schritte mit Mühe etwas erkennen . Unter den Passagieren waren einige , die aus dem Ausland zurückkehrten ; am meisten gefüllt waren aber die Abteile dritter Klasse , und zwar fast ausschließlich mit kleinen Geschäftsleuten , die aus nicht sehr weiter Entfernung kamen . Alle waren , wie das so zu sein pflegt , müde ; allen waren während der Nacht die Augenlider schwer geworden , alle fröstelten , alle Gesichter waren gelblich , von derselben Farbe wie der Nebel
1-1	Es	O	
1-2	war	O	
1-3	gegen	O	
1-4	Ende	B-NC	
1-5	des	O	
1-6	November	B-NC	
1-7	,	O	
1-8	bei	O	
1-9	Tauwetter	B-NC	
1-10	,	O	
1-11	als	O	
1-12	sich	O	
1-13	um	O	
1-14	neun	O	
1-15	Uhr	B-NC	
1-16	morgens	O	
1-17	ein	O	
1-18	Zug	B-NC	
1-19	der	O	
1-20	Petersburg-Warschauer	B-NC	
1-21	Bahn	B-NC	
1-22	in	O	
1-23	voller	O	
1-24	Fahrt	B-NC	
1-25	Petersburg	B-NC	
1-26	näherte	O	
1-27	.	O	
1-28	Das	O	
1-29	Wetter	B-NC	
1-30	war	O	
1-31	so	O	
1-32	feucht	O	
1-33	und	O	
1-34	neblig	O	
1-35	,	O	
1-36	daß	O	
1-37	das	O	
1-38	Tageslicht	B-NC	
1-39	kaum	O	
1-40	zur	O	
1-41	Geltung	B-NC	
1-42	kam	O	
1-43	;	O	
1-44	man	O	
1-45	konnte	O	
1-46	rechts	O	
1-47	und	O	
1-48	links	O	
1-49	von	O	
1-50	der	O	
1-51	Bahn	B-NC	
1-52	aus	O	
1-53	den	O	
1-54	Fenstern	B-NC	
1-55	der	O	
1-56	Wagen	B-NC	
1-57	nur	O	
1-58	auf	O	
1-59	zehn	O	
1-60	Schritte	B-NC	
1-61	mit	O	
1-62	Mühe	B-NC	
1-63	etwas	O	
1-64	erkennen	O	
1-65	.	O	
1-66	Unter	O	
1-67	den	O	
1-68	Passagieren	B-NC	
1-69	waren	O	
1-70	einige	O	
1-71	,	O	
1-72	die	O	
1-73	aus	O	
1-74	dem	O	
1-75	Ausland	B-NC	
1-76	zurückkehrten	O	
1-77	;	O	
1-78	am	O	
1-79	meisten	O	
1-80	gefüllt	O	
1-81	waren	O	
1-82	aber	O	
1-83	die	O	
1-84	Abteile	B-NC	
1-85	dritter	O	
1-86	Klasse	B-NC	
1-87	,	O	
1-88	und	O	
1-89	zwar	O	
1-90	fast	O	
1-91	ausschließlich	O	
1-92	mit	O	
1-93	kleinen	O	
1-94	Geschäftsleuten	B-NC	
1-95	,	O	
1-96	die	O	
1-97	aus	O	
1-98	nicht	O	
1-99	sehr	O	
1-100	weiter	O	
1-101	Entfernung	B-NC	
1-102	kamen	O	
1-103	.	O	
1-104	Alle	O	
1-105	waren	O	
1-106	,	O	
1-107	wie	O	
1-108	das	O	
1-109	so	O	
1-110	zu	O	
1-111	sein	O	
1-112	pflegt	O	
1-113	,	O	
1-114	müde	O	
1-115	;	O	
1-116	allen	O	
1-117	waren	O	
1-118	während	O	
1-119	der	O	
1-120	Nacht	B-NC	
1-121	die	O	
1-122	Augenlider	B-NC	
1-123	schwer	O	
1-124	geworden	O	
1-125	,	O	
1-126	alle	O	
1-127	fröstelten	O	
1-128	,	O	
1-129	alle	O	
1-130	Gesichter	B-NC	
1-131	waren	O	
1-132	gelblich	O	
1-133	,	O	
1-134	von	O	
1-135	derselben	O	
1-136	Farbe	B-NC	
1-137	wie	O	
1-138	der	O	
1-139	Nebel	B-NC	

#id=2
#text=In einem Wagen dritter Klasse saßen einander seit dem Morgengrauen dicht am Fenster zwei Passagiere gegenüber : beides junge Leute , beide fast ohne Gepäck , beide nicht elegant gekleidet , beide mit recht interessanten Gesichtern und beide von dem Wunsch erfüllt , endlich miteinander in ein Gespräch zu kommen . Wenn sie beide voneinander gewußt hätten , wodurch sie gerade in diesem Augenblick interessant waren , so hätten sie sich gewiß darüber gewundert , daß der Zufall sie so seltsam in einem Wagen dritter Klasse der Petersburg-Warschauer Eisenbahn einander gegenübergesetzt hatte . Der eine von ihnen war von kleiner Statur , etwa siebenundzwanzig Jahre alt und hatte krauses , fast schwarzes Haar und kleine , graue , aber feurige Augen . Seine Nase war breit und plattgedrückt , die Backenknochen traten stark hervor ; die schmalen Lippen verzogen sich fortwährend zu einem dreisten , spöttischen und sogar boshaften Lächeln , aber seine Stirn war hoch und gut geformt und verschönte den unvornehm geschnittenen unteren Teil des Gesichts . Besonders auffällig war an diesem Gesicht seine Totenblässe , die der ganzen Physiognomie des jungen Mannes trotz seiner ziemlich kräftigen Konstitution den Anschein der Erschöpfung verlieh und zugleich den Anschein einer qualvollen Leidenschaftlichkeit , die mit seinem frechen , unhöflichen Lächeln und seinem scharfen , selbstzufriedenen Blick nicht recht im Einklang stand . Er war warm gekleidet , denn er trug einen weiten , schwarzen , mit Tuch überzogenen Pelz aus Lammfell , und hatte in der Nacht nicht gefroren , während sein Reisegefährte an seinem frostzitternden Rücken die ganze Annehmlichkeit einer feuchten russischen Novembernacht hatte aushalten müssen , auf die er offenbar nicht hinreichend vorbereitet war . Er trug einen ziemlich weiten , dicken Mantel ohne Ärmel und mit einer gewaltigen Kapuze , von der Art , wie man sie oft auf Reisen zur Winterzeit irgendwo im fernen Ausland benutzt , zum Beispiel in der Schweiz oder in Oberitalien , wo man dabei natürlich auch nicht mit so weiten Fahrten rechnet wie der von Eydtkuhnen nach Petersburg . Aber was in Italien taugte und völlig ausreichte , erwies sich in Rußland als ganz untauglich . Der Eigentümer des Mantels mit der Kapuze war ein junger Mensch , der gleichfalls im Alter von etwa sechsundzwanzig oder siebenundzwanzig Jahren stand , etwas über Mittelgröße , mit sehr hellblondem , dichtem Haar , hohlen Wangen und einem kleinen , spitzen , fast ganz weißen Bärtchen . Seine Augen waren groß , blau und ruhig ; in ihrem Blick lag etwas Stilles , aber Bedrücktes , etwas von jenem eigentümlichen Ausdruck , an dem manche auf den ersten Blick den Epileptiker erkennen . Das Gesicht des jungen Mannes war übrigens angenehm , mit feinen Zügen und nicht zu fleischig , aber farblos , nur daß es augenblicklich geradezu blau gefroren war . An seinen Händen baumelte ein schmächtiges Bündelchen , das in einem alten , verblichenen , seidenen Tuch , wie es schien , sein ganzes Reisegepäck enthielt . An den Füßen hatte er dicksohlige Schuhe mit Gamaschen – alles in nicht-russischer Art. Sein schwarzhaariger Reisegenosse in dem tuchüberzogenen Pelz musterte dies alles genau , zum Teil weil er nichts anderes zu tun hatte , und fragte schließlich mit jenem taktlosen Lächeln , durch das manchmal in so ungenierter , geringschätziger Weise das Vergnügen der Leute über das Mißgeschick des Nächsten zum Ausdruck kommt
2-1	In	O	
2-2	einem	O	
2-3	Wagen	B-NC	
2-4	dritter	O	
2-5	Klasse	B-NC	
2-6	saßen	O	
2-7	einander	O	
2-8	seit	O	
2-9	dem	O	
2-10	Morgengrauen	B-NC	
2-11	dicht	O	
2-12	am	O	
2-13	Fenster	B-NC	
2-14	zwei	O	
2-15	Passagiere	B-NC	
2-16	gegenüber	O	
2-17	:	O	
2-18	beides	O	
2-19	junge	O	
2-20	Leute	B-NC	
2-21	,	O	
2-22	beide	O	
2-23	fast	O	
2-24	ohne	O	
