 # webanno.custom.Entity | NC
#id=1
#text=Towards the end of November , during a thaw , at nine o'clock one morning , a train on the Warsaw and Petersburg railway was approaching the latter city at full speed . The morning was so damp and misty that it was only with great difficulty that the day succeeded in breaking ; and it was impossible to distinguish anything more than a few yards away from the carriage windows
1-1	Towards	O	
1-2	the	O	
1-3	end	B-NC	
1-4	of	O	
1-5	November	B-NC	
1-6	,	O	
1-7	during	O	
1-8	a	O	
1-9	thaw	B-NC	
1-10	,	O	
1-11	at	O	
1-12	nine	O	
1-13	o'clock	O	
1-14	one	O	
1-15	morning	B-NC	
1-16	,	O	
1-17	a	O	
1-18	train	B-NC	
1-19	on	O	
1-20	the	O	
1-21	Warsaw	B-NC	
1-22	and	O	
1-23	Petersburg	B-NC	
1-24	railway	B-NC	
1-25	was	O	
1-26	approaching	O	
1-27	the	O	
1-28	latter	O	
1-29	city	B-NC	
1-30	at	O	
1-31	full	O	
1-32	speed	B-NC	
1-33	.	O	
1-34	The	O	
1-35	morning	B-NC	
1-36	was	O	
1-37	so	O	
1-38	damp	O	
1-39	and	O	
1-40	misty	O	
1-41	that	O	
1-42	it	O	
1-43	was	O	
1-44	only	O	
1-45	with	O	
1-46	great	O	
1-47	difficulty	B-NC	
1-48	that	O	
1-49	the	O	
1-50	day	B-NC	
1-51	succeeded	O	
1-52	in	O	
1-53	breaking	B-NC	
1-54	;	O	
1-55	and	O	
1-56	it	O	
1-57	was	O	
1-58	impossible	O	
1-59	to	O	
1-60	distinguish	O	
1-61	anything	B-NC	
1-62	more	O	
1-63	than	O	
1-64	a	O	
1-65	few	O	
1-66	yards	B-NC	
1-67	away	O	
1-68	from	O	
1-69	the	O	
1-70	carriage	B-NC	
1-71	windows	B-NC	

#id=2
#text=Some of the passengers by this particular train were returning from abroad ; but the third-class carriages were the best filled , chiefly with insignificant persons of various occupations and degrees , picked up at the different stations nearer town . All of them seemed weary , and most of them had sleepy eyes and a shivering expression , while their complexions generally appeared to have taken on the colour of the fog outside
2-1	Some	O	
2-2	of	O	
2-3	the	O	
2-4	passengers	B-NC	
2-5	by	O	
2-6	this	O	
2-7	particular	O	
2-8	train	B-NC	
2-9	were	O	
2-10	returning	O	
2-11	from	O	
2-12	abroad	O	
2-13	;	O	
2-14	but	O	
2-15	the	O	
2-16	third-class	O	
2-17	carriages	B-NC	
2-18	were	O	
2-19	the	O	
2-20	best	O	
2-21	filled	O	
2-22	,	O	
2-23	chiefly	O	
2-24	with	O	
2-25	insignificant	O	
2-26	persons	B-NC	
2-27	of	O	
2-28	various	O	
2-29	occupations	B-NC	
2-30	and	O	
2-31	degrees	B-NC	
2-32	,	O	
2-33	picked	O	
2-34	up	O	
2-35	at	O	
2-36	the	O	
2-37	different	O	
2-38	stations	B-NC	
2-39	nearer	O	
2-40	town	B-NC	
2-41	.	O	
2-42	All	O	
2-43	of	O	
2-44	them	O	
2-45	seemed	O	
2-46	weary	O	
2-47	,	O	
2-48	and	O	
2-49	most	O	
2-50	of	O	
2-51	them	O	
2-52	had	O	
2-53	sleepy	O	
2-54	eyes	B-NC	
2-55	and	O	
2-56	a	O	
2-57	shivering	O	
2-58	expression	B-NC	
2-59	,	O	
2-60	while	O	
2-61	their	O	
2-62	complexions	B-NC	
2-63	generally	O	
2-64	appeared	O	
2-65	to	O	
2-66	have	O	
2-67	taken	O	
2-68	on	O	
2-69	the	O	
2-70	colour	B-NC	
2-71	of	O	
2-72	the	O	
2-73	fog	B-NC	
2-74	outside	B-NC	

#id=3
#text=When day dawned , two passengers in one of the third-class carriages found themselves opposite each other . Both were young fellows , both were rather poorly dressed , both had remarkable faces , and both were evidently anxious to start a conversation . If they had but known why , at this particular moment , they were both remarkable persons , they would undoubtedly have wondered at the strange chance which had set them down opposite to one another in a third-class carriage of the Warsaw Railway Company
3-1	When	O	
3-2	day	B-NC	
3-3	dawned	O	
3-4	,	O	
3-5	two	O	
3-6	passengers	B-NC	
3-7	in	O	
3-8	one	O	
3-9	of	O	
3-10	the	O	
3-11	third-class	O	
3-12	carriages	B-NC	
3-13	found	O	
3-14	themselves	O	
3-15	opposite	O	
3-16	each	O	
3-17	other	O	
3-18	.	O	
3-19	Both	O	
3-20	were	O	
3-21	young	O	
3-22	fellows	B-NC	
3-23	,	O	
3-24	both	O	
3-25	were	O	
3-26	rather	O	
3-27	poorly	O	
3-28	dressed	O	
3-29	,	O	
3-30	both	O	
3-31	had	O	
3-32	remarkable	O	
3-33	faces	B-NC	
3-34	,	O	
3-35	and	O	
3-36	both	O	
3-37	were	O	
3-38	evidently	O	
3-39	anxious	O	
3-40	to	O	
3-41	start	O	
3-42	a	O	
3-43	conversation	B-NC	
3-44	.	O	
3-45	If	O	
3-46	they	O	
3-47	had	O	
3-48	but	O	
3-49	known	O	
3-50	why	O	
3-51	,	O	
3-52	at	O	
3-53	this	O	
3-54	particular	O	
3-55	moment	B-NC	
3-56	,	O	
3-57	they	O	
3-58	were	O	
3-59	both	O	
3-60	remarkable	O	
3-61	persons	B-NC	
3-62	,	O	
3-63	they	O	
3-64	would	O	
3-65	undoubtedly	O	
3-66	have	O	
3-67	wondered	O	
3-68	at	O	
3-69	the	O	
3-70	strange	O	
3-71	chance	B-NC	
3-72	which	O	
3-73	had	O	
3-74	set	O	
3-75	them	O	
3-76	down	O	
3-77	opposite	O	
3-78	to	O	
3-79	one	O	
3-80	another	O	
3-81	in	O	
3-82	a	O	
3-83	third-class	O	
3-84	carriage	B-NC	
3-85	of	O	
3-86	the	O	
3-87	Warsaw	B-NC	
3-88	Railway	B-NC	
3-89	Company	B-NC	

#id=4
