 # webanno.custom.Entity | NC
#id=1
#text=Irkutsk ( Russland ) , 09.07.2006 – Am heutigen Sonntag um 07:50 Uhr Ortszeit ( 00:50 Uhr MESZ ) ist in der am Baikalsee gelegenen Stadt Irkutsk ein Airbus A310 der russischen Fluggesellschaft Sibir verunglückt . Das in Moskau gestartete Flugzeug kam von der Landebahn ab und prallte gegen ein Gebäude . Dabei kamen mindestens 140 Menschen ums Leben , darunter die acht Besatzungsmitglieder . Insgesamt standen 192 Namen auf der Passagierliste , zuzüglich der acht Besatzungsmitglieder insgesamt mindestens 200 Personen . Es sollen jedoch laut „ Russland-Aktuell “ auch Passagiere an Bord gewesen sein , die nicht auf der Passagierliste standen
1-1	Irkutsk	B-NC	
1-2	(	O	
1-3	Russland	B-NC	
1-4	)	O	
1-5	,	O	
1-6	09.07.2006	O	
1-7	–	B-NC	
1-8	Am	O	
1-9	heutigen	O	
1-10	Sonntag	B-NC	
1-11	um	O	
1-12	07:50	O	
1-13	Uhr	B-NC	
1-14	Ortszeit	B-NC	
1-15	(	O	
1-16	00:50	O	
1-17	Uhr	B-NC	
1-18	MESZ	B-NC	
1-19	)	O	
1-20	ist	O	
1-21	in	O	
1-22	der	O	
1-23	am	O	
1-24	Baikalsee	B-NC	
1-25	gelegenen	O	
1-26	Stadt	B-NC	
1-27	Irkutsk	O	
1-28	ein	O	
1-29	Airbus	B-NC	
1-30	A310	B-NC	
1-31	der	O	
1-32	russischen	O	
1-33	Fluggesellschaft	B-NC	
1-34	Sibir	B-NC	
1-35	verunglückt	O	
1-36	.	O	
1-37	Das	O	
1-38	in	O	
1-39	Moskau	B-NC	
1-40	gestartete	O	
1-41	Flugzeug	B-NC	
1-42	kam	O	
1-43	von	O	
1-44	der	O	
1-45	Landebahn	B-NC	
1-46	ab	O	
1-47	und	O	
1-48	prallte	O	
1-49	gegen	O	
1-50	ein	O	
1-51	Gebäude	B-NC	
1-52	.	O	
1-53	Dabei	O	
1-54	kamen	O	
1-55	mindestens	O	
1-56	140	O	
1-57	Menschen	B-NC	
1-58	ums	O	
1-59	Leben	B-NC	
1-60	,	O	
1-61	darunter	O	
1-62	die	O	
1-63	acht	O	
1-64	Besatzungsmitglieder	B-NC	
1-65	.	O	
1-66	Insgesamt	O	
1-67	standen	O	
1-68	192	O	
1-69	Namen	B-NC	
1-70	auf	O	
1-71	der	O	
1-72	Passagierliste	B-NC	
1-73	,	O	
1-74	zuzüglich	O	
1-75	der	O	
1-76	acht	O	
1-77	Besatzungsmitglieder	B-NC	
1-78	insgesamt	O	
1-79	mindestens	O	
1-80	200	O	
1-81	Personen	B-NC	
1-82	.	O	
1-83	Es	O	
1-84	sollen	O	
1-85	jedoch	O	
1-86	laut	O	
1-87	„	O	
1-88	Russland-Aktuell	B-NC	
1-89	“	O	
1-90	auch	O	
1-91	Passagiere	B-NC	
1-92	an	O	
1-93	Bord	B-NC	
1-94	gewesen	O	
1-95	sein	O	
1-96	,	O	
1-97	die	O	
1-98	nicht	O	
1-99	auf	O	
1-100	der	O	
1-101	Passagierliste	B-NC	
1-102	standen	O	

#id=2
#text=Zwischen 54 und 56 Personen sollen sich inzwischen in Krankenhäusern in Irkutsk befinden . Die Unglücksursache ist zurzeit noch unbekannt . Mit der Klärung der Unfallursache ist eine Regierungskommission befasst
2-1	Zwischen	O	
2-2	54	O	
2-3	und	O	
2-4	56	O	
2-5	Personen	B-NC	
2-6	sollen	O	
2-7	sich	O	
2-8	inzwischen	O	
2-9	in	O	
2-10	Krankenhäusern	B-NC	
2-11	in	O	
2-12	Irkutsk	B-NC	
2-13	befinden	O	
2-14	.	O	
2-15	Die	O	
2-16	Unglücksursache	B-NC	
2-17	ist	O	
2-18	zurzeit	O	
2-19	noch	O	
2-20	unbekannt	O	
2-21	.	O	
2-22	Mit	O	
2-23	der	O	
2-24	Klärung	B-NC	
2-25	der	O	
2-26	Unfallursache	B-NC	
2-27	ist	O	
2-28	eine	O	
2-29	Regierungskommission	B-NC	
2-30	befasst	O	

