 # webanno.custom.Entity | NC
#id=1
#text=Опунция индийская[1][2 ] , также Опунция инжирная ( лат . Opuntia ficus-indica ) — вид растения семейства Кактусовые , часто культивируемое ради съедобных плодов
1-1	Опунция	B-NC	
1-2	индийская[1][2	O	
1-3	]	O	
1-4	,	O	
1-5	также	O	
1-6	Опунция	B-NC	
1-7	инжирная	O	
1-8	(	O	
1-9	лат	O	
1-10	.	O	
1-11	Opuntia	O	
1-12	ficus-indica	O	
1-13	)	O	
1-14	—	O	
1-15	вид	B-NC	
1-16	растения	B-NC	
1-17	семейства	B-NC	
1-18	Кактусовые	O	
1-19	,	O	
1-20	часто	O	
1-21	культивируемое	O	
1-22	ради	O	
1-23	съедобных	O	
1-24	плодов	B-NC	

#id=2
#text=Общеупотребительные названия — индейская смоква , индейская фига , индийская фига , колючая груша , сабр , цабр
2-1	Общеупотребительные	O	
2-2	названия	B-NC	
2-3	—	O	
2-4	индейская	O	
2-5	смоква	B-NC	
2-6	,	O	
2-7	индейская	O	
2-8	фига	B-NC	
2-9	,	O	
2-10	индийская	O	
2-11	фига	B-NC	
2-12	,	O	
2-13	колючая	O	
2-14	груша	B-NC	
2-15	,	O	
2-16	сабр	B-NC	
2-17	,	O	
2-18	цабр	B-NC	

