 # webanno.custom.Entity | NC
#id=1
#text=It was seven o'clock of a very warm evening in the Seeonee hills when Father Wolf woke up from his day 's rest , scratched himself , yawned , and spread out his paws one after the other to get rid of the sleepy feeling in their tips . Mother Wolf lay with her big gray nose dropped across her four tumbling , squealing cubs , and the moon shone into the mouth of the cave where they all lived . " Augrh ! " said Father Wolf . " It is time to hunt again . " He was going to spring down hill when a little shadow with a bushy tail crossed the threshold and whined : " Good luck go with you , O Chief of the Wolves . And good luck and strong white teeth go with noble children that they may never forget the hungry in this world .
1-1	It	O	
1-2	was	O	
1-3	seven	O	
1-4	o'clock	O	
1-5	of	O	
1-6	a	O	
1-7	very	O	
1-8	warm	O	
1-9	evening	B-NC	
1-10	in	O	
1-11	the	O	
1-12	Seeonee	B-NC	
1-13	hills	B-NC	
1-14	when	O	
1-15	Father	B-NC	
1-16	Wolf	B-NC	
1-17	woke	O	
1-18	up	O	
1-19	from	O	
1-20	his	O	
1-21	day	B-NC	
1-22	's	O	
1-23	rest	B-NC	
1-24	,	O	
1-25	scratched	O	
1-26	himself	O	
1-27	,	O	
1-28	yawned	O	
1-29	,	O	
1-30	and	O	
1-31	spread	O	
1-32	out	O	
1-33	his	O	
1-34	paws	B-NC	
1-35	one	O	
1-36	after	O	
1-37	the	O	
1-38	other	O	
1-39	to	O	
1-40	get	O	
1-41	rid	O	
1-42	of	O	
1-43	the	O	
1-44	sleepy	O	
1-45	feeling	B-NC	
1-46	in	O	
1-47	their	O	
1-48	tips	B-NC	
1-49	.	O	
1-50	Mother	B-NC	
1-51	Wolf	B-NC	
1-52	lay	O	
1-53	with	O	
1-54	her	O	
1-55	big	O	
1-56	gray	O	
1-57	nose	B-NC	
1-58	dropped	O	
1-59	across	O	
1-60	her	O	
1-61	four	O	
1-62	tumbling	O	
1-63	,	O	
1-64	squealing	O	
1-65	cubs	B-NC	
1-66	,	O	
1-67	and	O	
1-68	the	O	
1-69	moon	B-NC	
1-70	shone	O	
1-71	into	O	
1-72	the	O	
1-73	mouth	B-NC	
1-74	of	O	
1-75	the	O	
1-76	cave	B-NC	
1-77	where	O	
1-78	they	O	
1-79	all	O	
1-80	lived	O	
1-81	.	O	
1-82	"	O	
1-83	Augrh	B-NC	
1-84	!	O	
1-85	"	O	
1-86	said	O	
1-87	Father	B-NC	
1-88	Wolf	B-NC	
1-89	.	O	
1-90	"	O	
1-91	It	O	
1-92	is	O	
1-93	time	B-NC	
1-94	to	O	
1-95	hunt	O	
1-96	again	O	
1-97	.	O	
1-98	"	O	
1-99	He	O	
1-100	was	O	
1-101	going	O	
1-102	to	O	
1-103	spring	O	
1-104	down	O	
1-105	hill	B-NC	
1-106	when	O	
1-107	a	O	
1-108	little	O	
1-109	shadow	B-NC	
1-110	with	O	
1-111	a	O	
1-112	bushy	O	
1-113	tail	B-NC	
1-114	crossed	O	
1-115	the	O	
1-116	threshold	B-NC	
1-117	and	O	
1-118	whined	O	
1-119	:	O	
1-120	"	O	
1-121	Good	O	
1-122	luck	B-NC	
1-123	go	O	
1-124	with	O	
1-125	you	O	
1-126	,	O	
1-127	O	B-NC	
1-128	Chief	B-NC	
1-129	of	O	
1-130	the	O	
1-131	Wolves	B-NC	
1-132	.	O	
1-133	And	O	
1-134	good	O	
1-135	luck	B-NC	
1-136	and	O	
1-137	strong	O	
1-138	white	O	
1-139	teeth	B-NC	
1-140	go	O	
1-141	with	O	
1-142	noble	O	
1-143	children	B-NC	
1-144	that	O	
1-145	they	O	
1-146	may	O	
1-147	never	O	
1-148	forget	O	
1-149	the	O	
1-150	hungry	O	
1-151	in	O	
1-152	this	O	
1-153	world	B-NC	
1-154	.	O	

#id=2
#text=It was the jackal - - Tabaqui , the Dish - licker - - and the wolves of India despise Tabaqui because he runs about making mischief , and telling tales , and eating rags and pieces of leather from the village rubbish - heaps . But they are afraid of him too , because Tabaqui , more than anyone else in the jungle , is apt to go mad , and then he forgets that he was ever afraid of anyone , and runs through the forest biting everything in his way . Even the tiger runs and hides when little Tabaqui goes mad , for madness is the most disgraceful thing that can overtake a wild creature . We call it hydrophobia , but they call it dewanee - - the madness - - and run
2-1	It	O	
2-2	was	O	
2-3	the	O	
2-4	jackal	B-NC	
2-5	-	O	
2-6	-	O	
2-7	Tabaqui	B-NC	
2-8	,	O	
2-9	the	O	
2-10	Dish	B-NC	
2-11	-	O	
2-12	licker	B-NC	
2-13	-	O	
2-14	-	O	
2-15	and	O	
2-16	the	O	
2-17	wolves	B-NC	
2-18	of	O	
2-19	India	B-NC	
2-20	despise	O	
2-21	Tabaqui	B-NC	
2-22	because	O	
2-23	he	O	
2-24	runs	O	
2-25	about	O	
2-26	making	O	
2-27	mischief	B-NC	
2-28	,	O	
2-29	and	O	
2-30	telling	O	
2-31	tales	B-NC	
2-32	,	O	
2-33	and	O	
2-34	eating	O	
2-35	rags	B-NC	
2-36	and	O	
2-37	pieces	B-NC	
2-38	of	O	
2-39	leather	B-NC	
2-40	from	O	
2-41	the	O	
2-42	village	B-NC	
2-43	rubbish	B-NC	
2-44	-	O	
2-45	heaps	B-NC	
2-46	.	O	
2-47	But	O	
2-48	they	O	
2-49	are	O	
2-50	afraid	O	
2-51	of	O	
2-52	him	O	
2-53	too	O	
2-54	,	O	
2-55	because	O	
2-56	Tabaqui	B-NC	
2-57	,	O	
2-58	more	O	
2-59	than	O	
2-60	anyone	B-NC	
2-61	else	O	
2-62	in	O	
2-63	the	O	
2-64	jungle	B-NC	
2-65	,	O	
2-66	is	O	
2-67	apt	O	
2-68	to	O	
2-69	go	O	
2-70	mad	O	
2-71	,	O	
2-72	and	O	
2-73	then	O	
2-74	he	O	
2-75	forgets	O	
2-76	that	O	
2-77	he	O	
2-78	was	O	
2-79	ever	O	
2-80	afraid	O	
2-81	of	O	
2-82	anyone	B-NC	
2-83	,	O	
2-84	and	O	
2-85	runs	O	
2-86	through	O	
2-87	the	O	
2-88	forest	B-NC	
2-89	biting	O	
2-90	everything	B-NC	
2-91	in	O	
2-92	his	O	
2-93	way	B-NC	
2-94	.	O	
2-95	Even	O	
2-96	the	O	
2-97	tiger	B-NC	
2-98	runs	O	
2-99	and	O	
2-100	hides	O	
2-101	when	O	
2-102	little	O	
2-103	Tabaqui	B-NC	
2-104	goes	O	
2-105	mad	O	
2-106	,	O	
2-107	for	O	
2-108	madness	B-NC	
2-109	is	O	
2-110	the	O	
2-111	most	O	
2-112	disgraceful	O	
2-113	thing	B-NC	
2-114	that	O	
