 # webanno.custom.Entity | NC
#id=1
#text=" Well , Prince , so Genoa and Lucca are now just family estates of the Buonapartes . But I warn you , if you do n't tell me that this means war , if you still try to defend the infamies and horrors perpetrated by that Antichrist--I really believe he is Antichrist--I will have nothing more to do with you and you are no longer my friend , no longer my ' faithful slave , ' as you call yourself ! But how do you do ? I see I have frightened you--sit down and tell me all the news .
1-1	"	O	
1-2	Well	O	
1-3	,	O	
1-4	Prince	B-NC	
1-5	,	O	
1-6	so	O	
1-7	Genoa	B-NC	
1-8	and	O	
1-9	Lucca	B-NC	
1-10	are	O	
1-11	now	O	
1-12	just	O	
1-13	family	B-NC	
1-14	estates	B-NC	
1-15	of	O	
1-16	the	O	
1-17	Buonapartes	B-NC	
1-18	.	O	
1-19	But	O	
1-20	I	O	
1-21	warn	O	
1-22	you	O	
1-23	,	O	
1-24	if	O	
1-25	you	O	
1-26	do	O	
1-27	n't	O	
1-28	tell	O	
1-29	me	O	
1-30	that	O	
1-31	this	O	
1-32	means	B-NC	
1-33	war	B-NC	
1-34	,	O	
1-35	if	O	
1-36	you	O	
1-37	still	O	
1-38	try	O	
1-39	to	O	
1-40	defend	O	
1-41	the	O	
1-42	infamies	B-NC	
1-43	and	O	
1-44	horrors	B-NC	
1-45	perpetrated	O	
1-46	by	O	
1-47	that	O	
1-48	Antichrist--I	B-NC	
1-49	really	O	
1-50	believe	O	
1-51	he	O	
1-52	is	O	
1-53	Antichrist--I	B-NC	
1-54	will	O	
1-55	have	O	
1-56	nothing	B-NC	
1-57	more	O	
1-58	to	O	
1-59	do	O	
1-60	with	O	
1-61	you	O	
1-62	and	O	
1-63	you	O	
1-64	are	O	
1-65	no	O	
1-66	longer	O	
1-67	my	O	
1-68	friend	B-NC	
1-69	,	O	
1-70	no	O	
1-71	longer	O	
1-72	my	O	
1-73	'	O	
1-74	faithful	O	
1-75	slave	B-NC	
1-76	,	O	
1-77	'	O	
1-78	as	O	
1-79	you	O	
1-80	call	O	
1-81	yourself	O	
1-82	!	O	
1-83	But	O	
1-84	how	O	
1-85	do	O	
1-86	you	O	
1-87	do	O	
1-88	?	O	
1-89	I	O	
1-90	see	O	
1-91	I	O	
1-92	have	O	
1-93	frightened	O	
1-94	you--sit	B-NC	
1-95	down	O	
1-96	and	O	
1-97	tell	O	
1-98	me	O	
1-99	all	O	
1-100	the	O	
1-101	news	B-NC	
1-102	.	O	

#id=2
#text=It was in July , 1805 , and the speaker was the well-known Anna Pavlovna Scherer , maid of honor and favorite of the Empress Marya Fedorovna . With these words she greeted Prince Vasili Kuragin , a man of high rank and importance , who was the first to arrive at her reception . Anna Pavlovna had had a cough for some days. She was , as she said , suffering from la grippe ; grippe being then a new word in St. Petersburg , used only by the elite
2-1	It	O	
2-2	was	O	
2-3	in	O	
2-4	July	B-NC	
2-5	,	O	
2-6	1805	O	
2-7	,	O	
2-8	and	O	
2-9	the	O	
2-10	speaker	B-NC	
2-11	was	O	
2-12	the	O	
2-13	well-known	O	
2-14	Anna	B-NC	
2-15	Pavlovna	B-NC	
2-16	Scherer	B-NC	
2-17	,	O	
2-18	maid	B-NC	
2-19	of	O	
2-20	honor	B-NC	
2-21	and	O	
2-22	favorite	O	
2-23	of	O	
2-24	the	O	
2-25	Empress	B-NC	
2-26	Marya	B-NC	
2-27	Fedorovna	B-NC	
2-28	.	O	
2-29	With	O	
2-30	these	O	
2-31	words	B-NC	
2-32	she	O	
2-33	greeted	O	
2-34	Prince	B-NC	
2-35	Vasili	B-NC	
2-36	Kuragin	B-NC	
2-37	,	O	
2-38	a	O	
2-39	man	B-NC	
2-40	of	O	
2-41	high	O	
2-42	rank	B-NC	
2-43	and	O	
2-44	importance	B-NC	
2-45	,	O	
2-46	who	O	
2-47	was	O	
2-48	the	O	
2-49	first	O	
2-50	to	O	
2-51	arrive	O	
2-52	at	O	
2-53	her	O	
2-54	reception	B-NC	
2-55	.	O	
2-56	Anna	B-NC	
2-57	Pavlovna	B-NC	
2-58	had	O	
2-59	had	O	
2-60	a	O	
2-61	cough	B-NC	
2-62	for	O	
2-63	some	O	
2-64	days.	B-NC	
2-65	She	O	
2-66	was	O	
2-67	,	O	
2-68	as	O	
2-69	she	O	
2-70	said	O	
2-71	,	O	
2-72	suffering	O	
2-73	from	O	
2-74	la	O	
2-75	grippe	B-NC	
2-76	;	O	
2-77	grippe	B-NC	
2-78	being	O	
2-79	then	O	
2-80	a	O	
2-81	new	O	
2-82	word	B-NC	
2-83	in	O	
2-84	St.	B-NC	
2-85	Petersburg	B-NC	
2-86	,	O	
2-87	used	O	
2-88	only	O	
2-89	by	O	
2-90	the	O	
2-91	elite	B-NC	

#id=3
#text=All her invitations without exception , written in French , and delivered by a scarlet-liveried footman that morning , ran as follows
3-1	All	B-NC	
3-2	her	O	
3-3	invitations	B-NC	
3-4	without	O	
3-5	exception	B-NC	
3-6	,	O	
3-7	written	O	
3-8	in	O	
3-9	French	O	
3-10	,	O	
3-11	and	O	
3-12	delivered	O	
3-13	by	O	
3-14	a	O	
3-15	scarlet-liveried	O	
3-16	footman	B-NC	
3-17	that	O	
3-18	morning	B-NC	
3-19	,	O	
3-20	ran	O	
3-21	as	O	
3-22	follows	O	

#id=4
#text=" If you have nothing better to do , Count ( or Prince ) , and if the prospect of spending an evening with a poor invalid is not too terrible , I shall be very charmed to see you tonight between 7 and 10--Annette Scherer .
4-1	"	O	
4-2	If	O	
4-3	you	O	
4-4	have	O	
4-5	nothing	B-NC	
4-6	better	O	
4-7	to	O	
4-8	do	O	
4-9	,	O	
4-10	Count	B-NC	
4-11	(	O	
4-12	or	O	
4-13	Prince	B-NC	
4-14	)	O	
4-15	,	O	
4-16	and	O	
4-17	if	O	
4-18	the	O	
4-19	prospect	B-NC	
4-20	of	O	
4-21	spending	O	
4-22	an	O	
4-23	evening	B-NC	
4-24	with	O	
4-25	a	O	
4-26	poor	O	
