 # webanno.custom.Entity | NC
#id=1
#text=По сообщению германского журнала Der Spiegel , американские спецслужбы прослушивали ряд представительств Евросоюза и получили доступ к внутренним компьютерным сетям ЕС . Заявления журнала стали очередным сообщением о программах электронной слежки , которую якобы ведёт правительство США . Страны ЕС потребовали объяснений от США . По мнению экспертов мир может стоять на пороге крупного международного скандала
1-1	По	O	
1-2	сообщению	B-NC	
1-3	германского	O	
1-4	журнала	B-NC	
1-5	Der	O	
1-6	Spiegel	O	
1-7	,	O	
1-8	американские	O	
1-9	спецслужбы	B-NC	
1-10	прослушивали	O	
1-11	ряд	B-NC	
1-12	представительств	B-NC	
1-13	Евросоюза	B-NC	
1-14	и	O	
1-15	получили	O	
1-16	доступ	B-NC	
1-17	к	O	
1-18	внутренним	O	
1-19	компьютерным	O	
1-20	сетям	B-NC	
1-21	ЕС	B-NC	
1-22	.	O	
1-23	Заявления	B-NC	
1-24	журнала	B-NC	
1-25	стали	O	
1-26	очередным	O	
1-27	сообщением	B-NC	
1-28	о	O	
1-29	программах	B-NC	
1-30	электронной	O	
1-31	слежки	B-NC	
1-32	,	O	
1-33	которую	O	
1-34	якобы	O	
1-35	ведёт	O	
1-36	правительство	B-NC	
1-37	США	B-NC	
1-38	.	O	
1-39	Страны	B-NC	
1-40	ЕС	B-NC	
1-41	потребовали	O	
1-42	объяснений	B-NC	
1-43	от	O	
1-44	США	B-NC	
1-45	.	O	
1-46	По	O	
1-47	мнению	B-NC	
1-48	экспертов	B-NC	
1-49	мир	B-NC	
1-50	может	O	
1-51	стоять	O	
1-52	на	O	
1-53	пороге	B-NC	
1-54	крупного	O	
1-55	международного	O	
1-56	скандала	B-NC	

#id=2
#text=Der Spiegel сообщает , что опубликованная в воскресенье статья основана на секретном документе Агентства национальной безопасности США ( АНБ ) , полученном от его беглого экс-сотрудника Эдварда Сноудена
2-1	Der	O	
2-2	Spiegel	O	
2-3	сообщает	O	
2-4	,	O	
2-5	что	O	
2-6	опубликованная	O	
2-7	в	O	
2-8	воскресенье	B-NC	
2-9	статья	B-NC	
2-10	основана	O	
2-11	на	O	
2-12	секретном	O	
2-13	документе	B-NC	
2-14	Агентства	B-NC	
2-15	национальной	O	
2-16	безопасности	B-NC	
2-17	США	B-NC	
2-18	(	O	
2-19	АНБ	B-NC	
2-20	)	O	
2-21	,	O	
2-22	полученном	O	
2-23	от	O	
2-24	его	O	
2-25	беглого	O	
2-26	экс-сотрудника	B-NC	
2-27	Эдварда	B-NC	
2-28	Сноудена	B-NC	

#id=3
