 # webanno.custom.Entity | NC
#id=1
#text=Durban ( Südafrika ) / Pyeongchang ( Südkorea ) , 14.07.2011 – Die Olympischen Winterspiele 2018 finden im südkoreanischen Pyeongchang statt , dies entschied am Nachmittag des 6 . Juli 2011 das Internationale Olympische Komitee ( IOC ) in Durban . Pyeongchang setzte sich per Abstimmung gegen die Mitbewerber Annecy in Frankreich und gegen München durch
1-1	Durban	B-NC	
1-2	(	O	
1-3	Südafrika	B-NC	
1-4	)	O	
1-5	/	O	
1-6	Pyeongchang	B-NC	
1-7	(	O	
1-8	Südkorea	B-NC	
1-9	)	O	
1-10	,	O	
1-11	14.07.2011	O	
1-12	–	B-NC	
1-13	Die	O	
1-14	Olympischen	O	
1-15	Winterspiele	B-NC	
1-16	2018	O	
1-17	finden	O	
1-18	im	O	
1-19	südkoreanischen	O	
1-20	Pyeongchang	B-NC	
1-21	statt	O	
1-22	,	O	
1-23	dies	O	
1-24	entschied	O	
1-25	am	O	
1-26	Nachmittag	B-NC	
1-27	des	O	
1-28	6	O	
1-29	.	O	
1-30	Juli	B-NC	
1-31	2011	O	
1-32	das	O	
1-33	Internationale	O	
1-34	Olympische	O	
1-35	Komitee	B-NC	
1-36	(	O	
1-37	IOC	B-NC	
1-38	)	O	
1-39	in	O	
1-40	Durban	B-NC	
1-41	.	O	
1-42	Pyeongchang	B-NC	
1-43	setzte	O	
1-44	sich	O	
1-45	per	O	
1-46	Abstimmung	B-NC	
1-47	gegen	O	
1-48	die	O	
1-49	Mitbewerber	B-NC	
1-50	Annecy	B-NC	
1-51	in	O	
1-52	Frankreich	B-NC	
1-53	und	O	
1-54	gegen	O	
1-55	München	B-NC	
1-56	durch	O	

#id=2
#text=Termin für die Austragung ist der 9 . bis 25 . Februar 2018 . Die Paralympics finden vom 9 . bis 18 . März statt . Südkorea wird die Spiele unter dem Motto „ Neue Horizonte “
2-1	Termin	B-NC	
2-2	für	O	
2-3	die	O	
2-4	Austragung	B-NC	
2-5	ist	O	
2-6	der	O	
2-7	9	O	
2-8	.	O	
2-9	bis	O	
2-10	25	O	
2-11	.	O	
2-12	Februar	B-NC	
2-13	2018	O	
2-14	.	O	
2-15	Die	O	
2-16	Paralympics	B-NC	
2-17	finden	O	
2-18	vom	O	
2-19	9	O	
2-20	.	O	
2-21	bis	O	
2-22	18	O	
2-23	.	O	
2-24	März	B-NC	
2-25	statt	O	
2-26	.	O	
2-27	Südkorea	B-NC	
2-28	wird	O	
2-29	die	O	
2-30	Spiele	B-NC	
2-31	unter	O	
2-32	dem	O	
2-33	Motto	B-NC	
2-34	„	O	
2-35	Neue	O	
2-36	Horizonte	B-NC	
2-37	“	O	

