 # webanno.custom.Entity | NC
#id=1
#text=Former Massachusetts governor Mitt Romney won the Florida Republican Party presidential primary election on Tuesday with over 46 percent of the vote . Former U. S. Speaker of the House Newt Gingrich came in second with 32 percent . As a winner-takes-all state , Florida awarded all fifty of its delegates to Romney , pushing him ahead as the front-runner for the Republican Party nomination
1-1	Former	O	
1-2	Massachusetts	B-NC	
1-3	governor	B-NC	
1-4	Mitt	B-NC	
1-5	Romney	B-NC	
1-6	won	O	
1-7	the	O	
1-8	Florida	B-NC	
1-9	Republican	B-NC	
1-10	Party	B-NC	
1-11	presidential	O	
1-12	primary	O	
1-13	election	B-NC	
1-14	on	O	
1-15	Tuesday	B-NC	
1-16	with	O	
1-17	over	O	
1-18	46	O	
1-19	percent	B-NC	
1-20	of	O	
1-21	the	O	
1-22	vote	B-NC	
1-23	.	O	
1-24	Former	O	
1-25	U.	B-NC	
1-26	S.	B-NC	
1-27	Speaker	B-NC	
1-28	of	O	
1-29	the	O	
1-30	House	B-NC	
1-31	Newt	B-NC	
1-32	Gingrich	B-NC	
1-33	came	O	
1-34	in	O	
1-35	second	O	
1-36	with	O	
1-37	32	O	
1-38	percent	B-NC	
1-39	.	O	
1-40	As	O	
1-41	a	O	
1-42	winner-takes-all	B-NC	
1-43	state	B-NC	
1-44	,	O	
1-45	Florida	B-NC	
1-46	awarded	O	
1-47	all	O	
1-48	fifty	O	
1-49	of	O	
1-50	its	O	
1-51	delegates	B-NC	
1-52	to	O	
1-53	Romney	B-NC	
1-54	,	O	
1-55	pushing	O	
1-56	him	O	
1-57	ahead	O	
1-58	as	O	
1-59	the	O	
1-60	front-runner	B-NC	
1-61	for	O	
1-62	the	O	
1-63	Republican	O	
1-64	Party	B-NC	
1-65	nomination	B-NC	

#id=2
#text=The win follows what The Wall Street Journal described as " one of the most acrimonious weeks in recent presidential campaign history . " Gingrich briefly led the polls in Florida after his victory in the South Carolina primary on January 21 , and attributed his fall to negative advertisements from the Romney campaign . Romney outspent Gingrich five-to-one on campaign advertisements in the state
2-1	The	O	
2-2	win	B-NC	
2-3	follows	O	
2-4	what	O	
2-5	The	O	
2-6	Wall	B-NC	
2-7	Street	B-NC	
2-8	Journal	B-NC	
2-9	described	O	
2-10	as	O	
2-11	"	O	
2-12	one	O	
2-13	of	O	
2-14	the	O	
2-15	most	O	
2-16	acrimonious	O	
2-17	weeks	B-NC	
2-18	in	O	
2-19	recent	O	
2-20	presidential	O	
2-21	campaign	B-NC	
2-22	history	B-NC	
2-23	.	O	
2-24	"	O	
2-25	Gingrich	B-NC	
2-26	briefly	O	
2-27	led	O	
2-28	the	O	
2-29	polls	B-NC	
2-30	in	O	
2-31	Florida	B-NC	
2-32	after	O	
2-33	his	O	
2-34	victory	B-NC	
2-35	in	O	
2-36	the	O	
2-37	South	B-NC	
2-38	Carolina	B-NC	
2-39	primary	B-NC	
2-40	on	O	
2-41	January	B-NC	
2-42	21	O	
2-43	,	O	
2-44	and	O	
2-45	attributed	O	
2-46	his	O	
2-47	fall	B-NC	
2-48	to	O	
2-49	negative	O	
2-50	advertisements	B-NC	
2-51	from	O	
2-52	the	O	
2-53	Romney	B-NC	
2-54	campaign	B-NC	
2-55	.	O	
2-56	Romney	B-NC	
2-57	outspent	O	
2-58	Gingrich	B-NC	
2-59	five-to-one	O	
2-60	on	O	
2-61	campaign	B-NC	
2-62	advertisements	B-NC	
2-63	in	O	
2-64	the	O	
2-65	state	B-NC	

#id=3
#text=According to exit polls , Romney won the female vote by a large margin over Gingrich . He also edged him among the Tea Party and conservative voters , and tied him among evangelicals
3-1	According	O	
3-2	to	O	
3-3	exit	O	
3-4	polls	B-NC	
3-5	,	O	
3-6	Romney	B-NC	
3-7	won	O	
3-8	the	O	
3-9	female	O	
3-10	vote	B-NC	
3-11	by	O	
3-12	a	O	
3-13	large	O	
3-14	margin	B-NC	
3-15	over	O	
3-16	Gingrich	B-NC	
3-17	.	O	
3-18	He	O	
3-19	also	O	
3-20	edged	O	
3-21	him	O	
3-22	among	O	
3-23	the	O	
3-24	Tea	B-NC	
3-25	Party	B-NC	
3-26	and	O	
3-27	conservative	O	
3-28	voters	B-NC	
3-29	,	O	
3-30	and	O	
3-31	tied	O	
3-32	him	O	
3-33	among	O	
3-34	evangelicals	B-NC	

#id=4
#text=In his victory speech , Romney argued , " A competitive primary does not divide us . It prepares us . And we will win .
4-1	In	O	
4-2	his	O	
4-3	victory	B-NC	
4-4	speech	B-NC	
4-5	,	O	
4-6	Romney	B-NC	
4-7	argued	O	
4-8	,	O	
4-9	"	O	
4-10	A	O	
4-11	competitive	O	
4-12	primary	B-NC	
4-13	does	O	
4-14	not	O	
4-15	divide	O	
4-16	us	O	
4-17	.	O	
4-18	It	O	
4-19	prepares	O	
4-20	us	O	
4-21	.	O	
4-22	And	O	
4-23	we	O	
4-24	will	O	
4-25	win	O	
4-26	.	O	

#id=5
#text=Gingrich disagreed , remarking , " It is now clear that this will be a two-person race between the conservative leader Newt Gingrich and the Massachusetts moderate ... We are going to contest every place and we are going to win .
5-1	Gingrich	B-NC	
5-2	disagreed	O	
5-3	,	O	
5-4	remarking	O	
5-5	,	O	
