 # webanno.custom.Entity | NC
#id=1
#text=Belgrad ( Serbien ) , 27.05.2011 – Der mutmaßliche Kriegsverbrecher Ratko Mladić wurde gestern auf serbischem Gebiet festgenommen . Das verkündete gestern Serbiens Staatschef Boris Tadić . Einen genauen Ort nannte Tadić nicht
1-1	Belgrad	B-NC	
1-2	(	O	
1-3	Serbien	B-NC	
1-4	)	O	
1-5	,	O	
1-6	27.05.2011	O	
1-7	–	B-NC	
1-8	Der	O	
1-9	mutmaßliche	O	
1-10	Kriegsverbrecher	B-NC	
1-11	Ratko	B-NC	
1-12	Mladić	B-NC	
1-13	wurde	O	
1-14	gestern	O	
1-15	auf	O	
1-16	serbischem	O	
1-17	Gebiet	B-NC	
1-18	festgenommen	O	
1-19	.	O	
1-20	Das	O	
1-21	verkündete	O	
1-22	gestern	O	
1-23	Serbiens	B-NC	
1-24	Staatschef	B-NC	
1-25	Boris	B-NC	
1-26	Tadić	B-NC	
1-27	.	O	
1-28	Einen	O	
1-29	genauen	O	
1-30	Ort	B-NC	
1-31	nannte	O	
1-32	Tadić	B-NC	
1-33	nicht	O	

#id=2
#text=Nach mehr als zehn Jahren auf der Flucht muss sich der frühere Kommandeur der bosnischen Serben nun vor dem UN - Kriegsverbrechertribunal in Den Haag wegen Völkermords , Kriegsverbrechen und Verbrechen gegen die Menschlichkeit verantworten . Das UN - Sondertribunal für Jugoslawien hatte ihn unter anderem wegen der Belagerung Sarajevos , bei der etwa 10.000 Menschen zu Tode kamen , und wegen des Massakers in der bosnischen Stadt Srebrenica im Jahre 1995 angeklagt
2-1	Nach	O	
2-2	mehr	O	
2-3	als	O	
2-4	zehn	O	
2-5	Jahren	B-NC	
2-6	auf	O	
2-7	der	O	
2-8	Flucht	B-NC	
2-9	muss	O	
2-10	sich	O	
2-11	der	O	
2-12	frühere	O	
2-13	Kommandeur	B-NC	
2-14	der	O	
2-15	bosnischen	O	
2-16	Serben	B-NC	
2-17	nun	O	
2-18	vor	O	
2-19	dem	O	
2-20	UN	B-NC	
2-21	-	O	
2-22	Kriegsverbrechertribunal	B-NC	
2-23	in	O	
2-24	Den	O	
2-25	Haag	B-NC	
2-26	wegen	O	
2-27	Völkermords	B-NC	
2-28	,	O	
2-29	Kriegsverbrechen	B-NC	
2-30	und	O	
2-31	Verbrechen	B-NC	
2-32	gegen	O	
2-33	die	O	
2-34	Menschlichkeit	B-NC	
2-35	verantworten	O	
2-36	.	O	
2-37	Das	O	
2-38	UN	B-NC	
2-39	-	O	
2-40	Sondertribunal	B-NC	
2-41	für	O	
2-42	Jugoslawien	B-NC	
2-43	hatte	O	
2-44	ihn	O	
2-45	unter	O	
2-46	anderem	O	
2-47	wegen	O	
2-48	der	O	
2-49	Belagerung	B-NC	
2-50	Sarajevos	B-NC	
2-51	,	O	
2-52	bei	O	
2-53	der	O	
2-54	etwa	O	
2-55	10.000	O	
2-56	Menschen	B-NC	
2-57	zu	O	
2-58	Tode	B-NC	
2-59	kamen	O	
2-60	,	O	
2-61	und	O	
2-62	wegen	O	
2-63	des	O	
2-64	Massakers	B-NC	
2-65	in	O	
2-66	der	O	
2-67	bosnischen	O	
2-68	Stadt	B-NC	
2-69	Srebrenica	B-NC	
2-70	im	O	
2-71	Jahre	B-NC	
2-72	1995	O	
2-73	angeklagt	O	

