 # webanno.custom.Entity | NC
#id=1
#text=Сегодня прошла экстренная пресс - конференция президента Сербии Бориса Тадича , на которой было сообщено о поимке бывшего командира армии боснийских сербов Ратко Младича
1-1	Сегодня	O	
1-2	прошла	O	
1-3	экстренная	O	
1-4	пресс	B-NC	
1-5	-	O	
1-6	конференция	B-NC	
1-7	президента	B-NC	
1-8	Сербии	B-NC	
1-9	Бориса	B-NC	
1-10	Тадича	B-NC	
1-11	,	O	
1-12	на	O	
1-13	которой	O	
1-14	было	O	
1-15	сообщено	O	
1-16	о	O	
1-17	поимке	B-NC	
1-18	бывшего	O	
1-19	командира	B-NC	
1-20	армии	B-NC	
1-21	боснийских	O	
1-22	сербов	B-NC	
1-23	Ратко	B-NC	
1-24	Младича	B-NC	

#id=2
#text=69 - летний Младич , скрывается с 1995 года , тогда Международный трибунал ООН по бывшей Югославии предьявил ему обвинение за геноцид , в связи с резнёй в Сребренице . Кроме этого Младич обвиняется и в других преступлениях , которые произошли во время конфликта в Боснии в 90 - ых годах
2-1	69	O	
2-2	-	O	
2-3	летний	O	
2-4	Младич	B-NC	
2-5	,	O	
2-6	скрывается	O	
2-7	с	O	
2-8	1995	O	
2-9	года	B-NC	
2-10	,	O	
2-11	тогда	O	
2-12	Международный	O	
2-13	трибунал	B-NC	
2-14	ООН	B-NC	
2-15	по	O	
2-16	бывшей	O	
2-17	Югославии	B-NC	
2-18	предьявил	O	
2-19	ему	O	
2-20	обвинение	B-NC	
2-21	за	O	
2-22	геноцид	B-NC	
2-23	,	O	
2-24	в	O	
2-25	связи	B-NC	
2-26	с	O	
2-27	резнёй	B-NC	
2-28	в	O	
2-29	Сребренице	B-NC	
2-30	.	O	
2-31	Кроме	O	
2-32	этого	O	
2-33	Младич	B-NC	
2-34	обвиняется	O	
2-35	и	O	
2-36	в	O	
2-37	других	O	
2-38	преступлениях	B-NC	
2-39	,	O	
2-40	которые	O	
2-41	произошли	O	
2-42	во	O	
2-43	время	B-NC	
2-44	конфликта	B-NC	
2-45	в	O	
2-46	Боснии	B-NC	
2-47	в	O	
2-48	90	O	
2-49	-	O	
2-50	ых	O	
2-51	годах	B-NC	

#id=3
#text=Как сказал Борис Тадич , арест Ратко Младича в Сербии позволит перевернуть страницу истории , и приблизить примирение народов двух стран . По словам сербского президента , процесс экстрадиции преступника уже запущен . В то же время сербские власти приступили к расследованию обстоятельств , которые позволили Младичу более 15 лет скрываться в подполье
3-1	Как	O	
3-2	сказал	O	
3-3	Борис	B-NC	
3-4	Тадич	B-NC	
3-5	,	O	
