 # webanno.custom.Entity | NC
#id=1
#text=Rioting , theft , vandalism and other acts of violence are currently occurring in various cities throughout England . There is a substantial rioting problem , primarily in the capital of London , which has spread to the cities of Birmingham , Bristol , Liverpool and Nottingham
1-1	Rioting	B-NC	
1-2	,	O	
1-3	theft	B-NC	
1-4	,	O	
1-5	vandalism	B-NC	
1-6	and	O	
1-7	other	O	
1-8	acts	B-NC	
1-9	of	O	
1-10	violence	B-NC	
1-11	are	O	
1-12	currently	O	
1-13	occurring	O	
1-14	in	O	
1-15	various	O	
1-16	cities	B-NC	
1-17	throughout	O	
1-18	England	B-NC	
1-19	.	O	
1-20	There	O	
1-21	is	O	
1-22	a	O	
1-23	substantial	O	
1-24	rioting	B-NC	
1-25	problem	B-NC	
1-26	,	O	
1-27	primarily	O	
1-28	in	O	
1-29	the	O	
1-30	capital	B-NC	
1-31	of	O	
1-32	London	B-NC	
1-33	,	O	
1-34	which	O	
1-35	has	O	
1-36	spread	O	
1-37	to	O	
1-38	the	O	
1-39	cities	B-NC	
1-40	of	O	
1-41	Birmingham	B-NC	
1-42	,	O	
1-43	Bristol	B-NC	
1-44	,	O	
1-45	Liverpool	B-NC	
1-46	and	O	
1-47	Nottingham	B-NC	

#id=2
#text=David Cameron , the current UK Prime Minister , condemned the violent acts , referring to them as " sickening " , proclaiming that those involving themselves the incident " will feel the full force of the law " . At least 563 individuals have been arrested in relation to these incidents . He also reported that Parliament is to be recalled this Thursday . The number of police officers in London tonight is to be increased from six thousand to sixteen thousand , the Prime Minister said , with any pre - arranged leave being abandoned
2-1	David	B-NC	
2-2	Cameron	B-NC	
2-3	,	O	
2-4	the	O	
2-5	current	O	
2-6	UK	B-NC	
2-7	Prime	B-NC	
2-8	Minister	B-NC	
2-9	,	O	
2-10	condemned	O	
2-11	the	O	
2-12	violent	O	
2-13	acts	B-NC	
2-14	,	O	
2-15	referring	O	
2-16	to	O	
2-17	them	O	
2-18	as	O	
2-19	"	O	
2-20	sickening	O	
2-21	"	O	
2-22	,	O	
2-23	proclaiming	O	
2-24	that	O	
2-25	those	O	
2-26	involving	O	
2-27	themselves	O	
2-28	the	O	
2-29	incident	B-NC	
2-30	"	O	
2-31	will	O	
2-32	feel	O	
2-33	the	O	
2-34	full	O	
2-35	force	B-NC	
2-36	of	O	
2-37	the	O	
2-38	law	B-NC	
2-39	"	O	
2-40	.	O	
2-41	At	O	
2-42	least	O	
2-43	563	O	
2-44	individuals	B-NC	
2-45	have	O	
2-46	been	O	
2-47	arrested	O	
2-48	in	O	
2-49	relation	B-NC	
2-50	to	O	
2-51	these	O	
2-52	incidents	B-NC	
2-53	.	O	
2-54	He	O	
2-55	also	O	
2-56	reported	O	
2-57	that	O	
2-58	Parliament	B-NC	
2-59	is	O	
2-60	to	O	
2-61	be	O	
2-62	recalled	O	
2-63	this	O	
2-64	Thursday	B-NC	
2-65	.	O	
2-66	The	O	
2-67	number	B-NC	
2-68	of	O	
2-69	police	B-NC	
2-70	officers	B-NC	
2-71	in	O	
2-72	London	B-NC	
2-73	tonight	B-NC	
2-74	is	O	
2-75	to	O	
2-76	be	O	
2-77	increased	O	
2-78	from	O	
2-79	six	O	
2-80	thousand	O	
2-81	to	O	
2-82	sixteen	O	
2-83	thousand	O	
2-84	,	O	
2-85	the	O	
2-86	Prime	B-NC	
2-87	Minister	B-NC	
2-88	said	O	
2-89	,	O	
2-90	with	O	
2-91	any	O	
2-92	pre	B-NC	
2-93	-	O	
2-94	arranged	O	
