 # webanno.custom.Entity | NC
#id=1
#text=Niemand hätte in den letzten Jahren des XIX. Jahrhunderts daran geglaubt , dass die menschlichwn Angelegenheiten genau und scharf von Intelligenzen , größer als die des Menschen und doch so sterblich wie seine , beobachtet würden ; dass , während die Menschen ihrem Tagewerk nachgingen , sie belauscht und erforscht würden , fast ebenso eindringlich , wie ein Mann mit seinem Mikroskop jede vergänglichen Lebewesen erforscht , die in einem Wassertropfen ihr Wesen treiben und sich darin vermehren . Mit unendlichem Behagen schlenderte die Menschheit , mit ihren kleinen Sorgen beschäftigt , kreuz und quer auf dem Erdball umher , in gelassenem Vertrauen auf ihre Herrschaft über die Materie . Es ist möglich , dass die Infusorien unter der Lupe dasselbe thun . Niemand quälte sich mit dem Gedanken , dass älteren Weltkörpern Gefahren für die Menschheit entspringen könnten . Jede Vorstellung , dass sie bewohnt sein könnten , wurde als unwahrscheinlich oder unmöglich aufgegeben . Es ist seltsam , sich heute der geistigen Verfassung jener vergangenen Tage zu entsinnen . Es kam höchstens vor , dass Erdenbewohner sich einbildeten , es könnten Wesen auf dem Mars leben , minderwertige vielleicht , jedenfalls aber solche , die eine irdische Forschungsreife freudig begrüßen würden . Aber jenseits des gähnenden Weltraums blickten Geister , den unseren überlegen wie unsere denen reitzender Thiere , blickten Intellecte , ungeheuer und kalt und unheimlich , mit neidischen Augen auf unsere Erde . Bedächtig und sicher schmiedeten sie ihre Pläne gegen uns. Und am Beginne des XX . Jahren kam die große Ernüchterung
1-1	Niemand	O	
1-2	hätte	O	
1-3	in	O	
1-4	den	O	
1-5	letzten	O	
1-6	Jahren	B-NC	
1-7	des	O	
1-8	XIX.	B-NC	
1-9	Jahrhunderts	B-NC	
1-10	daran	O	
1-11	geglaubt	O	
1-12	,	O	
1-13	dass	O	
1-14	die	O	
1-15	menschlichwn	O	
1-16	Angelegenheiten	B-NC	
1-17	genau	O	
1-18	und	O	
1-19	scharf	O	
1-20	von	O	
1-21	Intelligenzen	B-NC	
1-22	,	O	
1-23	größer	O	
1-24	als	O	
1-25	die	O	
1-26	des	O	
1-27	Menschen	B-NC	
1-28	und	O	
1-29	doch	O	
1-30	so	O	
1-31	sterblich	O	
1-32	wie	O	
1-33	seine	O	
1-34	,	O	
1-35	beobachtet	O	
1-36	würden	O	
1-37	;	O	
1-38	dass	O	
1-39	,	O	
1-40	während	O	
1-41	die	O	
1-42	Menschen	B-NC	
1-43	ihrem	O	
1-44	Tagewerk	B-NC	
1-45	nachgingen	O	
1-46	,	O	
1-47	sie	O	
1-48	belauscht	O	
1-49	und	O	
1-50	erforscht	O	
1-51	würden	O	
1-52	,	O	
1-53	fast	O	
1-54	ebenso	O	
1-55	eindringlich	O	
1-56	,	O	
1-57	wie	O	
1-58	ein	O	
1-59	Mann	B-NC	
1-60	mit	O	
1-61	seinem	O	
1-62	Mikroskop	B-NC	
1-63	jede	O	
1-64	vergänglichen	O	
1-65	Lebewesen	B-NC	
1-66	erforscht	O	
1-67	,	O	
1-68	die	O	
1-69	in	O	
1-70	einem	O	
1-71	Wassertropfen	B-NC	
1-72	ihr	O	
1-73	Wesen	B-NC	
1-74	treiben	O	
1-75	und	O	
1-76	sich	O	
1-77	darin	O	
1-78	vermehren	O	
1-79	.	O	
1-80	Mit	O	
1-81	unendlichem	O	
1-82	Behagen	B-NC	
1-83	schlenderte	O	
1-84	die	O	
1-85	Menschheit	B-NC	
1-86	,	O	
1-87	mit	O	
1-88	ihren	O	
1-89	kleinen	O	
1-90	Sorgen	B-NC	
1-91	beschäftigt	O	
1-92	,	O	
1-93	kreuz	O	
1-94	und	O	
1-95	quer	O	
1-96	auf	O	
1-97	dem	O	
1-98	Erdball	B-NC	
1-99	umher	O	
1-100	,	O	
1-101	in	O	
1-102	gelassenem	O	
1-103	Vertrauen	B-NC	
1-104	auf	O	
1-105	ihre	O	
1-106	Herrschaft	B-NC	
1-107	über	O	
1-108	die	O	
1-109	Materie	B-NC	
1-110	.	O	
1-111	Es	O	
1-112	ist	O	
1-113	möglich	O	
1-114	,	O	
1-115	dass	O	
1-116	die	O	
1-117	Infusorien	B-NC	
1-118	unter	O	
1-119	der	O	
1-120	Lupe	B-NC	
1-121	dasselbe	O	
1-122	thun	B-NC	
1-123	.	O	
1-124	Niemand	O	
1-125	quälte	O	
1-126	sich	O	
1-127	mit	O	
1-128	dem	O	
1-129	Gedanken	B-NC	
1-130	,	O	
1-131	dass	O	
1-132	älteren	O	
1-133	Weltkörpern	B-NC	
1-134	Gefahren	B-NC	
1-135	für	O	
1-136	die	O	
1-137	Menschheit	B-NC	
1-138	entspringen	O	
1-139	könnten	O	
1-140	.	O	
1-141	Jede	O	
1-142	Vorstellung	B-NC	
1-143	,	O	
1-144	dass	O	
1-145	sie	O	
1-146	bewohnt	O	
1-147	sein	O	
1-148	könnten	O	
1-149	,	O	
1-150	wurde	O	
1-151	als	O	
1-152	unwahrscheinlich	O	
1-153	oder	O	
1-154	unmöglich	O	
1-155	aufgegeben	O	
1-156	.	O	
1-157	Es	O	
1-158	ist	O	
1-159	seltsam	O	
1-160	,	O	
1-161	sich	O	
1-162	heute	O	
1-163	der	O	
1-164	geistigen	O	
1-165	Verfassung	B-NC	
1-166	jener	O	
1-167	vergangenen	O	
1-168	Tage	B-NC	
1-169	zu	O	
1-170	entsinnen	O	
1-171	.	O	
1-172	Es	O	
1-173	kam	O	
1-174	höchstens	O	
1-175	vor	O	
1-176	,	O	
1-177	dass	O	
1-178	Erdenbewohner	B-NC	
1-179	sich	O	
1-180	einbildeten	O	
1-181	,	O	
1-182	es	O	
1-183	könnten	O	
1-184	Wesen	B-NC	
1-185	auf	O	
1-186	dem	O	
1-187	Mars	B-NC	
1-188	leben	O	
1-189	,	O	
1-190	minderwertige	O	
1-191	vielleicht	O	
1-192	,	O	
1-193	jedenfalls	O	
1-194	aber	O	
1-195	solche	O	
1-196	,	O	
1-197	die	O	
1-198	eine	O	
1-199	irdische	O	
1-200	Forschungsreife	B-NC	
1-201	freudig	O	
1-202	begrüßen	O	
1-203	würden	O	
1-204	.	O	
1-205	Aber	O	
1-206	jenseits	O	
1-207	des	O	
1-208	gähnenden	O	
1-209	Weltraums	B-NC	
1-210	blickten	O	
1-211	Geister	B-NC	
1-212	,	O	
1-213	den	O	
1-214	unseren	O	
1-215	überlegen	O	
1-216	wie	O	
1-217	unsere	O	
1-218	denen	O	
1-219	reitzender	O	
1-220	Thiere	B-NC	
1-221	,	O	
1-222	blickten	O	
1-223	Intellecte	B-NC	
1-224	,	O	
1-225	ungeheuer	O	
1-226	und	O	
1-227	kalt	O	
1-228	und	O	
1-229	unheimlich	O	
1-230	,	O	
1-231	mit	O	
1-232	neidischen	O	
1-233	Augen	B-NC	
1-234	auf	O	
1-235	unsere	O	
1-236	Erde	B-NC	
1-237	.	O	
1-238	Bedächtig	O	
1-239	und	O	
1-240	sicher	O	
1-241	schmiedeten	O	
1-242	sie	O	
1-243	ihre	O	
1-244	Pläne	B-NC	
1-245	gegen	O	
1-246	uns.	O	
1-247	Und	O	
1-248	am	O	
1-249	Beginne	B-NC	
1-250	des	O	
1-251	XX	B-NC	
1-252	.	O	
1-253	Jahren	B-NC	
1-254	kam	O	
1-255	die	O	
1-256	große	O	
1-257	Ernüchterung	B-NC	

#id=2
#text=Der Planet Mars , ich brauche den Leser kaum daran zu erinnern , dreht sich in einer mittleren Entfernung von 140 , 000.000 Meilen um die Sonne . Und das Ausmaß von Licht und Wärme , das er von der Sonne empfängt , entspricht kaum der Hälfte unseres Antheils . Wenn die Nebularypothese nur im geringsten richtig ist , muss er älter sein als unsere Erde , und lange , ehe unser Planet zu schmelzen aufgehört hatte , muß das Leben auf seiner Oberfläche bereits begonnen haben . Die Thatsache , daß er kaum den siebenten Theil des Volumens unserer Erde erreicht , muss seine Abkühlung bis zu der Temperatur , bei der Leben beginnen konnte , beschleunigt haben . Er besitzt Luft und Wasser und alles Nöthige zur Erhaltung animalischer Existenz
2-1	Der	O	
2-2	Planet	B-NC	
2-3	Mars	B-NC	
2-4	,	O	
2-5	ich	O	
2-6	brauche	O	
2-7	den	O	
2-8	Leser	B-NC	
2-9	kaum	O	
2-10	daran	O	
2-11	zu	O	
2-12	erinnern	O	
2-13	,	O	
2-14	dreht	O	
2-15	sich	O	
2-16	in	O	
2-17	einer	O	
2-18	mittleren	O	
2-19	Entfernung	B-NC	
2-20	von	O	
2-21	140	O	
2-22	,	O	
2-23	000.000	O	
2-24	Meilen	B-NC	
2-25	um	O	
2-26	die	O	
2-27	Sonne	B-NC	
2-28	.	O	
2-29	Und	O	
2-30	das	O	
2-31	Ausmaß	B-NC	
2-32	von	O	
2-33	Licht	B-NC	
2-34	und	O	
2-35	Wärme	B-NC	
2-36	,	O	
2-37	das	O	
2-38	er	O	
2-39	von	O	
2-40	der	O	
2-41	Sonne	B-NC	
