 # webanno.custom.Entity | NC
#id=1
#text=Das Exekutivkomitee des Weltfußballverbandes ( FIFA ) hat entschieden . Die Fußballweltmeisterschaft 2018 wird nach Russland vergeben , Gastgeber des FIFA-Turniers 2011 ist der Golfstaat Katar . Im Vorfeld des Ausscheidungsverfahrens für die Vergabe der nächsten beiden Fußballweltmeisterschaften war viel von Korruption und Schiebung die Rede gewesen . Der russische Ministerpräsident Wladimir Putin war erst gar nicht angereist
1-1	Das	O	
1-2	Exekutivkomitee	B-NC	
1-3	des	O	
1-4	Weltfußballverbandes	B-NC	
1-5	(	O	
1-6	FIFA	B-NC	
1-7	)	O	
1-8	hat	O	
1-9	entschieden	O	
1-10	.	O	
1-11	Die	O	
1-12	Fußballweltmeisterschaft	B-NC	
1-13	2018	O	
1-14	wird	O	
1-15	nach	O	
1-16	Russland	B-NC	
1-17	vergeben	O	
1-18	,	O	
1-19	Gastgeber	B-NC	
1-20	des	O	
1-21	FIFA-Turniers	B-NC	
1-22	2011	O	
1-23	ist	O	
1-24	der	O	
1-25	Golfstaat	B-NC	
1-26	Katar	B-NC	
1-27	.	O	
1-28	Im	O	
1-29	Vorfeld	B-NC	
1-30	des	O	
1-31	Ausscheidungsverfahrens	B-NC	
1-32	für	O	
1-33	die	O	
1-34	Vergabe	B-NC	
1-35	der	O	
1-36	nächsten	O	
1-37	beiden	O	
1-38	Fußballweltmeisterschaften	B-NC	
1-39	war	O	
1-40	viel	O	
1-41	von	O	
1-42	Korruption	B-NC	
1-43	und	O	
1-44	Schiebung	B-NC	
1-45	die	O	
1-46	Rede	B-NC	
1-47	gewesen	O	
1-48	.	O	
1-49	Der	O	
1-50	russische	O	
1-51	Ministerpräsident	B-NC	
1-52	Wladimir	B-NC	
1-53	Putin	B-NC	
1-54	war	O	
1-55	erst	O	
1-56	gar	O	
1-57	nicht	O	
1-58	angereist	O	

#id=2
#text=Die Entscheidung der FIFA kam am Ende für viele Beobachter jedoch überraschend . Vor allem den Staat am Persischen Golf hatte niemand „ auf dem Zettel “ . Katar hatte schon angekündigt , die Turniere – wegen der zu erwartenden hohen Temperaturen von bis zu 50 Grad Celsius – in klimatisierten Stadien austragen zu wollen . Russland setzte sich gegen den im Vorfeld favorisierten Bewerber England sowie die Doppelbewerbungen Portugal/Spanien sowie Belgien/Niederlande durch
2-1	Die	O	
2-2	Entscheidung	B-NC	
2-3	der	O	
2-4	FIFA	B-NC	
2-5	kam	O	
2-6	am	O	
2-7	Ende	B-NC	
2-8	für	O	
2-9	viele	O	
2-10	Beobachter	B-NC	
2-11	jedoch	O	
2-12	überraschend	O	
2-13	.	O	
2-14	Vor	O	
2-15	allem	O	
2-16	den	O	
2-17	Staat	B-NC	
2-18	am	O	
2-19	Persischen	O	
2-20	Golf	B-NC	
2-21	hatte	O	
2-22	niemand	O	
2-23	„	O	
2-24	auf	O	
2-25	dem	O	
2-26	Zettel	B-NC	
2-27	“	O	
2-28	.	O	
2-29	Katar	B-NC	
2-30	hatte	O	
2-31	schon	O	
2-32	angekündigt	O	
2-33	,	O	
2-34	die	O	
2-35	Turniere	B-NC	
2-36	–	B-NC	
2-37	wegen	O	
2-38	der	O	
2-39	zu	O	
2-40	erwartenden	O	
2-41	hohen	O	
2-42	Temperaturen	B-NC	
2-43	von	O	
2-44	bis	O	
2-45	zu	O	
2-46	50	O	
2-47	Grad	B-NC	
2-48	Celsius	B-NC	
2-49	–	B-NC	
2-50	in	O	
2-51	klimatisierten	O	
2-52	Stadien	B-NC	
2-53	austragen	O	
2-54	zu	O	
2-55	wollen	O	
2-56	.	O	
2-57	Russland	B-NC	
2-58	setzte	O	
2-59	sich	O	
2-60	gegen	O	
2-61	den	O	
2-62	im	O	
2-63	Vorfeld	B-NC	
2-64	favorisierten	O	
2-65	Bewerber	B-NC	
2-66	England	B-NC	
2-67	sowie	O	
2-68	die	O	
2-69	Doppelbewerbungen	B-NC	
2-70	Portugal/Spanien	B-NC	
2-71	sowie	O	
2-72	Belgien/Niederlande	O	
2-73	durch	O	

#id=3
#text=Russland veranschlagt die erforderlichen Investitionen für die Fußball-WM im eigenen Land mit umgerechnet 3,82 Milliarden US-Dollar . Es ist das erste Mal , dass eine Fußballweltmeisterschaft in Russland stattfindet
3-1	Russland	B-NC	
3-2	veranschlagt	O	
3-3	die	O	
3-4	erforderlichen	O	
3-5	Investitionen	B-NC	
3-6	für	O	
3-7	die	O	
3-8	Fußball-WM	B-NC	
3-9	im	O	
3-10	eigenen	O	
3-11	Land	B-NC	
3-12	mit	O	
3-13	umgerechnet	O	
3-14	3,82	O	
3-15	Milliarden	B-NC	
3-16	US-Dollar	B-NC	
3-17	.	O	
3-18	Es	O	
3-19	ist	O	
3-20	das	O	
3-21	erste	O	
3-22	Mal	B-NC	
3-23	,	O	
3-24	dass	O	
3-25	eine	O	
3-26	Fußballweltmeisterschaft	B-NC	
3-27	in	O	
3-28	Russland	B-NC	
3-29	stattfindet	O	

