#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Canonicalform|Canonical
#T_SP=webanno.custom.Category|Category
#T_SP=webanno.custom.Definitionelement|Def_element
#T_SP=webanno.custom.Relation|Relation
#T_SP=webanno.custom.Relation_definitor|Rel_verb_frame


#Text=resurgence - a spring where a stream, which has a course on the surface higher up, reappears at the surface.
1-1	0-10	resurgence	_	A.3 Hydrological form	DEFINIENDUM	_	_	
1-2	11-12	-	_	_	_	_	_	
1-3	13-14	a	_	_	_	_	_	
1-4	15-21	spring	_	A.3 Hydrological form	GENUS	_	_	
1-5	22-27	where	_	_	_	HAS\_LOCATION[38]	frame\_LOCATION	
1-6	28-29	a	_	_	_	HAS\_LOCATION[38]	_	
1-7	30-36	stream	_	D.1 Abiotic	_	HAS\_LOCATION[38]	_	
1-8	36-37	,	_	_	_	HAS\_LOCATION[38]	_	
1-9	38-43	which	_	_	_	HAS\_LOCATION[38]	_	
1-10	44-47	has	_	_	_	HAS\_LOCATION[38]	_	
1-11	48-49	a	_	_	_	HAS\_LOCATION[38]	_	
1-12	50-56	course	_	_	_	HAS\_LOCATION[38]	_	
1-13	57-59	on	_	_	_	HAS\_LOCATION[38]	_	
1-14	60-63	the	_	_	_	HAS\_LOCATION[38]	_	
1-15	64-71	surface	_	_	_	HAS\_LOCATION[38]	_	
1-16	72-78	higher	_	_	_	HAS\_LOCATION[38]	_	
1-17	79-81	up	_	_	_	HAS\_LOCATION[38]	_	
1-18	81-82	,	_	_	_	HAS\_LOCATION[38]	_	
1-19	83-92	reappears	_	_	_	HAS\_LOCATION[38]	_	
1-20	93-95	at	_	_	_	HAS\_LOCATION[38]	_	
1-21	96-99	the	_	_	_	HAS\_LOCATION[38]	_	
1-22	100-107	surface	_	_	_	HAS\_LOCATION[38]	_	
1-23	107-108	.	_	_	_	_	_	

#Text=salt weathering - detachment of particles of various sizes from a rock surface by the growth of crystals from salt solutions.
2-1	112-116	salt	_	B. Process[2]	DEFINIENDUM[22]	_	_	
