#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Canonicalform|Canonical
#T_SP=webanno.custom.Category|Category
#T_SP=webanno.custom.Definitionelement|Def_element
#T_SP=webanno.custom.Relation|Relation
#T_SP=webanno.custom.Relation_definitor|Rel_verb_frame


#Text=﻿strujnica: žlijeb otapanja formiran na zidovima špilje vodom koje se slijeva. Česti su na zidovima okomitih cijevi.
1-1	0-10	﻿strujnica	_	A.3 Hydrological form	DEFINIENDUM	_	_	
1-2	10-11	:	_	_	_	_	_	
1-3	12-18	žlijeb	žlijeb	_	GENUS[12]	_	_	
1-4	19-27	otapanja	_	B.2 Loss	GENUS[12]	_	_	
1-5	28-36	formiran	_	_	_	HAS\_LOCATION[21]	frame\_LOCATION[65]	
1-6	37-39	na	_	_	_	HAS\_LOCATION[21]	frame\_LOCATION[65]	
1-7	40-48	zidovima	_	_	_	HAS\_LOCATION[21]	_	
1-8	49-55	špilje	_	_	_	HAS\_LOCATION[21]	_	
1-9	56-61	vodom	_	D.1 Abiotic	_	HAS\_CAUSE[22]	_	
1-10	62-66	koje	_	_	_	HAS\_CAUSE[22]	_	
1-11	67-69	se	_	_	_	HAS\_CAUSE[22]	_	
1-12	70-77	slijeva	_	_	_	HAS\_CAUSE[22]	_	
1-13	77-78	.	_	_	_	_	_	
1-14	79-84	Česti	_	_	_	_	_	
1-15	85-87	su	_	_	_	_	_	
1-16	88-90	na	_	_	_	HAS\_LOCATION[23]	frame\_LOCATION	
1-17	91-99	zidovima	_	_	_	HAS\_LOCATION[23]	_	
1-18	100-108	okomitih	_	_	_	HAS\_LOCATION[23]	_	
1-19	109-115	cijevi	_	_	_	HAS\_LOCATION[23]	_	
1-20	115-116	.	_	_	_	_	_	

#Text=riječni krš: Tip okoliša gdje na površini još postoje korita vodotoka i riječne doline, ali se pretežni dio drenaže odvija u podzemlju. Teren i s riječnim i krškim značajkama. Vapnenački okoliš nastao kombiniranim djelovanjem riječne erozije i otapanja vapnenca.
2-1	118-125	riječni	_	C. Geome[1]	DEFINIENDUM[13]	_	_	
2-2	126-129	krš	_	C. Geome[1]	DEFINIENDUM[13]	_	_	
2-3	129-130	:	_	_	_	_	_	
2-4	131-134	Tip	_	_	GENUS[14]	_	_	
2-5	135-142	okoliša	_	_	GENUS[14]	_	_	
2-6	143-147	gdje	_	_	_	_	_	
2-7	148-150	na	_	_	_	CONTAINS[24]	_	
2-8	151-159	površini	_	_	_	CONTAINS[24]	_	
2-9	160-163	još	_	_	_	CONTAINS[24]	_	
2-10	164-171	postoje	_	_	_	CONTAINS[24]	_	
2-11	172-178	korita	_	D.1 Abiotic[2]	_	CONTAINS[24]	_	
2-12	179-187	vodotoka	_	D.1 Abiotic[2]	_	CONTAINS[24]	_	
2-13	188-189	i	_	_	_	CONTAINS[24]	_	
2-14	190-197	riječne	_	D.1 Abiotic[3]	_	CONTAINS[24]	_	
2-15	198-204	doline	_	D.1 Abiotic[3]	_	CONTAINS[24]	_	
2-16	204-205	,	_	_	_	_	_	
2-17	206-209	ali	_	_	_	_	_	
2-18	210-212	se	_	_	_	HAS\_ATTRIBUTE[25]	_	
2-19	213-221	pretežni	_	_	_	HAS\_ATTRIBUTE[25]	_	
2-20	222-225	dio	_	_	_	HAS\_ATTRIBUTE[25]	_	
2-21	226-233	drenaže	_	B.1 Movement	_	HAS\_ATTRIBUTE[25]	_	
2-22	234-240	odvija	_	_	_	HAS\_ATTRIBUTE[25]	_	
2-23	241-242	u	_	_	_	HAS\_ATTRIBUTE[25]	_	
2-24	243-252	podzemlju	_	_	_	HAS\_ATTRIBUTE[25]	_	
2-25	252-253	.	_	_	_	_	_	
2-26	254-259	Teren	_	_	GENUS	_	_	
2-27	260-261	i	_	_	_	HAS\_ATTRIBUTE[26]	_	
2-28	262-263	s	_	_	_	HAS\_ATTRIBUTE[26]	_	
2-29	264-272	riječnim	_	_	_	HAS\_ATTRIBUTE[26]	_	
2-30	273-274	i	_	_	_	HAS\_ATTRIBUTE[26]	_	
2-31	275-281	krškim	_	_	_	HAS\_ATTRIBUTE[26]	_	
2-32	282-292	značajkama	_	_	_	HAS\_ATTRIBUTE[26]	frame\_ATTRIBUTE	
2-33	292-293	.	_	_	_	_	_	
2-34	294-304	Vapnenački	_	_	_	_	_	
2-35	305-311	okoliš	_	_	_	_	_	
2-36	312-318	nastao	_	_	_	HAS\_CAUSE[27]	frame\_CAUSE[66]	
2-37	319-331	kombiniranim	_	_	_	HAS\_CAUSE[27]	frame\_CAUSE[66]	
2-38	332-343	djelovanjem	_	_	_	HAS\_CAUSE[27]	frame\_CAUSE[66]	
2-39	344-351	riječne	_	B.2 Loss[4]	_	HAS\_CAUSE[27]	_	
2-40	352-359	erozije	_	B.2 Loss[4]	_	HAS\_CAUSE[27]	_	
2-41	360-361	i	_	_	_	HAS\_CAUSE[27]	_	
2-42	362-370	otapanja	_	B.2 Loss	_	HAS\_CAUSE[27]	_	
2-43	371-379	vapnenca	_	D.1 Abiotic	_	HAS\_CAUSE[27]	_	
2-44	379-380	.	_	_	_	_	_	

#Text=fojba: Slijepi završetak šahte u špilji.
3-1	382-387	fojba	_	A.2 Underground landform	DEFINIENDUM	_	_	
3-2	387-388	:	_	_	_	_	_	
3-3	389-396	Slijepi	_	_	_	DEFINED\_AS[28]	_	
3-4	397-406	završetak	_	_	_	DEFINED\_AS[28]	_	
3-5	407-412	šahte	_	A.2 Underground landform	_	DEFINED\_AS[28]	_	
3-6	413-414	u	_	_	_	DEFINED\_AS[28]|HAS\_LOCATION[29]	frame\_LOCATION	
3-7	415-421	špilji	_	A.2 Underground landform	_	DEFINED\_AS[28]|HAS\_LOCATION[29]	_	
3-8	421-422	.	_	_	_	_	_	

#Text=folija: Niz naslaganih polica, uglavnom od kalcita, često udružene s kalcitnim splavima. Formirane su blizu ili tik ispod linije vode na svodu i zidovima špilje nalik okrenutim rubnim pregradama. Smatra se da su formirane primarno blizu vrha vodene plohe i da su povezane s opadanjem nivoa vode. Vjerojatno su formirane iz precipitata na površini vode koji se nakupio na zidovima. Kako je nivo vode opadao, sve više kalcita se taložilo i formiralo ravnu površinu. Prema drugoj teoriji došlo je do hvatanja ugljičnog dioksida na izbočinama i pojačanog taloženja kalcita na njima.
4-1	424-430	folija	_	_	DEFINIENDUM	_	_	
4-2	430-431	:	_	_	_	_	_	
4-3	432-435	Niz	_	_	_	DEFINED\_AS[30]	_	
4-4	436-446	naslaganih	_	_	_	DEFINED\_AS[30]	_	
4-5	447-453	polica	_	_	_	DEFINED\_AS[30]	_	
4-6	453-454	,	_	_	_	_	_	
4-7	455-463	uglavnom	_	_	_	_	_	
