#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Canonicalform|Canonical
#T_SP=webanno.custom.Category|Category
#T_SP=webanno.custom.Definitionelement|Def_element
#T_SP=webanno.custom.Relation|Relation
#T_SP=webanno.custom.Relation_definitor|Rel_verb_frame


#Text=Kalcit je osnovna sestavina običajne sige, med kamninami apnenca, delno marmorja in karbonatitov.
1-1	0-6	Kalcit	_	D.1 Abiotic	_	_	_	
1-2	7-9	je	_	_	_	_	_	
1-3	10-17	osnovna	_	_	_	_	_	
1-4	18-27	sestavina	_	_	_	_	_	
1-5	28-36	običajne	_	_	_	_	_	
1-6	37-41	sige	_	_	_	_	_	
1-7	41-42	,	_	_	_	_	_	
1-8	43-46	med	_	_	_	_	_	
1-9	47-56	kamninami	_	_	_	_	_	
1-10	57-64	apnenca	_	D.1 Abiotic	_	_	_	
1-11	64-65	,	_	_	_	_	_	
1-12	66-71	delno	_	_	_	_	_	
1-13	72-80	marmorja	_	D.1 Abiotic	_	_	_	
1-14	81-83	in	_	_	_	_	_	
1-15	84-96	karbonatitov	_	D.1 Abiotic	_	_	_	
1-16	96-97	.	_	_	_	_	_	

#Text=Matični kras: Kras kraške pokrajine med Tržaškim zalivom in Vipavsko dolino v regiji, ki jo imenujemo Kras in katere ime je prešlo v krasoslovno terminologijo kot geomorfološki termin.
2-1	98-105	Matični	_	D.3.1 Geolocation[2]	DEFINIENDUM[22]	_	_	
2-2	106-110	kras	_	D.3.1 Geolocation[2]	DEFINIENDUM[22]	_	_	
2-3	110-111	:	_	_	_	_	_	
2-4	112-116	Kras	_	D.3.1 Geolocation	GENUS	_	_	
2-5	117-123	kraške	_	_	_	_	_	
2-6	124-133	pokrajine	_	_	_	_	_	
2-7	134-137	med	_	_	_	HAS\_POSITION[32]	frame\_POSITION	
2-8	138-146	Tržaškim	_	D.3.1 Geolocation[3]	_	HAS\_POSITION[32]	_	
2-9	147-154	zalivom	_	D.3.1 Geolocation[3]	_	HAS\_POSITION[32]	_	
2-10	155-157	in	_	_	_	HAS\_POSITION[32]	_	
2-11	158-166	Vipavsko	_	D.3.1 Geolocation[4]	_	HAS\_POSITION[32]	_	
2-12	167-173	dolino	_	D.3.1 Geolocation[4]	_	HAS\_POSITION[32]	_	
2-13	174-175	v	_	_	_	HAS\_POSITION[32]	_	
2-14	176-182	regiji	_	_	_	HAS\_POSITION[32]	_	
2-15	182-183	,	_	_	_	HAS\_POSITION[32]	_	
2-16	184-186	ki	_	_	_	HAS\_POSITION[32]	_	
2-17	187-189	jo	_	_	_	HAS\_POSITION[32]	_	
2-18	190-199	imenujemo	_	_	_	HAS\_POSITION[32]	_	
2-19	200-204	Kras	_	D.3.1 Geolocation	_	HAS\_POSITION[32]	_	
2-20	205-207	in	_	_	_	_	_	
2-21	208-214	katere	_	_	_	_	_	
2-22	215-218	ime	_	_	_	_	_	
2-23	219-221	je	_	_	_	_	_	
2-24	222-228	prešlo	_	_	_	_	_	
2-25	229-230	v	_	_	_	_	_	
2-26	231-242	krasoslovno	_	_	_	_	_	
2-27	243-256	terminologijo	_	_	_	_	_	
2-28	257-260	kot	_	_	_	_	_	
2-29	261-274	geomorfološki	_	_	_	_	_	
2-30	275-281	termin	_	_	_	_	_	
2-31	281-282	.	_	_	_	_	_	

#Text=Vrtača je kotanja, navadno globoka več metrov, in je bolj široka kot globoka.
3-1	283-289	Vrtača	_	A.1 Surface landform	DEFINIENDUM	_	_	
3-2	290-292	je	_	_	DEFINITOR	_	_	
3-3	293-300	kotanja	_	D.1 Abiotic	GENUS	_	_	
3-4	300-301	,	_	_	_	_	_	
3-5	302-309	navadno	_	_	_	HAS\_SIZE[33]	frame\_SIZE[50]	
3-6	310-317	globoka	_	_	_	HAS\_SIZE[33]	frame\_SIZE[50]	
3-7	318-321	več	_	_	_	HAS\_SIZE[33]	_	
3-8	322-328	metrov	_	_	_	HAS\_SIZE[33]	_	
3-9	328-329	,	_	_	_	_	_	
3-10	330-332	in	_	_	_	_	_	
3-11	333-335	je	_	_	_	HAS\_FORM[34]	_	
3-12	336-340	bolj	_	_	_	HAS\_FORM[34]	_	
3-13	341-347	široka	_	_	_	HAS\_FORM[34]	_	
3-14	348-351	kot	_	_	_	HAS\_FORM[34]	_	
3-15	352-359	globoka	_	_	_	HAS\_FORM[34]	_	
3-16	359-360	.	_	_	_	_	_	

#Text=Karbonatni prag je globina v oceanih, do katere se karbonati še odlagajo oziroma kjer je dinamika odlaganja večja od dinamike raztapljanja karbonatov.
4-1	361-371	Karbonatni	_	D.3 Property[5]	DEFINIENDUM[23]	_	_	
4-2	372-376	prag	_	D.3 Property[5]	DEFINIENDUM[23]	_	_	
4-3	377-379	je	_	_	DEFINITOR	_	_	
4-4	380-387	globina	_	D.3 Property	GENUS	_	_	
4-5	388-389	v	_	_	_	_	_	
4-6	390-397	oceanih	_	D.1 Abiotic	_	_	_	
4-7	397-398	,	_	_	_	_	_	
4-8	399-401	do	_	_	_	HAS\_LOCATION[35]	frame\_LOCATION[51]	
