 # webanno.custom.Entity | NC
#id=1
#text=The New York Times сообщает , что Эво Моралес выиграл президентские выборы в Боливии . Моралес проводил свою предвыборную кампанию под лозунгом восстановления ферм по выращиванию коки в Боливии , в противовес проводимой США кампании борьбы против выращивания коки ( в надежде на ограничение кокаинового бизнеса ) . Моралес — индеец племени Аймара ( Aymara ) и в прошлом сам фермер по выращиванию коки . Моралес называет свою победу как сигнал , который : «начинает новую историю Боливии , историю , в которой мы будем устанавливать равенство , социальную справедливость и мир»
1-1	The	O	
1-2	New	O	
1-3	York	O	
1-4	Times	O	
1-5	сообщает	O	
1-6	,	O	
1-7	что	O	
1-8	Эво	B-NC	
1-9	Моралес	B-NC	
1-10	выиграл	O	
1-11	президентские	O	
1-12	выборы	B-NC	
1-13	в	O	
1-14	Боливии	B-NC	
1-15	.	O	
1-16	Моралес	B-NC	
1-17	проводил	O	
1-18	свою	O	
1-19	предвыборную	O	
1-20	кампанию	B-NC	
1-21	под	O	
1-22	лозунгом	B-NC	
1-23	восстановления	B-NC	
1-24	ферм	B-NC	
1-25	по	O	
1-26	выращиванию	B-NC	
1-27	коки	B-NC	
1-28	в	O	
1-29	Боливии	B-NC	
1-30	,	O	
1-31	в	O	
1-32	противовес	B-NC	
1-33	проводимой	O	
1-34	США	B-NC	
1-35	кампании	B-NC	
1-36	борьбы	B-NC	
1-37	против	O	
1-38	выращивания	B-NC	
1-39	коки	B-NC	
1-40	(	O	
1-41	в	O	
1-42	надежде	B-NC	
1-43	на	O	
1-44	ограничение	B-NC	
1-45	кокаинового	O	
1-46	бизнеса	B-NC	
1-47	)	O	
1-48	.	O	
1-49	Моралес	B-NC	
1-50	—	O	
1-51	индеец	B-NC	
1-52	племени	B-NC	
1-53	Аймара	B-NC	
1-54	(	O	
1-55	Aymara	O	
1-56	)	O	
1-57	и	O	
1-58	в	O	
1-59	прошлом	B-NC	
1-60	сам	O	
1-61	фермер	B-NC	
1-62	по	O	
1-63	выращиванию	B-NC	
1-64	коки	B-NC	
1-65	.	O	
1-66	Моралес	B-NC	
1-67	называет	O	
1-68	свою	O	
1-69	победу	B-NC	
1-70	как	O	
1-71	сигнал	B-NC	
1-72	,	O	
1-73	который	O	
1-74	:	O	
1-75	«начинает	O	
1-76	новую	O	
1-77	историю	B-NC	
1-78	Боливии	B-NC	
1-79	,	O	
1-80	историю	B-NC	
1-81	,	O	
1-82	в	O	
1-83	которой	O	
1-84	мы	O	
1-85	будем	O	
1-86	устанавливать	O	
1-87	равенство	B-NC	
1-88	,	O	
1-89	социальную	O	
1-90	справедливость	B-NC	
1-91	и	O	
1-92	мир»	B-NC	

#id=2
#text=Оппонент Моралеса Хорхе Кирога ( Jorge Quiroga ) признал свое поражение , сказав : «Я поздравляю Эво Моралеса» . Национальная избирательная комиссия объявит итоги выборов только в воскресенье , но Моралес считает , что он победил . Боливийские медия , основываясь на exit poll опросах , считают , что Моралес получил 51 % голосов , его соперник Хорхе Кирога — 30 %
2-1	Оппонент	B-NC	
