 # webanno.custom.Entity | NC
#id=1
#text=Gradually Rodolphe 's fears took possession of her . At first , love had intoxicated her ; and she had thought of nothing beyond . But now that he was indispensable to her life , she feared to lose anything of this , or even that it should be disturbed . When she came back from his house she looked all about her , anxiously watching every form that passed in the horizon , and every village window from which she could be seen . She listened for steps , cries , the noise of the ploughs , and she stopped short , white , and trembling more than the aspen leaves swaying overhead Gradually Rodolphe 's fears took possession of her . At first , love had intoxicated her ; and she had thought of nothing beyond . But now that he was indispensable to her life , she feared to lose anything of this , or even that it should be disturbed . When she came back from his house she looked all about her , anxiously watching every form that passed in the horizon , and every village window from which she could be seen . She listened for steps , cries , the noise of the ploughs , and she stopped short , white , and trembling more than the aspen leaves swaying overhead
1-1	Gradually	O	
1-2	Rodolphe	B-NC	
1-3	's	O	
1-4	fears	B-NC	
1-5	took	O	
1-6	possession	B-NC	
1-7	of	O	
1-8	her	O	
1-9	.	O	
1-10	At	O	
1-11	first	O	
1-12	,	O	
1-13	love	B-NC	
1-14	had	O	
1-15	intoxicated	O	
1-16	her	O	
1-17	;	O	
1-18	and	O	
1-19	she	O	
1-20	had	O	
1-21	thought	O	
1-22	of	O	
1-23	nothing	B-NC	
1-24	beyond	O	
1-25	.	O	
1-26	But	O	
1-27	now	O	
1-28	that	O	
1-29	he	O	
1-30	was	O	
1-31	indispensable	O	
1-32	to	O	
1-33	her	O	
1-34	life	B-NC	
1-35	,	O	
1-36	she	O	
1-37	feared	O	
1-38	to	O	
1-39	lose	O	
1-40	anything	B-NC	
1-41	of	O	
1-42	this	O	
1-43	,	O	
1-44	or	O	
1-45	even	O	
1-46	that	O	
1-47	it	O	
1-48	should	O	
1-49	be	O	
1-50	disturbed	O	
1-51	.	O	
1-52	When	O	
1-53	she	O	
1-54	came	O	
1-55	back	O	
1-56	from	O	
1-57	his	O	
1-58	house	B-NC	
1-59	she	O	
1-60	looked	O	
1-61	all	O	
1-62	about	O	
1-63	her	O	
1-64	,	O	
1-65	anxiously	O	
1-66	watching	O	
1-67	every	O	
1-68	form	B-NC	
1-69	that	O	
1-70	passed	O	
1-71	in	O	
1-72	the	O	
1-73	horizon	B-NC	
1-74	,	O	
1-75	and	O	
1-76	every	O	
1-77	village	B-NC	
1-78	window	I-NC	
1-79	from	O	
1-80	which	O	
1-81	she	O	
1-82	could	O	
1-83	be	O	
1-84	seen	O	
1-85	.	O	
1-86	She	O	
1-87	listened	O	
1-88	for	O	
1-89	steps	B-NC	
1-90	,	O	
1-91	cries	B-NC	
1-92	,	O	
1-93	the	O	
1-94	noise	B-NC	
1-95	of	O	
1-96	the	O	
1-97	ploughs	B-NC	
1-98	,	O	
1-99	and	O	
1-100	she	O	
1-101	stopped	O	
1-102	short	O	
1-103	,	O	
1-104	white	O	
1-105	,	O	
1-106	and	O	
