 # webanno.custom.Entity | NC
#id=1
#text=Мало-помалу она заразилась от Родольфа этим страхом . Сначала она была опьянена любовью и ни о чем на свете не думала . Но теперь , когда эта любовь стала для нее жизненной необходимостью , Эмма стала бояться потерять хотя бы частицу ее или даже встретить малейшую помеху . Возвращаясь от Родольфа , она подозрительно оглядывала все кругом , опасаясь всякой фигуры на горизонте , всякого окошка , из которого ее могли увидеть . Она прислушивалась к шагам , вскрикам , тарахтению телег ; она останавливалась , вся бледная и трепещущая , как листва тополей , склонившихся над ее головой
1-1	Мало-помалу	O	
1-2	она	O	
1-3	заразилась	O	
1-4	от	O	
1-5	Родольфа	B-NC	
1-6	этим	O	
1-7	страхом	B-NC	
1-8	.	O	
1-9	Сначала	O	
1-10	она	O	
1-11	была	O	
1-12	опьянена	O	
1-13	любовью	B-NC	
1-14	и	O	
1-15	ни	O	
1-16	о	O	
1-17	чем	O	
1-18	на	O	
1-19	свете	B-NC	
1-20	не	O	
1-21	думала	O	
1-22	.	O	
1-23	Но	O	
1-24	теперь	O	
1-25	,	O	
1-26	когда	O	
1-27	эта	O	
1-28	любовь	B-NC	
1-29	стала	O	
1-30	для	O	
1-31	нее	O	
1-32	жизненной	O	
1-33	необходимостью	B-NC	
1-34	,	O	
1-35	Эмма	B-NC	
1-36	стала	O	
1-37	бояться	O	
1-38	потерять	O	
1-39	хотя	O	
1-40	бы	O	
1-41	частицу	B-NC	
1-42	ее	O	
1-43	или	O	
1-44	даже	O	
1-45	встретить	O	
1-46	малейшую	O	
1-47	помеху	B-NC	
1-48	.	O	
1-49	Возвращаясь	O	
1-50	от	O	
1-51	Родольфа	B-NC	
1-52	,	O	
1-53	она	O	
1-54	подозрительно	O	
1-55	оглядывала	O	
1-56	все	O	
1-57	кругом	O	
1-58	,	O	
1-59	опасаясь	O	
1-60	всякой	O	
1-61	фигуры	B-NC	
1-62	на	O	
1-63	горизонте	B-NC	
1-64	,	O	
1-65	всякого	O	
1-66	окошка	B-NC	
1-67	,	O	
1-68	из	O	
1-69	которого	O	
1-70	ее	O	
1-71	могли	O	
1-72	увидеть	O	
1-73	.	O	
1-74	Она	O	
1-75	прислушивалась	O	
1-76	к	O	
1-77	шагам	B-NC	
1-78	,	O	
1-79	вскрикам	B-NC	
1-80	,	O	
1-81	тарахтению	B-NC	
1-82	телег	B-NC	
1-83	;	O	
1-84	она	O	
1-85	останавливалась	O	
1-86	,	O	
1-87	вся	O	
1-88	бледная	O	
1-89	и	O	
1-90	трепещущая	O	
1-91	,	O	
1-92	как	O	
1-93	листва	B-NC	
1-94	тополей	B-NC	
1-95	,	O	
1-96	склонившихся	O	
1-97	над	O	
1-98	ее	O	
1-99	головой	B-NC	

#id=2
#text=Однажды утром , когда она таким образом шла домой , ей вдруг показалось , что прямо в нее целится длинное дуло карабина . Оно высовывалось наискось из-за края небольшой бочки , полузапрятанной в траве , на краю канавы . Чуть не падая от ужаса , Эмма все-таки подошла , -- и из бочки встал человек ; так чертик выскакивает на пружинке из коробочки . На нем были гетры , застегнутые до самых колен , и надвинутая на глаза фуражка . Губы его тряслись , нос покраснел . То был капитан Бине : он сидел здесь в засаде на диких уток
2-1	Однажды	O	
2-2	утром	B-NC	
2-3	,	O	
2-4	когда	O	
2-5	она	O	
2-6	таким	O	
2-7	образом	B-NC	
2-8	шла	O	
2-9	домой	O	
2-10	,	O	
2-11	ей	O	
2-12	вдруг	O	
2-13	показалось	O	
2-14	,	O	
2-15	что	O	
2-16	прямо	O	
2-17	в	O	
2-18	нее	O	
2-19	целится	O	
2-20	длинное	O	
2-21	дуло	B-NC	
2-22	карабина	B-NC	
2-23	.	O	
2-24	Оно	O	
2-25	высовывалось	O	
2-26	наискось	O	
2-27	из-за	B-NC	
2-28	края	B-NC	
2-29	небольшой	O	
2-30	бочки	B-NC	
2-31	,	O	
2-32	полузапрятанной	O	
2-33	в	O	
2-34	траве	B-NC	
2-35	,	O	
2-36	на	O	
2-37	краю	B-NC	
2-38	канавы	B-NC	
2-39	.	O	
2-40	Чуть	O	
2-41	не	O	
2-42	падая	O	
2-43	от	O	
2-44	ужаса	B-NC	
2-45	,	O	
2-46	Эмма	B-NC	
2-47	все-таки	O	
2-48	подошла	O	
2-49	,	O	
2-50	--	O	
2-51	и	O	
2-52	из	O	
2-53	бочки	B-NC	
2-54	встал	O	
2-55	человек	B-NC	
2-56	;	O	
2-57	так	O	
2-58	чертик	B-NC	
2-59	выскакивает	O	
2-60	на	O	
2-61	пружинке	B-NC	
2-62	из	O	
2-63	коробочки	B-NC	
2-64	.	O	
2-65	На	O	
2-66	нем	O	
2-67	были	O	
2-68	гетры	B-NC	
2-69	,	O	
2-70	застегнутые	O	
2-71	до	O	
2-72	самых	O	
2-73	колен	B-NC	
2-74	,	O	
2-75	и	O	
2-76	надвинутая	O	
2-77	на	O	
2-78	глаза	B-NC	
2-79	фуражка	B-NC	
2-80	.	O	
2-81	Губы	B-NC	
2-82	его	O	
2-83	тряслись	O	
2-84	,	O	
2-85	нос	B-NC	
2-86	покраснел	O	
2-87	.	O	
2-88	То	O	
2-89	был	O	
2-90	капитан	B-NC	
2-91	Бине	B-NC	
2-92	:	O	
2-93	он	O	
2-94	сидел	O	
2-95	здесь	O	
2-96	в	O	
2-97	засаде	B-NC	
2-98	на	O	
2-99	диких	O	
2-100	уток	B-NC	

#id=3
#text=-- Вам бы следовало окликнуть меня издали ! -- громко сказал он . -- Когда видишь ружье , всегда надо предупредить
3-1	--	O	
3-2	Вам	O	
3-3	бы	O	
3-4	следовало	O	
3-5	окликнуть	O	
3-6	меня	O	
3-7	издали	O	
3-8	!	O	
3-9	--	O	
3-10	громко	O	
3-11	сказал	O	
3-12	он	O	
3-13	.	O	
3-14	--	O	
3-15	Когда	O	
3-16	видишь	O	
3-17	ружье	B-NC	
3-18	,	O	
3-19	всегда	O	
3-20	надо	O	
3-21	предупредить	O	

#id=4
#text=Этими словами сборщик налогов пытался скрыть свой страх : охота на уток иначе как с лодки была воспрещена особым распоряжением префекта , так что г-н Бине , при всем своем уважении к законам , оказывался нарушителем их . Каждую минуту ему чудились шаги полевого сторожа . Но от этого волнения удовольствие его только росло , и , сидя в бочке , он потихоньку радовался своему счастью и своей хитрости
4-1	Этими	O	
4-2	словами	B-NC	
4-3	сборщик	B-NC	
4-4	налогов	B-NC	
4-5	пытался	O	
4-6	скрыть	O	
4-7	свой	O	
4-8	страх	B-NC	
4-9	:	O	
4-10	охота	B-NC	
4-11	на	O	
4-12	уток	B-NC	
4-13	иначе	O	
4-14	как	O	
4-15	с	O	
4-16	лодки	B-NC	
4-17	была	O	
4-18	воспрещена	O	
4-19	особым	O	
4-20	распоряжением	B-NC	
4-21	префекта	B-NC	
4-22	,	O	
4-23	так	O	
4-24	что	O	
4-25	г-н	B-NC	
4-26	Бине	B-NC	
4-27	,	O	
4-28	при	O	
4-29	всем	O	
4-30	своем	O	
4-31	уважении	B-NC	
4-32	к	O	
4-33	законам	B-NC	
4-34	,	O	
4-35	оказывался	O	
4-36	нарушителем	B-NC	
4-37	их	O	
4-38	.	O	
4-39	Каждую	O	
4-40	минуту	B-NC	
4-41	ему	O	
4-42	чудились	O	
4-43	шаги	B-NC	
4-44	полевого	O	
4-45	сторожа	B-NC	
4-46	.	O	
4-47	Но	O	
4-48	от	O	
4-49	этого	O	
4-50	волнения	B-NC	
4-51	удовольствие	B-NC	
4-52	его	O	
4-53	только	O	
4-54	росло	O	
4-55	,	O	
4-56	и	O	
4-57	,	O	
4-58	сидя	O	
4-59	в	O	
4-60	бочке	B-NC	
4-61	,	O	
4-62	он	O	
4-63	потихоньку	O	
4-64	радовался	O	
4-65	своему	O	
4-66	счастью	B-NC	
4-67	и	O	
4-68	своей	O	
4-69	хитрости	B-NC	

#id=5
#text=Узнав Эмму , он почувствовал , что у него гора свалилась с плеч , и тотчас завязал разговор
5-1	Узнав	O	
5-2	Эмму	B-NC	
5-3	,	O	
5-4	он	O	
5-5	почувствовал	O	
5-6	,	O	
5-7	что	O	
5-8	у	O	
