 # webanno.custom.Entity | NC
#id=1
#text=Es war Arbeitsstunde . Da trat der Rektor ein , ihm zur Seite ein »Neuer« , in gewöhnlichem Anzuge . Der Pedell hinter den beiden , Schulstubengerät in den Händen . Alle Schüler erhoben sich von ihren Plätzen , wobei man so tat , als sei man aus seinen Studien aufgescheucht worden . Wer eingenickt war , fuhr mit auf
1-1	Es	O	
1-2	war	O	
1-3	Arbeitsstunde	B-NC	
1-4	.	O	
1-5	Da	O	
1-6	trat	O	
1-7	der	O	
1-8	Rektor	B-NC	
1-9	ein	O	
1-10	,	O	
1-11	ihm	O	
1-12	zur	O	
1-13	Seite	B-NC	
1-14	ein	O	
1-15	»Neuer«	B-NC	
1-16	,	O	
1-17	in	O	
1-18	gewöhnlichem	O	
1-19	Anzuge	B-NC	
1-20	.	O	
1-21	Der	O	
1-22	Pedell	B-NC	
1-23	hinter	O	
1-24	den	O	
1-25	beiden	O	
1-26	,	O	
1-27	Schulstubengerät	B-NC	
1-28	in	O	
1-29	den	O	
1-30	Händen	B-NC	
1-31	.	O	
1-32	Alle	O	
1-33	Schüler	B-NC	
1-34	erhoben	O	
1-35	sich	O	
1-36	von	O	
1-37	ihren	O	
1-38	Plätzen	B-NC	
1-39	,	O	
1-40	wobei	O	
1-41	man	O	
1-42	so	O	
1-43	tat	O	
1-44	,	O	
1-45	als	O	
1-46	sei	O	
1-47	man	O	
1-48	aus	O	
1-49	seinen	O	
1-50	Studien	B-NC	
1-51	aufgescheucht	O	
1-52	worden	O	
1-53	.	O	
1-54	Wer	O	
1-55	eingenickt	O	
1-56	war	O	
1-57	,	O	
1-58	fuhr	O	
1-59	mit	O	
1-60	auf	O	

#id=2
#text=Der Rektor winkte ab . Man setzte sich wieder hin . Darauf wandte er sich zu dem die Aufsicht führenden Lehrer
2-1	Der	O	
2-2	Rektor	B-NC	
2-3	winkte	O	
2-4	ab	O	
2-5	.	O	
2-6	Man	O	
2-7	setzte	O	
2-8	sich	O	
2-9	wieder	O	
2-10	hin	O	
2-11	.	O	
2-12	Darauf	O	
2-13	wandte	O	
2-14	er	O	
2-15	sich	O	
2-16	zu	O	
2-17	dem	O	
2-18	die	O	
2-19	Aufsicht	B-NC	
2-20	führenden	O	
2-21	Lehrer	B-NC	

#id=3
#text=»Herr Roger ! « lispelte er . »Diesen neuen Zögling hier empfehle ich Ihnen besonders . Er kommt zunächst in die Quinta . Bei löblichem Fleiß und Betragen wird er aber in die Quarta versetzt , in die er seinem Alter nach gehört .
3-1	»Herr	B-NC	
3-2	Roger	B-NC	
3-3	!	O	
3-4	«	O	
3-5	lispelte	O	
3-6	er	O	
3-7	.	O	
3-8	»Diesen	O	
3-9	neuen	O	
3-10	Zögling	B-NC	
3-11	hier	O	
3-12	empfehle	O	
3-13	ich	O	
3-14	Ihnen	O	
3-15	besonders	O	
3-16	.	O	
3-17	Er	O	
3-18	kommt	O	
3-19	zunächst	O	
3-20	in	O	
3-21	die	O	
3-22	Quinta	B-NC	
3-23	.	O	
3-24	Bei	O	
3-25	löblichem	O	
3-26	Fleiß	B-NC	
3-27	und	O	
3-28	Betragen	B-NC	
3-29	wird	O	
3-30	er	O	
3-31	aber	O	
3-32	in	O	
3-33	die	O	
3-34	Quarta	B-NC	
3-35	versetzt	O	
3-36	,	O	
3-37	in	O	
3-38	die	O	
3-39	er	O	
3-40	seinem	O	
3-41	Alter	B-NC	
3-42	nach	O	
3-43	gehört	O	
3-44	.	O	

#id=4
#text=Der Neuling blieb in dem Winkel hinter der Türe stehen . Man konnte ihn nicht ordentlich sehen , aber offenbar war er ein Bauernjunge , so ungefähr fünfzehn Jahre alt und größer als alle andern . Die Haare trug er mit Simpelfransen in die Stirn hinein , wie ein Dorfschulmeister . Sonst sah er gar nicht dumm aus , nur war er höchst verlegen . So schmächtig er war , beengte ihn sein grüner Tuchrock mit schwarzen Knöpfen doch sichtlich , und durch den Schlitz in den Ärmelaufschlägen schimmerten rote Handgelenke hervor , die zweifellos die freie Luft gewöhnt waren . Er hatte gelbbraune , durch die Träger übermäßig hochgezogene Hosen an und blaue Strümpfe . Seine Stiefel waren derb , schlecht gewichst und mit Nägeln beschlagen
4-1	Der	O	
4-2	Neuling	B-NC	
4-3	blieb	O	
4-4	in	O	
4-5	dem	O	
4-6	Winkel	B-NC	
4-7	hinter	O	
4-8	der	O	
4-9	Türe	B-NC	
4-10	stehen	O	
4-11	.	O	
4-12	Man	O	
4-13	konnte	O	
4-14	ihn	O	
4-15	nicht	O	
4-16	ordentlich	O	
4-17	sehen	O	
4-18	,	O	
4-19	aber	O	
4-20	offenbar	O	
4-21	war	O	
4-22	er	O	
4-23	ein	O	
4-24	Bauernjunge	B-NC	
4-25	,	O	
4-26	so	O	
4-27	ungefähr	O	
4-28	fünfzehn	O	
4-29	Jahre	B-NC	
4-30	alt	O	
4-31	und	O	
4-32	größer	O	
4-33	als	O	
4-34	alle	O	
4-35	andern	O	
4-36	.	O	
4-37	Die	O	
4-38	Haare	B-NC	
4-39	trug	O	
4-40	er	O	
4-41	mit	O	
4-42	Simpelfransen	B-NC	
4-43	in	O	
4-44	die	O	
4-45	Stirn	B-NC	
4-46	hinein	O	
4-47	,	O	
4-48	wie	O	
4-49	ein	O	
4-50	Dorfschulmeister	B-NC	
4-51	.	O	
4-52	Sonst	O	
4-53	sah	O	
4-54	er	O	
4-55	gar	O	
4-56	nicht	O	
4-57	dumm	O	
4-58	aus	O	
4-59	,	O	
4-60	nur	O	
4-61	war	O	
4-62	er	O	
4-63	höchst	O	
4-64	verlegen	O	
4-65	.	O	
4-66	So	O	
4-67	schmächtig	O	
4-68	er	O	
4-69	war	O	
4-70	,	O	
4-71	beengte	O	
4-72	ihn	O	
4-73	sein	O	
4-74	grüner	O	
4-75	Tuchrock	B-NC	
4-76	mit	O	
4-77	schwarzen	O	
4-78	Knöpfen	B-NC	
4-79	doch	O	
4-80	sichtlich	O	
4-81	,	O	
4-82	und	O	
4-83	durch	O	
4-84	den	O	
4-85	Schlitz	B-NC	
4-86	in	O	
4-87	den	O	
4-88	Ärmelaufschlägen	B-NC	
4-89	schimmerten	O	
4-90	rote	O	
4-91	Handgelenke	B-NC	
4-92	hervor	O	
4-93	,	O	
4-94	die	O	
4-95	zweifellos	O	
4-96	die	O	
4-97	freie	O	
4-98	Luft	B-NC	
4-99	gewöhnt	O	
4-100	waren	O	
4-101	.	O	
4-102	Er	O	
4-103	hatte	O	
4-104	gelbbraune	O	
4-105	,	O	
4-106	durch	O	
4-107	die	O	
4-108	Träger	B-NC	
4-109	übermäßig	O	
4-110	hochgezogene	O	
4-111	Hosen	B-NC	
4-112	an	O	
4-113	und	O	
4-114	blaue	O	
4-115	Strümpfe	B-NC	
4-116	.	O	
4-117	Seine	O	
4-118	Stiefel	B-NC	
4-119	waren	O	
4-120	derb	O	
4-121	,	O	
4-122	schlecht	O	
4-123	gewichst	O	
4-124	und	O	
4-125	mit	O	
4-126	Nägeln	B-NC	
4-127	beschlagen	O	

#id=5
#text=Man begann die fertigen Arbeiten vorzulesen . Der Neuling hörte aufmerksamst zu , mit wahrer Kirchenandacht , wobei er es nicht einmal wagte , die Beine übereinander zu schlagen noch den Ellenbogen aufzustützen . Um zwei Uhr , als die Schulglocke läutete
5-1	Man	O	
5-2	begann	O	
5-3	die	O	
5-4	fertigen	O	
5-5	Arbeiten	B-NC	
5-6	vorzulesen	O	
5-7	.	O	
5-8	Der	O	
5-9	Neuling	B-NC	
5-10	hörte	O	
5-11	aufmerksamst	O	
