 # webanno.custom.Entity | NC
#id=1
#text=The thorax or chest ( Greek : θώραξ , Latin : thorax ) is a part of the anatomy of humans and various other animals located between the neck and the abdomen . [ 1][2]The thorax includes the thoracic cavity and the thoracic wall . It contains organs including the heart , lungs and thymus gland , as well as muscles and various other internal structures . Many diseases may affect the chest , and one of the most common symptoms is chest pain The thorax or chest ( Greek : θώραξ , Latin : thorax ) is a part of the anatomy of humans and various other animals located between the neck and the abdomen . [ 1][2]The thorax includes the thoracic cavity and the thoracic wall . It contains organs including the heart , lungs and thymus gland , as well as muscles and various other internal structures . Many diseases may affect the chest , and one of the most common symptoms is chest pain
1-1	The	O	
1-2	thorax	B-NC	
1-3	or	O	
1-4	chest	B-NC	
1-5	(	O	
1-6	Greek	B-NC	
1-7	:	O	
1-8	θώραξ	B-NC	
1-9	,	O	
1-10	Latin	B-NC	
1-11	:	O	
1-12	thorax	B-NC	
1-13	)	O	
1-14	is	O	
1-15	a	O	
1-16	part	B-NC	
1-17	of	O	
1-18	the	O	
1-19	anatomy	B-NC	
1-20	of	O	
1-21	humans	B-NC	
1-22	and	O	
1-23	various	O	
1-24	other	O	
1-25	animals	B-NC	
1-26	located	O	
1-27	between	O	
1-28	the	O	
1-29	neck	B-NC	
1-30	and	O	
1-31	the	O	
1-32	abdomen	B-NC	
1-33	.	O	
1-34	[	O	
1-35	1][2]The	O	
1-36	thorax	B-NC	
1-37	includes	O	
1-38	the	O	
1-39	thoracic	O	
1-40	cavity	B-NC	
1-41	and	O	
1-42	the	O	
1-43	thoracic	O	
1-44	wall	B-NC	
1-45	.	O	
1-46	It	O	
1-47	contains	O	
1-48	organs	B-NC	
1-49	including	O	
1-50	the	O	
1-51	heart	B-NC	
1-52	,	O	
1-53	lungs	B-NC	
1-54	and	O	
1-55	thymus	B-NC	
1-56	gland	I-NC	
1-57	,	O	
1-58	as	O	
1-59	well	O	
1-60	as	O	
1-61	muscles	B-NC	
1-62	and	O	
1-63	various	O	
1-64	other	O	
1-65	internal	O	
1-66	structures	B-NC	
1-67	.	O	
1-68	Many	O	
1-69	diseases	B-NC	
1-70	may	O	
1-71	affect	O	
1-72	the	O	
1-73	chest	B-NC	
1-74	,	O	
1-75	and	O	
1-76	one	O	
1-77	of	O	
1-78	the	O	
1-79	most	O	
1-80	common	O	
1-81	symptoms	B-NC	
1-82	is	O	
1-83	chest	B-NC	
1-84	pain	I-NC	
1-85	The	O	
1-86	thorax	B-NC	
1-87	or	O	
1-88	chest	B-NC	
1-89	(	O	
1-90	Greek	B-NC	
1-91	:	O	
1-92	θώραξ	B-NC	
1-93	,	O	
1-94	Latin	B-NC	
1-95	:	O	
1-96	thorax	B-NC	
1-97	)	O	
1-98	is	O	
1-99	a	O	
1-100	part	B-NC	
1-101	of	O	
1-102	the	O	
1-103	anatomy	B-NC	
1-104	of	O	
1-105	humans	B-NC	
1-106	and	O	
1-107	various	O	
1-108	other	O	
1-109	animals	B-NC	
1-110	located	O	
1-111	between	O	
1-112	the	O	
1-113	neck	B-NC	
1-114	and	O	
1-115	the	O	
1-116	abdomen	B-NC	
1-117	.	O	
1-118	[	O	
1-119	1][2]The	O	
1-120	thorax	B-NC	
1-121	includes	O	
1-122	the	O	
1-123	thoracic	O	
1-124	cavity	B-NC	
1-125	and	O	
1-126	the	O	
1-127	thoracic	O	
1-128	wall	B-NC	
1-129	.	O	
1-130	It	O	
1-131	contains	O	
1-132	organs	B-NC	
1-133	including	O	
1-134	the	O	
1-135	heart	B-NC	
1-136	,	O	
1-137	lungs	B-NC	
1-138	and	O	
1-139	thymus	B-NC	
1-140	gland	I-NC	
1-141	,	O	
1-142	as	O	
1-143	well	O	
1-144	as	O	
1-145	muscles	B-NC	
1-146	and	O	
1-147	various	O	
1-148	other	O	
1-149	internal	O	
1-150	structures	B-NC	
1-151	.	O	
1-152	Many	O	
1-153	diseases	B-NC	
1-154	may	O	
1-155	affect	O	
1-156	the	O	
1-157	chest	B-NC	
1-158	,	O	
1-159	and	O	
1-160	one	O	
1-161	of	O	
1-162	the	O	
1-163	most	O	
1-164	common	O	
1-165	symptoms	B-NC	
1-166	is	O	
1-167	chest	B-NC	
1-168	pain	I-NC	

