 # webanno.custom.Entity | NC
#id=1
#text=Грудная клетка , грудь ( лат . Thorax ) — одна из частей туловища . Образуется грудиной , рёбрами , позвоночником , а также мышцами . Грудная клетка содержит в себе грудную полость ( Cavum thoracis ) , а также из-за изогнутости диафрагмы верхнюю часть брюшной полости . Укреплённая внутри и снаружи на грудной клетке дыхательная мускулатура обеспечивает дыхание у сухопутных позвоночных
1-1	Грудная	O	
1-2	клетка	B-NC	
1-3	,	O	
1-4	грудь	B-NC	
1-5	(	O	
1-6	лат	O	
1-7	.	O	
1-8	Thorax	O	
1-9	)	O	
1-10	—	O	
1-11	одна	O	
1-12	из	O	
1-13	частей	B-NC	
1-14	туловища	B-NC	
1-15	.	O	
1-16	Образуется	O	
1-17	грудиной	B-NC	
1-18	,	O	
1-19	рёбрами	B-NC	
1-20	,	O	
1-21	позвоночником	B-NC	
1-22	,	O	
1-23	а	O	
1-24	также	O	
1-25	мышцами	B-NC	
1-26	.	O	
1-27	Грудная	O	
1-28	клетка	B-NC	
1-29	содержит	O	
1-30	в	O	
1-31	себе	O	
1-32	грудную	O	
1-33	полость	B-NC	
1-34	(	O	
1-35	Cavum	O	
1-36	thoracis	O	
1-37	)	O	
1-38	,	O	
1-39	а	O	
1-40	также	O	
1-41	из-за	B-NC	
1-42	изогнутости	B-NC	
1-43	диафрагмы	B-NC	
1-44	верхнюю	O	
1-45	часть	B-NC	
1-46	брюшной	O	
1-47	полости	B-NC	
1-48	.	O	
1-49	Укреплённая	O	
1-50	внутри	O	
1-51	и	O	
1-52	снаружи	O	
1-53	на	O	
1-54	грудной	O	
1-55	клетке	B-NC	
1-56	дыхательная	O	
1-57	мускулатура	B-NC	
1-58	обеспечивает	O	
1-59	дыхание	B-NC	
1-60	у	O	
1-61	сухопутных	O	
1-62	позвоночных	B-NC	

#id=2
#text=Грудная клетка по форме конус . Имеет два отверстия ( апертуры ) — верхнее и нижнее . Верхнее отверстие ограничено сзади телом I грудного позвонка , с боков — первыми ребрами , спереди рукояткой грудины . Через него в область шеи выступает верхушка легкого , а также проходят пищевод , трахея , сосуды и нервы . Нижнее отверстие больше верхнего , оно ограничено телом XII грудного позвонка , XI и XII ребрами и реберными дугами , мечевидным отростком и закрывается диафрагмой
2-1	Грудная	O	
2-2	клетка	B-NC	
2-3	по	O	
2-4	форме	B-NC	
2-5	конус	B-NC	
2-6	.	O	
2-7	Имеет	O	
2-8	два	O	
2-9	отверстия	B-NC	
2-10	(	O	
2-11	апертуры	B-NC	
2-12	)	O	
2-13	—	O	
2-14	верхнее	O	
2-15	и	O	
2-16	нижнее	O	
2-17	.	O	
2-18	Верхнее	O	
2-19	отверстие	B-NC	
2-20	ограничено	O	
2-21	сзади	O	
2-22	телом	B-NC	
2-23	I	O	
2-24	грудного	O	
2-25	позвонка	B-NC	
2-26	,	O	
2-27	с	O	
2-28	боков	B-NC	
2-29	—	O	
2-30	первыми	O	
2-31	ребрами	B-NC	
2-32	,	O	
2-33	спереди	O	
2-34	рукояткой	B-NC	
2-35	грудины	B-NC	
2-36	.	O	
2-37	Через	O	
2-38	него	O	
2-39	в	O	
2-40	область	B-NC	
2-41	шеи	B-NC	
2-42	выступает	O	
2-43	верхушка	B-NC	
2-44	легкого	B-NC	
2-45	,	O	
2-46	а	O	
2-47	также	O	
2-48	проходят	O	
2-49	пищевод	B-NC	
2-50	,	O	
2-51	трахея	B-NC	
2-52	,	O	
2-53	сосуды	B-NC	
2-54	и	O	
2-55	нервы	B-NC	
2-56	.	O	
2-57	Нижнее	O	
2-58	отверстие	B-NC	
2-59	больше	O	
2-60	верхнего	O	
2-61	,	O	
2-62	оно	O	
2-63	ограничено	O	
2-64	телом	B-NC	
2-65	XII	O	
2-66	грудного	O	
2-67	позвонка	B-NC	
2-68	,	O	
2-69	XI	O	
2-70	и	O	
2-71	XII	O	
2-72	ребрами	B-NC	
2-73	и	O	
2-74	реберными	O	
2-75	дугами	B-NC	
2-76	,	O	
2-77	мечевидным	O	
2-78	отростком	B-NC	
2-79	и	O	
2-80	закрывается	O	
2-81	диафрагмой	B-NC	

#id=3
#text=Грудная клетка человека несколько сжата , её переднезадний размер значительно меньше поперечного . Форма грудной клетки зависит от пола , телосложения , физического развития и возраста
3-1	Грудная	O	
3-2	клетка	B-NC	
3-3	человека	B-NC	
3-4	несколько	O	
3-5	сжата	O	
3-6	,	O	
3-7	её	O	
3-8	переднезадний	O	
3-9	размер	B-NC	
3-10	значительно	O	
3-11	меньше	O	
3-12	поперечного	O	
3-13	.	O	
3-14	Форма	B-NC	
3-15	грудной	O	
3-16	клетки	B-NC	
3-17	зависит	O	
3-18	от	O	
3-19	пола	B-NC	
3-20	,	O	
3-21	телосложения	B-NC	
3-22	,	O	
3-23	физического	O	
3-24	развития	B-NC	
3-25	и	O	
3-26	возраста	B-NC	

