 # webanno.custom.Entity | NC
#id=1
#text=Washington D. C. ( Vereinigte Staaten ) , 28.10.2006 – US-Präsident George W. Bush hat am 27 . Oktober 2006 ein Gesetz zum Bau eines mehr als 1.000 Kilometer langen Zauns an der Grenze zwischen den Vereinigten Staaten und Mexiko unterzeichnet . Der Zaun soll die illegale Einwanderung aus Mexiko erschweren . Bei der Unterzeichnung des Gesetzes sagte Bush , die Vereinigten Staaten hätten in dem letzten Jahrzehnt leider keine vollständige Kontrolle über die Grenze gewährleisten können . In der letzten Zeit hat die illegale Einwanderung aus Mexiko ständig zugenommen , einigen Schätzungen zufolge leben zurzeit etwa 10 Millionen Mexikaner in den Vereinigten Staaten , unter ihnen vier Millionen illegal . Mexiko hat sich gegen den Bau eines Zaunes ausgesprochen
1-1	Washington	B-NC	
1-2	D.	B-NC	
1-3	C.	B-NC	
1-4	(	O	
1-5	Vereinigte	O	
1-6	Staaten	B-NC	
1-7	)	O	
1-8	,	O	
1-9	28.10.2006	O	
1-10	–	O	
1-11	US-Präsident	B-NC	
1-12	George	B-NC	
1-13	W.	B-NC	
1-14	Bush	B-NC	
1-15	hat	O	
1-16	am	O	
1-17	27	O	
1-18	.	O	
1-19	Oktober	B-NC	
1-20	2006	O	
1-21	ein	O	
1-22	Gesetz	B-NC	
1-23	zum	O	
1-24	Bau	B-NC	
1-25	eines	O	
1-26	mehr	O	
1-27	als	O	
1-28	1.000	O	
1-29	Kilometer	B-NC	
1-30	langen	O	
1-31	Zauns	B-NC	
1-32	an	O	
1-33	der	O	
1-34	Grenze	B-NC	
1-35	zwischen	O	
1-36	den	O	
1-37	Vereinigten	O	
1-38	Staaten	B-NC	
1-39	und	O	
1-40	Mexiko	B-NC	
1-41	unterzeichnet	O	
1-42	.	O	
1-43	Der	O	
1-44	Zaun	B-NC	
1-45	soll	O	
1-46	die	O	
1-47	illegale	O	
1-48	Einwanderung	B-NC	
1-49	aus	O	
1-50	Mexiko	B-NC	
1-51	erschweren	O	
1-52	.	O	
1-53	Bei	O	
1-54	der	O	
1-55	Unterzeichnung	B-NC	
1-56	des	O	
1-57	Gesetzes	B-NC	
1-58	sagte	O	
1-59	Bush	B-NC	
1-60	,	O	
1-61	die	O	
1-62	Vereinigten	O	
1-63	Staaten	B-NC	
1-64	hätten	O	
1-65	in	O	
1-66	dem	O	
1-67	letzten	O	
1-68	Jahrzehnt	B-NC	
1-69	leider	O	
1-70	keine	O	
1-71	vollständige	O	
1-72	Kontrolle	B-NC	
1-73	über	O	
1-74	die	O	
1-75	Grenze	B-NC	
1-76	gewährleisten	O	
1-77	können	O	
1-78	.	O	
1-79	In	O	
1-80	der	O	
1-81	letzten	O	
1-82	Zeit	B-NC	
1-83	hat	O	
1-84	die	O	
1-85	illegale	O	
1-86	Einwanderung	B-NC	
1-87	aus	O	
1-88	Mexiko	B-NC	
