 # webanno.custom.Entity | NC
#id=1
#text=Ein junger rotbrauner Hund – eine Kreuzung von Dachs und Dorfköter – , dessen Schnauze der eines Fuchses sehr ähnelte , lief auf dem Trottoir hin und her und schaute sich unruhig nach allen Seiten um . Zuweilen blieb er stehen , hob winselnd bald die eine , bald die andere seiner frierenden Pfoten und suchte sich darüber Rechenschaft zu geben , wie es doch passieren konnte , daß er sich verirrt hatte
1-1	Ein	O	
1-2	junger	O	
1-3	rotbrauner	O	
1-4	Hund	B-NC	
1-5	–	B-NC	
1-6	eine	O	
1-7	Kreuzung	B-NC	
1-8	von	O	
1-9	Dachs	B-NC	
1-10	und	O	
1-11	Dorfköter	B-NC	
1-12	–	B-NC	
1-13	,	O	
1-14	dessen	O	
1-15	Schnauze	B-NC	
1-16	der	O	
1-17	eines	O	
1-18	Fuchses	B-NC	
1-19	sehr	O	
1-20	ähnelte	O	
1-21	,	O	
1-22	lief	O	
1-23	auf	O	
1-24	dem	O	
1-25	Trottoir	B-NC	
1-26	hin	O	
1-27	und	O	
1-28	her	O	
1-29	und	O	
1-30	schaute	O	
1-31	sich	O	
1-32	unruhig	O	
1-33	nach	O	
1-34	allen	O	
1-35	Seiten	B-NC	
1-36	um	O	
1-37	.	O	
1-38	Zuweilen	O	
1-39	blieb	O	
1-40	er	O	
1-41	stehen	O	
1-42	,	O	
1-43	hob	O	
1-44	winselnd	O	
1-45	bald	O	
1-46	die	O	
1-47	eine	O	
1-48	,	O	
1-49	bald	O	
1-50	die	O	
1-51	andere	O	
1-52	seiner	O	
1-53	frierenden	O	
1-54	Pfoten	B-NC	
1-55	und	O	
1-56	suchte	O	
1-57	sich	O	
1-58	darüber	O	
1-59	Rechenschaft	B-NC	
1-60	zu	O	
1-61	geben	O	
1-62	,	O	
1-63	wie	O	
1-64	es	O	
1-65	doch	O	
1-66	passieren	O	
1-67	konnte	O	
1-68	,	O	
1-69	daß	O	
1-70	er	O	
1-71	sich	O	
1-72	verirrt	O	
1-73	hatte	O	

#id=2
#text=Er entsann sich sehr wohl , wie er den Tag verbracht hatte und wie er dann endlich auf dieses unbekannte Trottoir geraten war
2-1	Er	O	
2-2	entsann	O	
2-3	sich	O	
2-4	sehr	O	
2-5	wohl	O	
2-6	,	O	
2-7	wie	O	
2-8	er	O	
2-9	den	O	
2-10	Tag	B-NC	
2-11	verbracht	O	
2-12	hatte	O	
2-13	und	O	
2-14	wie	O	
2-15	er	O	
2-16	dann	O	
2-17	endlich	O	
2-18	auf	O	
2-19	dieses	O	
2-20	unbekannte	O	
2-21	Trottoir	B-NC	
2-22	geraten	O	
2-23	war	O	

#id=3
#text=Der Tag hatte damit begonnen , daß sein Herr , der Tischler Luka Alexandritsch , sich seine Mütze aufgesetzt , irgend ein hölzernes , in rotes Tuch gehülltes Ding untern Arm genommen und dann gerufen hatte
3-1	Der	O	
3-2	Tag	B-NC	
3-3	hatte	O	
3-4	damit	O	
3-5	begonnen	O	
3-6	,	O	
3-7	daß	O	
3-8	sein	O	
3-9	Herr	B-NC	
3-10	,	O	
3-11	der	O	
3-12	Tischler	B-NC	
3-13	Luka	B-NC	
3-14	Alexandritsch	B-NC	
3-15	,	O	
3-16	sich	O	
3-17	seine	O	
3-18	Mütze	B-NC	
3-19	aufgesetzt	O	
3-20	,	O	
3-21	irgend	O	
3-22	ein	O	
3-23	hölzernes	O	
3-24	,	O	
3-25	in	O	
3-26	rotes	O	
3-27	Tuch	B-NC	
3-28	gehülltes	O	
3-29	Ding	B-NC	
3-30	untern	O	
3-31	Arm	B-NC	
3-32	genommen	O	
3-33	und	O	
3-34	dann	O	
3-35	gerufen	O	
3-36	hatte	O	

#id=4
#text=– Kaschtanka , komm
4-1	–	B-NC	
4-2	Kaschtanka	B-NC	
4-3	,	O	
4-4	komm	O	

#id=5
#text=Als die Kreuzung von Dachs und Dorfköter diesen Ruf vernommen , war er unter der Hobelbank , wo er auf den Spänen geschlafen hatte , hervorgekommen , hatte süß seine Glieder gereckt und war dann seinem Herrn nachgelaufen . Die Kunden von Luka Alexandritsch wohnten furchtbar weit , so daß dieser , ehe er zu ihnen gelangte , unterwegs mehrere Mal in den Wirtschaften einkehren und sich stärken mußte . Kaschtanka erinnerte sich , daß er sich unterwegs sehr unanständig aufgeführt hatte . Vor Freude , daß man ihn mit spazieren genommen hatte , sprang er umher , stürmte bellend den Pferdebahnwagen nach , lief in die Höfe hinein und tollte mit Hunden umher . Der Tischler verlor ihn immerwährend aus den Augen , blieb stehen und schrie ihn wütend an . Einmal packte er sogar Kaschtanka mit gierigem Gesichtsausdruck am Fuchsohr , zauste ihn und sprach langsam und abgerissen
5-1	Als	O	
5-2	die	O	
5-3	Kreuzung	B-NC	
5-4	von	O	
5-5	Dachs	B-NC	
5-6	und	O	
5-7	Dorfköter	B-NC	
5-8	diesen	O	
5-9	Ruf	B-NC	
5-10	vernommen	O	
5-11	,	O	
5-12	war	O	
5-13	er	O	
