 # webanno.custom.Entity | NC
#id=1
#text=A YOUNG dog , a reddish mongrel , between a dachshund and a " yard - dog , " very like a fox in face , was running up and down the pavement looking uneasily from side to side . From time to time she stopped and , whining and lifting first one chilled paw and then another , tried to make up her mind how it could have happened that she was lost
1-1	A	O	
1-2	YOUNG	B-NC	
1-3	dog	B-NC	
1-4	,	O	
1-5	a	O	
1-6	reddish	O	
1-7	mongrel	B-NC	
1-8	,	O	
1-9	between	O	
1-10	a	O	
1-11	dachshund	B-NC	
1-12	and	O	
1-13	a	O	
1-14	"	O	
1-15	yard	B-NC	
1-16	-	O	
1-17	dog	B-NC	
1-18	,	O	
1-19	"	O	
1-20	very	O	
1-21	like	O	
1-22	a	O	
1-23	fox	B-NC	
1-24	in	O	
1-25	face	B-NC	
1-26	,	O	
1-27	was	O	
1-28	running	O	
1-29	up	O	
1-30	and	O	
1-31	down	O	
1-32	the	O	
1-33	pavement	B-NC	
1-34	looking	O	
1-35	uneasily	O	
1-36	from	O	
1-37	side	B-NC	
1-38	to	O	
1-39	side	B-NC	
1-40	.	O	
1-41	From	O	
1-42	time	B-NC	
1-43	to	O	
1-44	time	B-NC	
1-45	she	O	
1-46	stopped	O	
1-47	and	O	
1-48	,	O	
1-49	whining	O	
1-50	and	O	
1-51	lifting	O	
1-52	first	O	
1-53	one	O	
1-54	chilled	O	
1-55	paw	B-NC	
1-56	and	O	
1-57	then	O	
1-58	another	O	
1-59	,	O	
1-60	tried	O	
1-61	to	O	
1-62	make	O	
1-63	up	O	
1-64	her	O	
1-65	mind	B-NC	
1-66	how	O	
1-67	it	O	
1-68	could	O	
1-69	have	O	
1-70	happened	O	
1-71	that	O	
1-72	she	O	
1-73	was	O	
1-74	lost	O	

#id=2
#text=She remembered very well how she had passed the day , and how , in the end , she had found herself on this unfamiliar pavement
2-1	She	O	
2-2	remembered	O	
2-3	very	O	
2-4	well	O	
2-5	how	O	
2-6	she	O	
2-7	had	O	
2-8	passed	O	
2-9	the	O	
2-10	day	B-NC	
2-11	,	O	
2-12	and	O	
2-13	how	O	
2-14	,	O	
2-15	in	O	
2-16	the	O	
2-17	end	B-NC	
2-18	,	O	
2-19	she	O	
2-20	had	O	
2-21	found	O	
2-22	herself	O	
2-23	on	O	
2-24	this	O	
2-25	unfamiliar	O	
2-26	pavement	B-NC	

#id=3
#text=The day had begun by her master Luka Alexandritch 's putting on his hat , taking something wooden under his arm wrapped up in a red handkerchief , and calling : " Kashtanka , come along !
3-1	The	O	
3-2	day	B-NC	
3-3	had	O	
3-4	begun	O	
3-5	by	O	
3-6	her	O	
3-7	master	B-NC	
3-8	Luka	B-NC	
3-9	Alexandritch	B-NC	
3-10	's	O	
3-11	putting	O	
3-12	on	O	
3-13	his	O	
3-14	hat	B-NC	
3-15	,	O	
3-16	taking	O	
3-17	something	B-NC	
3-18	wooden	O	
3-19	under	O	
3-20	his	O	
3-21	arm	B-NC	
3-22	wrapped	O	
3-23	up	O	
3-24	in	O	
3-25	a	O	
3-26	red	O	
3-27	handkerchief	B-NC	
3-28	,	O	
3-29	and	O	
3-30	calling	O	
3-31	:	O	
3-32	"	O	
3-33	Kashtanka	B-NC	
3-34	,	O	
3-35	come	O	
3-36	along	O	
3-37	!	O	

#id=4
#text=Hearing her name the mongrel had come out from under the work - table , where she slept on the shavings , stretched herself voluptuously and run after her master . The people Luka Alexandritch worked for lived a very long way off , so that , before he could get to any one of them , the carpenter had several times to step into a tavern to fortify himself . Kashtanka remembered that on the way she had behaved extremely improperly . In her delight that she was being taken for a walk she jumped about , dashed barking after the trains , ran into yards , and chased other dogs . The carpenter was continually losing sight of her , stopping , and angrily shouting at her . Once he had even , with an expression of fury in his face , taken her fox - like ear in his fist , smacked her , and said emphatically : " Pla - a - ague take you , you pest !
4-1	Hearing	B-NC	
4-2	her	O	
4-3	name	B-NC	
4-4	the	O	
4-5	mongrel	B-NC	
4-6	had	O	
4-7	come	O	
4-8	out	O	
4-9	from	O	
4-10	under	O	
4-11	the	O	
4-12	work	B-NC	
4-13	-	O	
4-14	table	B-NC	
4-15	,	O	
4-16	where	O	
4-17	she	O	
4-18	slept	O	
4-19	on	O	
4-20	the	O	
4-21	shavings	B-NC	
4-22	,	O	
4-23	stretched	O	
4-24	herself	O	
4-25	voluptuously	O	
4-26	and	O	
4-27	run	O	
4-28	after	O	
4-29	her	O	
4-30	master	B-NC	
4-31	.	O	
4-32	The	O	
4-33	people	B-NC	
4-34	Luka	B-NC	
4-35	Alexandritch	B-NC	
4-36	worked	O	
4-37	for	O	
4-38	lived	O	
4-39	a	O	
4-40	very	O	
4-41	long	O	
4-42	way	B-NC	
4-43	off	O	
4-44	,	O	
4-45	so	O	
4-46	that	O	
4-47	,	O	
4-48	before	O	
4-49	he	O	
4-50	could	O	
4-51	get	O	
4-52	to	O	
4-53	any	O	
4-54	one	O	
4-55	of	O	
4-56	them	O	
4-57	,	O	
4-58	the	O	
4-59	carpenter	B-NC	
4-60	had	O	
4-61	several	O	
4-62	times	B-NC	
4-63	to	O	
4-64	step	O	
4-65	into	O	
4-66	a	O	
4-67	tavern	B-NC	
4-68	to	O	
4-69	fortify	O	
4-70	himself	O	
4-71	.	O	
4-72	Kashtanka	B-NC	
4-73	remembered	O	
