 # webanno.custom.Entity | NC
#id=1
#text=A clementine ( Citrus ×clementina ) is a hybrid between a mandarin and a sweet orange , so named in 1902 . [ 1 ] The exterior is a deep orange colour with a smooth , glossy appearance . Clementines can be separated into 7 to 14 segments . They tend to be very easy to peel , like a tangerine , but are almost always seedless when grown commercially ( unfertilized ) . For this reason they are sometimes known as seedless tangerines ; the clementine is also occasionally referred to as the Moroccan clementine . [ 2 ] They are typically juicy and sweet , with less acid than oranges . [ 1 ] Their oils , like other citrus fruits , contain mostly limonene as well as myrcene , linalool , α-pinene and many complex aromatics . [ 3 ] It is called Cantra in India A clementine ( Citrus ×clementina ) is a hybrid between a mandarin and a sweet orange , so named in 1902 . [ 1 ] The exterior is a deep orange colour with a smooth , glossy appearance . Clementines can be separated into 7 to 14 segments . They tend to be very easy to peel , like a tangerine , but are almost always seedless when grown commercially ( unfertilized ) . For this reason they are sometimes known as seedless tangerines ; the clementine is also occasionally referred to as the Moroccan clementine . [ 2 ] They are typically juicy and sweet , with less acid than oranges . [ 1 ] Their oils , like other citrus fruits , contain mostly limonene as well as myrcene , linalool , α-pinene and many complex aromatics . [ 3 ] It is called Cantra in India
1-1	A	O	
1-2	clementine	B-NC	
1-3	(	O	
1-4	Citrus	B-NC	
1-5	×clementina	I-NC	
1-6	)	O	
1-7	is	O	
1-8	a	O	
1-9	hybrid	B-NC	
1-10	between	O	
1-11	a	O	
1-12	mandarin	B-NC	
1-13	and	O	
1-14	a	O	
1-15	sweet	O	
1-16	orange	B-NC	
1-17	,	O	
1-18	so	O	
1-19	named	O	
1-20	in	O	
1-21	1902	O	
1-22	.	O	
1-23	[	O	
1-24	1	O	
1-25	]	O	
1-26	The	O	
1-27	exterior	B-NC	
1-28	is	O	
1-29	a	O	
1-30	deep	O	
1-31	orange	O	
1-32	colour	B-NC	
1-33	with	O	
1-34	a	O	
1-35	smooth	O	
1-36	,	O	
1-37	glossy	O	
1-38	appearance	B-NC	
1-39	.	O	
1-40	Clementines	B-NC	
1-41	can	O	
1-42	be	O	
1-43	separated	O	
1-44	into	O	
1-45	7	O	
1-46	to	O	
1-47	14	O	
1-48	segments	B-NC	
1-49	.	O	
1-50	They	O	
1-51	tend	O	
1-52	to	O	
1-53	be	O	
1-54	very	O	
1-55	easy	O	
1-56	to	O	
1-57	peel	O	
1-58	,	O	
1-59	like	O	
1-60	a	O	
1-61	tangerine	B-NC	
1-62	,	O	
1-63	but	O	
1-64	are	O	
1-65	almost	O	
1-66	always	O	
1-67	seedless	O	
1-68	when	O	
1-69	grown	O	
1-70	commercially	O	
1-71	(	O	
1-72	unfertilized	O	
1-73	)	O	
1-74	.	O	
1-75	For	O	
1-76	this	O	
1-77	reason	B-NC	
1-78	they	O	
1-79	are	O	
1-80	sometimes	O	
1-81	known	O	
1-82	as	O	
1-83	seedless	O	
1-84	tangerines	B-NC	
1-85	;	O	
1-86	the	O	
1-87	clementine	B-NC	
1-88	is	O	
1-89	also	O	
1-90	occasionally	O	
1-91	referred	O	
1-92	to	O	
1-93	as	O	
1-94	the	O	
1-95	Moroccan	O	
1-96	clementine	B-NC	
1-97	.	O	
1-98	[	O	
1-99	2	O	
1-100	]	O	
1-101	They	O	
1-102	are	O	
1-103	typically	O	
1-104	juicy	O	
1-105	and	O	
1-106	sweet	O	
1-107	,	O	
1-108	with	O	
1-109	less	O	
1-110	acid	B-NC	
1-111	than	O	
1-112	oranges	B-NC	
1-113	.	O	
1-114	[	O	
1-115	1	O	
1-116	]	O	
1-117	Their	O	
1-118	oils	B-NC	
1-119	,	O	
1-120	like	O	
1-121	other	O	
1-122	citrus	O	
1-123	fruits	B-NC	
1-124	,	O	
1-125	contain	O	
1-126	mostly	O	
1-127	limonene	B-NC	
1-128	as	O	
1-129	well	O	
1-130	as	O	
1-131	myrcene	B-NC	
1-132	,	O	
1-133	linalool	B-NC	
1-134	,	O	
1-135	α-pinene	B-NC	
1-136	and	O	
1-137	many	O	
1-138	complex	O	
1-139	aromatics	B-NC	
1-140	.	O	
1-141	[	O	
1-142	3	O	
1-143	]	O	
1-144	It	O	
1-145	is	O	
1-146	called	O	
1-147	Cantra	B-NC	
1-148	in	O	
1-149	India	B-NC	
1-150	A	O	
1-151	clementine	B-NC	
1-152	(	O	
1-153	Citrus	B-NC	
1-154	×clementina	I-NC	
1-155	)	O	
1-156	is	O	
1-157	a	O	
1-158	hybrid	B-NC	
1-159	between	O	
1-160	a	O	
1-161	mandarin	B-NC	
1-162	and	O	
1-163	a	O	
1-164	sweet	O	
1-165	orange	B-NC	
1-166	,	O	
1-167	so	O	
1-168	named	O	
1-169	in	O	
1-170	1902	O	
1-171	.	O	
1-172	[	O	
1-173	1	O	
1-174	]	O	
1-175	The	O	
1-176	exterior	B-NC	
1-177	is	O	
1-178	a	O	
1-179	deep	O	
1-180	orange	O	
1-181	colour	B-NC	
1-182	with	O	
1-183	a	O	
1-184	smooth	O	
1-185	,	O	
1-186	glossy	O	
1-187	appearance	B-NC	
1-188	.	O	
1-189	Clementines	B-NC	
1-190	can	O	
1-191	be	O	
1-192	separated	O	
1-193	into	O	
1-194	7	O	
1-195	to	O	
1-196	14	O	
1-197	segments	B-NC	
1-198	.	O	
1-199	They	O	
1-200	tend	O	
1-201	to	O	
1-202	be	O	
1-203	very	O	
1-204	easy	O	
1-205	to	O	
1-206	peel	O	
1-207	,	O	
1-208	like	O	
1-209	a	O	
1-210	tangerine	B-NC	
1-211	,	O	
1-212	but	O	
1-213	are	O	
1-214	almost	O	
1-215	always	O	
1-216	seedless	O	
1-217	when	O	
1-218	grown	O	
1-219	commercially	O	
1-220	(	O	
1-221	unfertilized	O	
1-222	)	O	
1-223	.	O	
1-224	For	O	
1-225	this	O	
1-226	reason	B-NC	
1-227	they	O	
1-228	are	O	
1-229	sometimes	O	
1-230	known	O	
1-231	as	O	
1-232	seedless	O	
1-233	tangerines	B-NC	
1-234	;	O	
1-235	the	O	
1-236	clementine	B-NC	
1-237	is	O	
1-238	also	O	
1-239	occasionally	O	
1-240	referred	O	
1-241	to	O	
1-242	as	O	
1-243	the	O	
1-244	Moroccan	O	
1-245	clementine	B-NC	
1-246	.	O	
1-247	[	O	
1-248	2	O	
1-249	]	O	
1-250	They	O	
1-251	are	O	
1-252	typically	O	
1-253	juicy	O	
1-254	and	O	
1-255	sweet	O	
1-256	,	O	
1-257	with	O	
1-258	less	O	
1-259	acid	B-NC	
1-260	than	O	
1-261	oranges	B-NC	
1-262	.	O	
1-263	[	O	
1-264	1	O	
1-265	]	O	
1-266	Their	O	
1-267	oils	B-NC	
1-268	,	O	
1-269	like	O	
1-270	other	O	
1-271	citrus	O	
1-272	fruits	B-NC	
1-273	,	O	
1-274	contain	O	
1-275	mostly	O	
1-276	limonene	B-NC	
1-277	as	O	
1-278	well	O	
1-279	as	O	
