 # webanno.custom.Entity | NC
#id=1
#text=Дуриан цибетиновый ( лат . Durio zibethinus ) — тропическое дерево семейства Мальвовые , плод которого — фрукт знаменитый как своим вкусом , так и запахом . Название durian пришло из Малайзии от слова duri(шип ) с суффиксом - ан[2 ] . В Малайзии можно встретить более 30 разновидностей этого растения , 9 из которых съедобны
1-1	Дуриан	B-NC	
1-2	цибетиновый	O	
1-3	(	O	
1-4	лат	O	
1-5	.	O	
1-6	Durio	O	
1-7	zibethinus	O	
1-8	)	O	
1-9	—	O	
1-10	тропическое	O	
1-11	дерево	B-NC	
1-12	семейства	B-NC	
1-13	Мальвовые	O	
1-14	,	O	
1-15	плод	B-NC	
1-16	которого	O	
1-17	—	O	
1-18	фрукт	B-NC	
1-19	знаменитый	O	
1-20	как	O	
1-21	своим	O	
1-22	вкусом	B-NC	
1-23	,	O	
1-24	так	O	
1-25	и	O	
1-26	запахом	B-NC	
1-27	.	O	
1-28	Название	B-NC	
1-29	durian	O	
1-30	пришло	O	
1-31	из	O	
1-32	Малайзии	B-NC	
1-33	от	O	
1-34	слова	B-NC	
1-35	duri(шип	O	
1-36	)	O	
1-37	с	O	
1-38	суффиксом	B-NC	
1-39	-	O	
1-40	ан[2	O	
1-41	]	O	
1-42	.	O	
1-43	В	O	
1-44	Малайзии	B-NC	
1-45	можно	O	
1-46	встретить	O	
1-47	более	O	
1-48	30	O	
1-49	разновидностей	B-NC	
1-50	этого	O	
1-51	растения	B-NC	
1-52	,	O	
1-53	9	O	
1-54	из	O	
1-55	которых	O	
1-56	съедобны	O	

#id=2
#text=Родина — Юго - Восточная Азия . Выращивается в Индокитае , Малайзии , Индонезии , Индии , на Шри - Ланке , Филиппинах , а также в Африке и Бразилии . В Юго - Восточной Азии его называют «королём фруктов» . Культивируется в этих странах уже более 600 лет . Британский натуралист Альфред Рассел Уоллес , знаменитый писатель , говорит о мякоти плода и о запахе миндаля от дуриана . Мякоть используют на различной стадии зрелости в кухнях Юго - Восточной Азии . Семена тоже употребляют в пищу в качестве приправы . В магазинах можно встретить только разновидность Durio zibethinus . Другие виды продают только в странах Юго - Восточной Азии . Там возделывается более сотни растений , которые имеют общее имя и кодовый номер с префиксом «D» . Разновидность Durio zibethinus культивируется в больших масштабах за необычную форму деревьев , разнообразие фруктов и цветов
2-1	Родина	B-NC	
2-2	—	O	
2-3	Юго	O	
2-4	-	O	
2-5	Восточная	O	
2-6	Азия	B-NC	
2-7	.	O	
2-8	Выращивается	O	
2-9	в	O	
2-10	Индокитае	B-NC	
2-11	,	O	
2-12	Малайзии	B-NC	
2-13	,	O	
2-14	Индонезии	B-NC	
2-15	,	O	
2-16	Индии	B-NC	
2-17	,	O	
2-18	на	O	
2-19	Шри	B-NC	
2-20	-	O	
2-21	Ланке	B-NC	
2-22	,	O	
2-23	Филиппинах	B-NC	
2-24	,	O	
2-25	а	O	
2-26	также	O	
2-27	в	O	
2-28	Африке	B-NC	
2-29	и	O	
2-30	Бразилии	B-NC	
2-31	.	O	
2-32	В	O	
2-33	Юго	O	
2-34	-	O	
2-35	Восточной	O	
2-36	Азии	B-NC	
2-37	его	O	
2-38	называют	O	
2-39	«королём	O	
2-40	фруктов»	B-NC	
2-41	.	O	
2-42	Культивируется	O	
2-43	в	O	
2-44	этих	O	
2-45	странах	B-NC	
2-46	уже	O	
2-47	более	O	
2-48	600	O	
2-49	лет	B-NC	
2-50	.	O	
2-51	Британский	O	
2-52	натуралист	B-NC	
2-53	Альфред	B-NC	
2-54	Рассел	B-NC	
2-55	Уоллес	B-NC	
2-56	,	O	
2-57	знаменитый	O	
2-58	писатель	B-NC	
2-59	,	O	
2-60	говорит	O	
2-61	о	O	
2-62	мякоти	B-NC	
2-63	плода	B-NC	
2-64	и	O	
2-65	о	O	
2-66	запахе	B-NC	
2-67	миндаля	B-NC	
2-68	от	O	
2-69	дуриана	B-NC	
2-70	.	O	
2-71	Мякоть	B-NC	
2-72	используют	O	
2-73	на	O	
2-74	различной	O	
2-75	стадии	B-NC	
2-76	зрелости	B-NC	
2-77	в	O	
2-78	кухнях	B-NC	
2-79	Юго	O	
2-80	-	O	
2-81	Восточной	O	
2-82	Азии	B-NC	
2-83	.	O	
2-84	Семена	B-NC	
2-85	тоже	O	
2-86	употребляют	O	
2-87	в	O	
2-88	пищу	B-NC	
2-89	в	O	
2-90	качестве	B-NC	
2-91	приправы	B-NC	
2-92	.	O	
2-93	В	O	
2-94	магазинах	B-NC	
2-95	можно	O	
2-96	встретить	O	
2-97	только	O	
2-98	разновидность	B-NC	
2-99	Durio	O	
2-100	zibethinus	O	
2-101	.	O	
2-102	Другие	O	
2-103	виды	B-NC	
2-104	продают	O	
2-105	только	O	
2-106	в	O	
2-107	странах	B-NC	
2-108	Юго	O	
2-109	-	O	
2-110	Восточной	O	
2-111	Азии	B-NC	
2-112	.	O	
2-113	Там	O	
2-114	возделывается	O	
2-115	более	O	
2-116	сотни	B-NC	
2-117	растений	B-NC	
2-118	,	O	
2-119	которые	O	
2-120	имеют	O	
2-121	общее	O	
2-122	имя	B-NC	
2-123	и	O	
2-124	кодовый	O	
2-125	номер	B-NC	
2-126	с	O	
2-127	префиксом	B-NC	
2-128	«D»	O	
2-129	.	O	
2-130	Разновидность	B-NC	
2-131	Durio	O	
2-132	zibethinus	O	
2-133	культивируется	O	
