 # webanno.custom.Entity | NC
#id=1
#text=1 . Пальцы — части тела четвероногих позвоночных ( необязательно ) , расположенные на концах конечностей и служащие , в основном , для осязания и манипуляции ( особенно у приматов)[1 ] . У птиц пальцы передних конечностей служат частью каркаса крыльев , а у рукокрылых они являются его основной частью
1-1	1	O	
1-2	.	O	
1-3	Пальцы	B-NC	
1-4	—	O	
1-5	части	B-NC	
1-6	тела	B-NC	
1-7	четвероногих	O	
1-8	позвоночных	B-NC	
1-9	(	O	
1-10	необязательно	O	
1-11	)	O	
1-12	,	O	
1-13	расположенные	O	
1-14	на	O	
1-15	концах	B-NC	
1-16	конечностей	B-NC	
1-17	и	O	
1-18	служащие	B-NC	
1-19	,	O	
1-20	в	O	
1-21	основном	B-NC	
1-22	,	O	
1-23	для	O	
1-24	осязания	B-NC	
1-25	и	O	
1-26	манипуляции	B-NC	
1-27	(	O	
1-28	особенно	O	
1-29	у	O	
1-30	приматов)[1	B-NC	
1-31	]	O	
1-32	.	O	
1-33	У	O	
1-34	птиц	B-NC	
1-35	пальцы	B-NC	
1-36	передних	O	
1-37	конечностей	B-NC	
1-38	служат	O	
1-39	частью	B-NC	
1-40	каркаса	B-NC	
1-41	крыльев	B-NC	
1-42	,	O	
1-43	а	O	
1-44	у	O	
1-45	рукокрылых	B-NC	
1-46	они	O	
1-47	являются	O	
1-48	его	O	
1-49	основной	O	
1-50	частью	B-NC	

#id=2
#text=2 . Пальцы ( англ . digits ) — трубчатые кутикулярные придатки , расположенные на концах ножек морских тихоходок семейств Halechiniscidae , Batillipedidae , Renaudarctidae и Neostygarctidae ( класс Heterotardigrada , отряд Arthrotardigrada ) , оканчивающиеся коготками или «присосками» ( адгезивными придатками )
2-1	2	O	
2-2	.	O	
2-3	Пальцы	B-NC	
2-4	(	O	
2-5	англ	O	
2-6	.	O	
2-7	digits	O	
2-8	)	O	
2-9	—	O	
2-10	трубчатые	O	
2-11	кутикулярные	O	
2-12	придатки	B-NC	
2-13	,	O	
2-14	расположенные	O	
2-15	на	O	
2-16	концах	B-NC	
2-17	ножек	B-NC	
2-18	морских	O	
2-19	тихоходок	O	
2-20	семейств	B-NC	
2-21	Halechiniscidae	O	
2-22	,	O	
2-23	Batillipedidae	O	
2-24	,	O	
2-25	Renaudarctidae	O	
2-26	и	O	
2-27	Neostygarctidae	O	
2-28	(	O	
2-29	класс	B-NC	
2-30	Heterotardigrada	O	
2-31	,	O	
2-32	отряд	B-NC	
2-33	Arthrotardigrada	O	
2-34	)	O	
2-35	,	O	
2-36	оканчивающиеся	O	
2-37	коготками	B-NC	
2-38	или	O	
2-39	«присосками»	O	
2-40	(	O	
2-41	адгезивными	O	
2-42	придатками	B-NC	
2-43	)	O	

