 # webanno.custom.Entity | NC
#id=1
#text=Évariste Gamelin , painter , pupil of David , member of the Section du Pont - Neuf , formerly Section Henri IV , had betaken himself at an early hour in the morning to the old church of the Barnabites , which for three years , since 21st May 1790 , had served as meeting - place for the General Assembly of the Section . The church stood in a narrow , gloomy square , not far from the gates of the Palais de Justice . On the façade , which consisted of two of the Classical orders superimposed and was decorated with inverted brackets and flaming urns , blackened by the weather and disfigured by the hand of man , the religious emblems had been battered to pieces , while above the doorway had been inscribed in black letters the Republican catchword of " Liberty , Equality , Fraternity or Death . " Évariste Gamelin made his way into the nave ; the same vaults which had heard the surpliced clerks of the Congregation of St. Paul sing the divine offices , now looked down on red - capped patriots assembled to elect the Municipal magistrates and deliberate on the affairs of the Section . The Saints had been dragged from their niches and replaced by the busts of Brutus , Jean - Jacques and Le Peltier . The altar had been stripped bare and was surmounted by the Table of the Rights of Man
1-1	Évariste	B-NC	
1-2	Gamelin	B-NC	
1-3	,	O	
1-4	painter	B-NC	
1-5	,	O	
1-6	pupil	B-NC	
1-7	of	O	
1-8	David	B-NC	
1-9	,	O	
1-10	member	B-NC	
1-11	of	O	
1-12	the	O	
1-13	Section	B-NC	
1-14	du	B-NC	
1-15	Pont	B-NC	
1-16	-	O	
1-17	Neuf	B-NC	
1-18	,	O	
1-19	formerly	O	
1-20	Section	B-NC	
1-21	Henri	B-NC	
1-22	IV	B-NC	
1-23	,	O	
1-24	had	O	
1-25	betaken	O	
1-26	himself	O	
1-27	at	O	
1-28	an	O	
1-29	early	O	
1-30	hour	B-NC	
1-31	in	O	
1-32	the	O	
1-33	morning	B-NC	
1-34	to	O	
1-35	the	O	
1-36	old	O	
1-37	church	B-NC	
1-38	of	O	
1-39	the	O	
1-40	Barnabites	B-NC	
1-41	,	O	
1-42	which	O	
1-43	for	O	
1-44	three	O	
1-45	years	B-NC	
1-46	,	O	
1-47	since	O	
1-48	21st	O	
1-49	May	B-NC	
1-50	1790	O	
1-51	,	O	
1-52	had	O	
1-53	served	O	
1-54	as	O	
1-55	meeting	B-NC	
1-56	-	O	
1-57	place	B-NC	
1-58	for	O	
1-59	the	O	
1-60	General	B-NC	
1-61	Assembly	B-NC	
1-62	of	O	
1-63	the	O	
1-64	Section	B-NC	
1-65	.	O	
1-66	The	O	
1-67	church	B-NC	
1-68	stood	O	
1-69	in	O	
1-70	a	O	
1-71	narrow	O	
1-72	,	O	
1-73	gloomy	O	
1-74	square	B-NC	
1-75	,	O	
1-76	not	O	
1-77	far	O	
1-78	from	O	
1-79	the	O	
1-80	gates	B-NC	
1-81	of	O	
1-82	the	O	
1-83	Palais	B-NC	
1-84	de	B-NC	
1-85	Justice	B-NC	
1-86	.	O	
1-87	On	O	
1-88	the	O	
1-89	façade	B-NC	
1-90	,	O	
1-91	which	O	
1-92	consisted	O	
1-93	of	O	
1-94	two	O	
1-95	of	O	
1-96	the	O	
1-97	Classical	O	
1-98	orders	B-NC	
1-99	superimposed	O	
1-100	and	O	
1-101	was	O	
1-102	decorated	O	
1-103	with	O	
1-104	inverted	O	
1-105	brackets	B-NC	
1-106	and	O	
1-107	flaming	O	
1-108	urns	B-NC	
1-109	,	O	
1-110	blackened	O	
1-111	by	O	
1-112	the	O	
1-113	weather	B-NC	
1-114	and	O	
1-115	disfigured	O	
1-116	by	O	
1-117	the	O	
1-118	hand	B-NC	
1-119	of	O	
1-120	man	B-NC	
1-121	,	O	
1-122	the	O	
1-123	religious	O	
1-124	emblems	B-NC	
1-125	had	O	
1-126	been	O	
1-127	battered	O	
1-128	to	O	
1-129	pieces	B-NC	
1-130	,	O	
1-131	while	O	
1-132	above	O	
1-133	the	O	
1-134	doorway	B-NC	
1-135	had	O	
1-136	been	O	
