 # webanno.custom.Entity | NC
#id=1
#text=Tōkyō ( Japan ) , 14.03.2011 – Das infolge des Seebebens nordöstlich von Tōkyō mit der inzwischen von der USGS nach oben korrigierten Magnitude von 9,0 am Freitag beschädigte Kernkraftwerk Fukushima I in Ōkuma ist offenbar außer Kontrolle geraten . Das Reaktorgebäude von Block 1 wurde am Samstag durch eine Explosion schwer beschädigt , ebenso das von Block 2 am Montag . Die Regierung sprach von einer „ nie dagewesenen Katastrophe “ . Die japanische Regierung hat allerdings Gerüchte über eine Kernschmelze in dem Kernkraftwerk dementiert . Die Atomaufsichtbehörde geht von der Gefahr einer Kernschmelze aus . Regierungssprecher Edano stellte klar , man wisse nicht , ob es dazu gekommen sei . Da der Prozess im Innersten des Reaktors ablaufe , könne man nicht in ihn hineinsehen , ergänzte er
1-1	Tōkyō	B-NC	
1-2	(	O	
1-3	Japan	B-NC	
1-4	)	O	
1-5	,	O	
1-6	14.03.2011	O	
1-7	–	O	
1-8	Das	O	
1-9	infolge	O	
1-10	des	O	
1-11	Seebebens	B-NC	
1-12	nordöstlich	O	
1-13	von	O	
1-14	Tōkyō	B-NC	
1-15	mit	O	
1-16	der	O	
1-17	inzwischen	O	
1-18	von	O	
1-19	der	O	
1-20	USGS	B-NC	
1-21	nach	O	
1-22	oben	O	
1-23	korrigierten	O	
1-24	Magnitude	B-NC	
1-25	von	O	
1-26	9,0	O	
1-27	am	O	
1-28	Freitag	B-NC	
1-29	beschädigte	O	
1-30	Kernkraftwerk	B-NC	
1-31	Fukushima	B-NC	
1-32	I	B-NC	
1-33	in	O	
1-34	Ōkuma	B-NC	
1-35	ist	O	
1-36	offenbar	O	
1-37	außer	O	
1-38	Kontrolle	B-NC	
1-39	geraten	O	
1-40	.	O	
1-41	Das	O	
1-42	Reaktorgebäude	B-NC	
1-43	von	O	
1-44	Block	B-NC	
1-45	1	O	
1-46	wurde	O	
1-47	am	O	
1-48	Samstag	B-NC	
1-49	durch	O	
1-50	eine	O	
1-51	Explosion	B-NC	
1-52	schwer	O	
1-53	beschädigt	O	
1-54	,	O	
1-55	ebenso	O	
1-56	das	O	
1-57	von	O	
1-58	Block	B-NC	
1-59	2	O	
1-60	am	O	
1-61	Montag	B-NC	
1-62	.	O	
1-63	Die	O	
1-64	Regierung	B-NC	
1-65	sprach	O	
1-66	von	O	
1-67	einer	O	
1-68	„	O	
1-69	nie	O	
1-70	dagewesenen	O	
1-71	Katastrophe	B-NC	
1-72	“	O	
1-73	.	O	
1-74	Die	O	
1-75	japanische	O	
1-76	Regierung	B-NC	
1-77	hat	O	
1-78	allerdings	O	
1-79	Gerüchte	B-NC	
1-80	über	O	
1-81	eine	O	
1-82	Kernschmelze	B-NC	
1-83	in	O	
1-84	dem	O	
1-85	Kernkraftwerk	B-NC	
1-86	dementiert	O	
1-87	.	O	
1-88	Die	O	
1-89	Atomaufsichtbehörde	B-NC	
1-90	geht	O	
1-91	von	O	
1-92	der	O	
1-93	Gefahr	B-NC	
1-94	einer	O	
1-95	Kernschmelze	B-NC	
1-96	aus	O	
1-97	.	O	
1-98	Regierungssprecher	B-NC	
1-99	Edano	B-NC	
1-100	stellte	O	
1-101	klar	O	
1-102	,	O	
1-103	man	O	
1-104	wisse	O	
1-105	nicht	O	
1-106	,	O	
1-107	ob	O	
1-108	es	O	
1-109	dazu	O	
1-110	gekommen	O	
1-111	sei	O	
1-112	.	O	
1-113	Da	O	
1-114	der	O	
1-115	Prozess	B-NC	
1-116	im	O	
1-117	Innersten	B-NC	
1-118	des	O	
1-119	Reaktors	B-NC	
1-120	ablaufe	O	
1-121	,	O	
1-122	könne	O	
1-123	man	O	
1-124	nicht	O	
1-125	in	O	
1-126	ihn	O	
1-127	hineinsehen	O	
1-128	,	O	
1-129	ergänzte	O	
1-130	er	O	

#id=2
