 # webanno.custom.Entity | NC
#id=1
#text=Японские власти намерены объявить некоторые территории , расположенные вблизи аварийной АЭС «Фукусима-1» , полностью закрытыми для людей даже после ликвидации последствий аварии на станции . Причина такого решения — в высоком количестве радиоактивных веществ , попавших в окружающую среду . Как сообщает РБК , в зоне отчуждения появятся сразу два закрытых города : Футаба и Окума — общей численностью населения около 18 тыс . человек , расположены всего в 3 км от АЭС
1-1	Японские	O	
1-2	власти	B-NC	
1-3	намерены	O	
1-4	объявить	O	
1-5	некоторые	O	
1-6	территории	B-NC	
1-7	,	O	
1-8	расположенные	O	
1-9	вблизи	O	
1-10	аварийной	O	
1-11	АЭС	B-NC	
1-12	«Фукусима-1»	O	
1-13	,	O	
1-14	полностью	O	
1-15	закрытыми	O	
1-16	для	O	
1-17	людей	B-NC	
1-18	даже	O	
1-19	после	O	
1-20	ликвидации	B-NC	
1-21	последствий	B-NC	
1-22	аварии	B-NC	
1-23	на	O	
1-24	станции	B-NC	
1-25	.	O	
1-26	Причина	B-NC	
1-27	такого	O	
1-28	решения	B-NC	
1-29	—	O	
1-30	в	O	
1-31	высоком	O	
1-32	количестве	B-NC	
1-33	радиоактивных	O	
1-34	веществ	B-NC	
1-35	,	O	
1-36	попавших	O	
1-37	в	O	
1-38	окружающую	O	
1-39	среду	B-NC	
1-40	.	O	
1-41	Как	O	
1-42	сообщает	O	
1-43	РБК	B-NC	
1-44	,	O	
1-45	в	O	
1-46	зоне	B-NC	
1-47	отчуждения	B-NC	
1-48	появятся	O	
1-49	сразу	O	
1-50	два	O	
1-51	закрытых	O	
1-52	города	B-NC	
1-53	:	O	
1-54	Футаба	B-NC	
1-55	и	O	
1-56	Окума	B-NC	
1-57	—	O	
1-58	общей	O	
1-59	численностью	B-NC	
1-60	населения	B-NC	
1-61	около	O	
1-62	18	O	
1-63	тыс	B-NC	
1-64	.	O	
1-65	человек	B-NC	
1-66	,	O	
1-67	расположены	O	
1-68	всего	O	
1-69	в	O	
1-70	3	O	
1-71	км	B-NC	
1-72	от	O	
1-73	АЭС	B-NC	

#id=2
#text=Министр по делам ликвидации аварии на АЭС Японии Госи Хосоно заявил , что в сентябре 2011 года в 20-километровой зоне отчуждения вокруг атомной станции «Фукусима-1» начнут проводиться полномасштабные меры по дезактивации региона . Спасатели намерены очистить зону от радиоактивных материалов , снять верхний слой земли , чтобы в будущем японцы могли вернуться в брошенные дома . В январе 2012 года должна завершиться вторая стадия работ по охлаждению повреждённых ядерных реакторов
2-1	Министр	B-NC	
2-2	по	O	
2-3	делам	B-NC	
2-4	ликвидации	B-NC	
2-5	аварии	B-NC	
2-6	на	O	
2-7	АЭС	B-NC	
2-8	Японии	B-NC	
2-9	Госи	B-NC	
2-10	Хосоно	B-NC	
2-11	заявил	O	
2-12	,	O	
2-13	что	O	
2-14	в	O	
2-15	сентябре	B-NC	
2-16	2011	O	
2-17	года	B-NC	
2-18	в	O	
2-19	20-километровой	O	
2-20	зоне	B-NC	
2-21	отчуждения	B-NC	
2-22	вокруг	O	
2-23	атомной	O	
2-24	станции	B-NC	
2-25	«Фукусима-1»	O	
2-26	начнут	O	
2-27	проводиться	O	
2-28	полномасштабные	O	
2-29	меры	B-NC	
2-30	по	O	
2-31	дезактивации	B-NC	
2-32	региона	B-NC	
2-33	.	O	
2-34	Спасатели	B-NC	
2-35	намерены	O	
2-36	очистить	O	
2-37	зону	B-NC	
2-38	от	O	
2-39	радиоактивных	O	
2-40	материалов	B-NC	
2-41	,	O	
2-42	снять	O	
2-43	верхний	O	
2-44	слой	B-NC	
2-45	земли	B-NC	
2-46	,	O	
2-47	чтобы	O	
2-48	в	O	
2-49	будущем	B-NC	
2-50	японцы	B-NC	
2-51	могли	O	
2-52	вернуться	O	
2-53	в	O	
2-54	брошенные	O	
2-55	дома	B-NC	
2-56	.	O	
2-57	В	O	
2-58	январе	B-NC	
2-59	2012	O	
2-60	года	B-NC	
2-61	должна	O	
2-62	завершиться	O	
2-63	вторая	O	
2-64	стадия	B-NC	
2-65	работ	B-NC	
2-66	по	O	
2-67	охлаждению	B-NC	
2-68	повреждённых	O	
2-69	ядерных	O	
2-70	реакторов	B-NC	

#id=3
#text=Напомним , ещё в начале августа сотрудники компании — оператора станции Tokyo Electric Power Co зафиксировали самый высокий уровень радиоактивного фона с момента мартовского землетрясения . В туннеле , соединяющем первый и второй энергоблоки АЭС , уровень радиации составил более 10 000 миллизивертов в час . Кроме того , в подвальном помещении «Фукусимы-1» 1 августа было обнаружено около 700 тонн высокорадиоактивной воды , содержащей 19 тыс . беккерелей радиоактивного цезия-134 на кубический сантиметр и 22 тыс . беккерелей цезия-137 на кубический сантиметр . Спасатели работают над предотвращением попадания воды за пределы станции
3-1	Напомним	O	
3-2	,	O	
3-3	ещё	B-NC	
3-4	в	O	
3-5	начале	B-NC	
3-6	августа	B-NC	
3-7	сотрудники	B-NC	
3-8	компании	B-NC	
3-9	—	O	
3-10	оператора	B-NC	
3-11	станции	B-NC	
3-12	Tokyo	O	
3-13	Electric	O	
3-14	Power	O	
3-15	Co	O	
3-16	зафиксировали	O	
3-17	самый	O	
3-18	высокий	O	
3-19	уровень	B-NC	
3-20	радиоактивного	O	
3-21	фона	B-NC	
3-22	с	O	
3-23	момента	B-NC	
3-24	мартовского	O	
3-25	землетрясения	B-NC	
3-26	.	O	
3-27	В	O	
3-28	туннеле	B-NC	
3-29	,	O	
3-30	соединяющем	O	
3-31	первый	O	
3-32	и	O	
3-33	второй	O	
3-34	энергоблоки	B-NC	
3-35	АЭС	B-NC	
3-36	,	O	
3-37	уровень	B-NC	
3-38	радиации	B-NC	
3-39	составил	O	
3-40	более	O	
3-41	10	O	
3-42	000	O	
3-43	миллизивертов	B-NC	
3-44	в	O	
3-45	час	B-NC	
3-46	.	O	
3-47	Кроме	O	
3-48	того	O	
3-49	,	O	
3-50	в	O	
3-51	подвальном	O	
3-52	помещении	B-NC	
3-53	«Фукусимы-1»	O	
3-54	1	O	
3-55	августа	B-NC	
3-56	было	O	
3-57	обнаружено	O	
3-58	около	O	
3-59	700	O	
3-60	тонн	B-NC	
3-61	высокорадиоактивной	O	
3-62	воды	B-NC	
3-63	,	O	
3-64	содержащей	O	
3-65	19	O	
3-66	тыс	B-NC	
3-67	.	O	
3-68	беккерелей	B-NC	
3-69	радиоактивного	O	
3-70	цезия-134	B-NC	
3-71	на	O	
3-72	кубический	O	
3-73	сантиметр	B-NC	
3-74	и	O	
3-75	22	O	
3-76	тыс	B-NC	
3-77	.	O	
3-78	беккерелей	B-NC	
3-79	цезия-137	O	
3-80	на	O	
3-81	кубический	O	
3-82	сантиметр	B-NC	
3-83	.	O	
3-84	Спасатели	B-NC	
3-85	работают	O	
3-86	над	O	
3-87	предотвращением	B-NC	
3-88	попадания	B-NC	
3-89	воды	B-NC	
3-90	за	O	
3-91	пределы	B-NC	
3-92	станции	B-NC	

