 # webanno.custom.Entity | NC
#id=1
#text=Einmal im Herbst begab es sich , daß ich mich in einer sehr unangenehmen und unbequemen Lage befand : in einer Stadt , in der ich eben erst angekommen war und keinen einzigen Bekannten besaß , sah ich mich plötzlich ohne einen Groschen in der Tasche und ohne Wohnung
1-1	Einmal	O	
1-2	im	O	
1-3	Herbst	B-NC	
1-4	begab	O	
1-5	es	O	
1-6	sich	O	
1-7	,	O	
1-8	daß	O	
1-9	ich	O	
1-10	mich	O	
1-11	in	O	
1-12	einer	O	
1-13	sehr	O	
1-14	unangenehmen	O	
1-15	und	O	
1-16	unbequemen	O	
1-17	Lage	B-NC	
1-18	befand	O	
1-19	:	O	
1-20	in	O	
1-21	einer	O	
1-22	Stadt	B-NC	
1-23	,	O	
1-24	in	O	
1-25	der	O	
1-26	ich	O	
1-27	eben	O	
1-28	erst	O	
1-29	angekommen	O	
1-30	war	O	
1-31	und	O	
1-32	keinen	O	
1-33	einzigen	O	
1-34	Bekannten	B-NC	
1-35	besaß	O	
1-36	,	O	
1-37	sah	O	
1-38	ich	O	
1-39	mich	O	
1-40	plötzlich	O	
1-41	ohne	O	
1-42	einen	O	
1-43	Groschen	B-NC	
1-44	in	O	
1-45	der	O	
1-46	Tasche	B-NC	
1-47	und	O	
1-48	ohne	O	
1-49	Wohnung	B-NC	

#id=2
#text=Nachdem ich in den ersten Tagen von meiner Kleidung alles verkauft hatte , was zu entbehren möglich war , begab ich mich aus der Stadt nach der Gegend »Münde« genannt , wo sich Dampferanlegeplätze befanden und zur Zeit der Schiffahrt ein reges Arbeitsleben herrschte . Jetzt aber war es dort öde und still , denn es war in den letzten Tagen des Oktober
2-1	Nachdem	O	
2-2	ich	O	
2-3	in	O	
2-4	den	O	
2-5	ersten	O	
2-6	Tagen	B-NC	
2-7	von	O	
2-8	meiner	O	
2-9	Kleidung	B-NC	
2-10	alles	O	
2-11	verkauft	O	
2-12	hatte	O	
2-13	,	O	
2-14	was	O	
2-15	zu	O	
2-16	entbehren	O	
2-17	möglich	O	
2-18	war	O	
2-19	,	O	
2-20	begab	O	
2-21	ich	O	
2-22	mich	O	
2-23	aus	O	
2-24	der	O	
2-25	Stadt	B-NC	
2-26	nach	O	
2-27	der	O	
2-28	Gegend	B-NC	
2-29	»Münde«	O	
2-30	genannt	O	
2-31	,	O	
2-32	wo	O	
2-33	sich	O	
2-34	Dampferanlegeplätze	B-NC	
2-35	befanden	O	
2-36	und	O	
2-37	zur	O	
2-38	Zeit	B-NC	
2-39	der	O	
2-40	Schiffahrt	B-NC	
2-41	ein	O	
2-42	reges	O	
2-43	Arbeitsleben	B-NC	
2-44	herrschte	O	
2-45	.	O	
2-46	Jetzt	O	
2-47	aber	O	
2-48	war	O	
2-49	es	O	
