 # webanno.custom.Entity | NC
#id=1
#text=…Однажды осенью мне привелось стать в очень неприятное и неудобное положение , в городе , куда я только что приехал и где у меня не было ни одного знакомого человека , – я очутился без гроша в кармане и без квартиры
1-1	…Однажды	O	
1-2	осенью	B-NC	
1-3	мне	O	
1-4	привелось	O	
1-5	стать	O	
1-6	в	O	
1-7	очень	O	
1-8	неприятное	O	
1-9	и	O	
1-10	неудобное	O	
1-11	положение	B-NC	
1-12	,	O	
1-13	в	O	
1-14	городе	B-NC	
1-15	,	O	
1-16	куда	O	
1-17	я	O	
1-18	только	O	
1-19	что	O	
1-20	приехал	O	
1-21	и	O	
1-22	где	O	
1-23	у	O	
1-24	меня	O	
1-25	не	O	
1-26	было	O	
1-27	ни	O	
1-28	одного	O	
1-29	знакомого	O	
1-30	человека	B-NC	
1-31	,	O	
1-32	–	O	
1-33	я	O	
1-34	очутился	O	
1-35	без	O	
1-36	гроша	B-NC	
1-37	в	O	
1-38	кармане	B-NC	
1-39	и	O	
1-40	без	O	
1-41	квартиры	B-NC	

#id=2
#text=Продав в первые дни всё то из костюма , без чего можно было обойтись , я ушёл из города в местность , называемую Устье , где стояли пароходные пристани и в навигационное время кипела бойкая трудовая жизнь , а теперь было пустынно и тихо , – дело происходило в последних числах октября
2-1	Продав	O	
2-2	в	O	
2-3	первые	O	
2-4	дни	B-NC	
2-5	всё	O	
2-6	то	O	
2-7	из	O	
2-8	костюма	B-NC	
2-9	,	O	
2-10	без	O	
2-11	чего	O	
2-12	можно	O	
2-13	было	O	
2-14	обойтись	O	
2-15	,	O	
2-16	я	O	
2-17	ушёл	O	
2-18	из	O	
2-19	города	B-NC	
2-20	в	O	
2-21	местность	B-NC	
2-22	,	O	
2-23	называемую	O	
2-24	Устье	B-NC	
2-25	,	O	
2-26	где	O	
2-27	стояли	O	
2-28	пароходные	O	
2-29	пристани	B-NC	
2-30	и	O	
2-31	в	O	
2-32	навигационное	O	
2-33	время	B-NC	
2-34	кипела	O	
2-35	бойкая	O	
2-36	трудовая	O	
2-37	жизнь	B-NC	
2-38	,	O	
2-39	а	O	
2-40	теперь	O	
2-41	было	O	
2-42	пустынно	O	
2-43	и	O	
2-44	тихо	O	
2-45	,	O	
2-46	–	O	
2-47	дело	B-NC	
2-48	происходило	O	
2-49	в	O	
2-50	последних	O	
2-51	числах	B-NC	
2-52	октября	B-NC	

#id=3
#text=Шлёпая ногами по сырому песку и упорно разглядывая его с желанием открыть в нём какие - нибудь остатки питательных веществ , я бродил одиноко среди пустынных зданий и торговых ларей и думал о том , как хорошо быть сытым
3-1	Шлёпая	O	
3-2	ногами	B-NC	
3-3	по	O	
3-4	сырому	O	
3-5	песку	B-NC	
3-6	и	O	
3-7	упорно	O	
3-8	разглядывая	O	
3-9	его	O	
3-10	с	O	
3-11	желанием	B-NC	
3-12	открыть	O	
3-13	в	O	
3-14	нём	O	
3-15	какие	O	
3-16	-	O	
3-17	нибудь	O	
3-18	остатки	B-NC	
3-19	питательных	O	
3-20	веществ	B-NC	
3-21	,	O	
3-22	я	O	
3-23	бродил	O	
3-24	одиноко	O	
3-25	среди	O	
3-26	пустынных	O	
3-27	зданий	B-NC	
3-28	и	O	
3-29	торговых	O	
3-30	ларей	B-NC	
3-31	и	O	
3-32	думал	O	
3-33	о	O	
3-34	том	O	
3-35	,	O	
3-36	как	O	
3-37	хорошо	O	
3-38	быть	O	
3-39	сытым	O	

#id=4
#text=При данном состоянии культуры голод души можно удовлетворить скорее , чем голод тела . Вы бродите по улицам , вас окружают здания , недурные по внешности и – можно безошибочно сказать – недурно обставленные внутри : это может возбудить у вас отрадные мысли об архитектуре , о гигиене и ещё о многом другом , мудром и высоком ; вам встречаются удобно и тепло одетые люди , – они вежливы , всегда сторонятся от вас , деликатно не желая замечать печального факта вашего существования . Ей - богу , душа голодного человека всегда питается лучше и здоровее души сытого , – вот положение , из которого можно сделать очень остроумный вывод в пользу сытых ! .
4-1	При	O	
4-2	данном	O	
4-3	состоянии	B-NC	
4-4	культуры	B-NC	
4-5	голод	B-NC	
4-6	души	B-NC	
4-7	можно	O	
4-8	удовлетворить	O	
4-9	скорее	O	
4-10	,	O	
4-11	чем	O	
4-12	голод	B-NC	
4-13	тела	B-NC	
4-14	.	O	
4-15	Вы	O	
4-16	бродите	O	
4-17	по	O	
4-18	улицам	B-NC	
4-19	,	O	
4-20	вас	O	
4-21	окружают	O	
4-22	здания	B-NC	
4-23	,	O	
4-24	недурные	O	
4-25	по	O	
4-26	внешности	B-NC	
4-27	и	O	
4-28	–	O	
4-29	можно	O	
4-30	безошибочно	O	
4-31	сказать	O	
4-32	–	O	
4-33	недурно	O	
4-34	обставленные	O	
4-35	внутри	O	
4-36	:	O	
4-37	это	O	
4-38	может	O	
4-39	возбудить	O	
4-40	у	O	
4-41	вас	O	
4-42	отрадные	O	
4-43	мысли	B-NC	
4-44	об	O	
4-45	архитектуре	B-NC	
4-46	,	O	
4-47	о	O	
4-48	гигиене	B-NC	
